"FEN","Type","Comment","Source Code","Return Type","Modifier","class_extends","implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer","Class","* Replacement for <code>BytesToNameCanonicalizer</code> which aims at more localized
 * memory access due to flattening of name quad data.
 * Performance improvement modest for simple JSON document data binding (maybe 3%),
 * but should help more for larger symbol tables, or for binary formats like Smile.
 *<p>
 * Hash area is divided into 4 sections:
 *<ol>
 * <li>Primary area (1/2 of total size), direct match from hash (LSB)</li>
 * <li>Secondary area (1/4 of total size), match from {@code hash (LSB) >> 1}</li>
 * <li>Tertiary area (1/8 of total size), match from {@code hash (LSB) >> 2}</li>
 * <li>Spill-over area (remaining 1/8) with linear scan, insertion order</li>
 * <li></li>
 * </ol>
 * and within every area, entries are 4 {@code int}s, where 1 - 3 ints contain 1 - 12
 * UTF-8 encoded bytes of name (null-padded), and last int is offset in
 * {@code _names} that contains actual name Strings.
 *
 * @since 2.6","Class do not obtain Source Code","No return type","public , final ","",""
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.DEFAULT_T_SIZE","Field","* Initial size of the primary hash area. Each entry consumes 4 ints (16 bytes),
     * and secondary area is same as primary; so default size will use 2kB of memory
     * (plus 64x4 or 64x8 (256/512 bytes) for references to Strings, and Strings
     * themselves).","private static final int DEFAULT_T_SIZE = 64;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MAX_T_SIZE","Field","64k entries == 2M mem hash area","private static final int MAX_T_SIZE = 0x10000;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MIN_HASH_SIZE","Field","* No point in trying to construct tiny tables, just need to resize soon.","private final static int MIN_HASH_SIZE = 16;","No return type","private , final , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MAX_ENTRIES_FOR_REUSE","Field","* Let's only share reasonably sized symbol tables. Max size set to 3/4 of 8k;
     * this corresponds to 256k main hash index. This should allow for enough distinct
     * names for almost any case, while preventing ballooning for cases where names
     * are unique (or close thereof).","protected final static int MAX_ENTRIES_FOR_REUSE = 6000;","No return type","protected , final , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._parent","Field","* Reference to the root symbol table, for child tables, so
     * that they can merge table information back as necessary.","protected final ByteQuadsCanonicalizer _parent;","No return type","protected , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._tableInfo","Field","* Member that is only used by the root table instance: root
     * passes immutable state info child instances, and children
     * may return new state if they add entries to the table.
     * Child tables do NOT use the reference.","protected final AtomicReference<TableInfo> _tableInfo;","No return type","protected , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._seed","Field","* Seed value we use as the base to make hash codes non-static between
     * different runs, but still stable for lifetime of a single symbol table
     * instance.
     * This is done for security reasons, to avoid potential DoS attack via
     * hash collisions.","protected final int _seed;","No return type","protected , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._interner","Field","* Entity that knows how to {@code intern} Strings, if needed,
     * or {@code null} if no interning is wanted.
     *
     * @since 2.16","protected final InternCache _interner;","No return type","protected , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._failOnDoS","Field","* Flag that indicates whether we should throw an exception if enough
     * hash collisions are detected (true); or just worked around (false).
     *
     * @since 2.4","protected final boolean _failOnDoS;","No return type","protected , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._hashArea","Field","* Primary hash information area: consists of <code>2 * _hashSize</code>
     * entries of 16 bytes (4 ints), arranged in a cascading lookup
     * structure (details of which may be tweaked depending on expected rates
     * of collisions).","protected int[] _hashArea;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._hashSize","Field","* Number of slots for primary entries within {@link #_hashArea}; which is
     * at most <code>1/8</code> of actual size of the underlying array (4-int slots,
     * primary covers only half of the area; plus, additional area for longer
     * symbols after hash area).","protected int _hashSize;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._secondaryStart","Field","* Offset within {@link #_hashArea} where secondary entries start","protected int _secondaryStart;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._tertiaryStart","Field","* Offset within {@link #_hashArea} where tertiary entries start","protected int _tertiaryStart;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._tertiaryShift","Field","* Constant that determines size of buckets for tertiary entries:
     * <code>1 &lt;&lt; _tertiaryShift</code> is the size, and shift value
     * is also used for translating from primary offset into
     * tertiary bucket (shift right by <code>4 + _tertiaryShift</code>).
     *<p>
     * Default value is 2, for buckets of 4 slots; grows bigger with
     * bigger table sizes.","protected int _tertiaryShift;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._count","Field","* Total number of Strings in the symbol table; only used for child tables.","protected int _count;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._names","Field","* Array that contains <code>String</code> instances matching
     * entries in {@link #_hashArea}.
     * Contains nulls for unused entries. Note that this size is twice
     * that of {@link #_hashArea}","protected String[] _names;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._spilloverEnd","Field","* Pointer to the offset within spill-over area where there is room
     * for more spilled over entries (if any).
     * Spill over area is within fixed-size portion of {@link #_hashArea}.","protected int _spilloverEnd;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._longNameOffset","Field","* Offset within {@link #_hashArea} that follows main slots and contains
     * quads for longer names (13 bytes or longer), and points to the
     * first available int that may be used for appending quads of the next
     * long name.
     * Note that long name area follows immediately after the fixed-size
     * main hash area ({@link #_hashArea}).","protected int _longNameOffset;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._hashShared","Field","* Flag that indicates whether underlying data structures for
     * the main hash area are shared or not. If they are, then they
     * need to be handled in copy-on-write way, i.e. if they need
     * to be modified, a copy needs to be made first; at this point
     * it will not be shared any more, and can be modified.
     *<p>
     * This flag needs to be checked both when adding new main entries,
     * and when adding new collision list queues (i.e. creating a new
     * collision list head entry)","protected boolean _hashShared;","No return type","protected ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MULT","Field","(see [http://www.cse.yorku.ca/~oz/hash.html] for details)","private final static int MULT = 33;","No return type","private , final , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MULT2","Field","No Comment","private final static int MULT2 = 65599;","No return type","private , final , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MULT3","Field","No Comment","private final static int MULT3 = 31;","No return type","private , final , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.createRoot()","Method","* Factory method to call to create a symbol table instance with a
     * randomized seed value.
     *
     * @return Root instance to use for constructing new child instances","public static ByteQuadsCanonicalizer createRoot() {
    // Need to use a variable seed, to thwart hash-collision based attacks.
    // 14-Feb-2017, tatu: Does this actually help?
    long now = System.currentTimeMillis();
    // ensure it's not 0; and might as well require to be odd so:
    int seed = (((int) now) + ((int) (now >>> 32))) | 1;
    return createRoot(seed);
}","ByteQuadsCanonicalizer","public , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.createRoot(int)","Method","value should remain the same.","protected static ByteQuadsCanonicalizer createRoot(int seed) {
    return new ByteQuadsCanonicalizer(DEFAULT_T_SIZE, seed);
}","ByteQuadsCanonicalizer","protected , static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.createRoot(int).seed","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.createRoot(int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChild(int)","Method","* Factory method used to create actual symbol table instance to
     * use for parsing.
     *
     * @param flags Bit flags of active {@link com.fasterxml.jackson.core.JsonFactory.Feature}s enabled.
     *
     * @return Actual canonicalizer instance that can be used by a parser","public ByteQuadsCanonicalizer makeChild(int flags) {
    return new ByteQuadsCanonicalizer(this, _seed, _tableInfo.get(), JsonFactory.Feature.INTERN_FIELD_NAMES.enabledIn(flags), JsonFactory.Feature.FAIL_ON_SYMBOL_HASH_OVERFLOW.enabledIn(flags));
}","ByteQuadsCanonicalizer","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChild(int).flags","Parameter_1","Belong to com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChild(int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
