FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,Class,"* Replacement for <code>BytesToNameCanonicalizer</code> which aims at more localized\n * memory access due to flattening of name quad data.\n * Performance improvement modest for simple JSON document data binding (maybe 3%),\n * but should help more for larger symbol tables, or for binary formats like Smile.\n *<p>\n * Hash area is divided into 4 sections:\n *<ol>\n * <li>Primary area (1/2 of total size), direct match from hash (LSB)</li>\n * <li>Secondary area (1/4 of total size), match from {@code hash (LSB) >> 1}</li>\n * <li>Tertiary area (1/8 of total size), match from {@code hash (LSB) >> 2}</li>\n * <li>Spill-over area (remaining 1/8) with linear scan, insertion order</li>\n * <li></li>\n * </ol>\n * and within every area, entries are 4 {@code int}s, where 1 - 3 ints contain 1 - 12\n * UTF-8 encoded bytes of name (null-padded), and last int is offset in\n * {@code _names} that contains actual name Strings.\n *\n * @since 2.6","public , final ",,
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo,Class,"* Immutable value class used for sharing information as efficiently\n     * as possible, by only require synchronization of reference manipulation\n     * but not access to contents.\n     *\n     * @since 2.1","private , final , static ",,
com.fasterxml.jackson.core.sym.Name1,Class,* Specialized implementation of PName: can be used for short Strings\n * that consists of at most 4 bytes. Usually this means short\n * ascii-only names.\n *<p>\n * The reason for such specialized classes is mostly space efficiency;\n * and to a lesser degree performance. Both are achieved for short\n * Strings by avoiding another level of indirection (via quad arrays),"public , final ",com.fasterxml.jackson.core.sym.Name,
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,Class,"* This class is a kind of specialized type-safe Map, from char array to\n * String value. Specialization means that in addition to type-safety\n * and specific access patterns (key char array, Value optionally interned\n * String; values added on access if necessary), and that instances are\n * meant to be used concurrently, but by using well-defined mechanisms\n * to obtain such concurrently usable instances. Main use for the class\n * is to store symbol table information for things like compilers and\n * parsers; especially when number of symbols (keywords) is limited.\n *<p>\n * For optimal performance, usage pattern should be one where matches\n * should be very common (especially after ""warm-up""), and as with most hash-based\n * maps/sets, that hash codes are uniformly distributed. Also, collisions\n * are slightly more expensive than with HashMap or HashSet, since hash codes\n * are not used in resolving collisions; that is, equals() comparison is\n * done with all symbols in same bucket index.<br>\n * Finally, rehashing is also more expensive, as hash codes are not\n * stored; rehashing requires all entries' hash codes to be recalculated.\n * Reason for not storing hash codes is reduced memory usage, hoping\n * for better memory locality.\n *<p>\n * Usual usage pattern is to create a single ""master"" instance, and either\n * use that instance in sequential fashion, or to create derived ""child""\n * instances, which after use, are asked to return possible symbol additions\n * to master instance. In either case benefit is that symbol table gets\n * initialized so that further uses are more efficient, as eventually all\n * symbols needed will already be in symbol table. At that point no more\n * Symbol String allocations are needed, nor changes to symbol table itself.\n *<p>\n * Note that while individual SymbolTable instances are NOT thread-safe\n * (much like generic collection classes), concurrently used ""child""\n * instances can be freely used without synchronization. However, using\n * master table concurrently with child instances can only be done if\n * access to master instance is read-only (i.e. no modifications done).","public , final ",,
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket,Class,* This class is a symbol table entry. Each entry acts as a node\n     * in a linked list.,"static , final ",,
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$TableInfo,Class,"* Immutable value class used for sharing information as efficiently\n     * as possible, by only require synchronization of reference manipulation\n     * but not access to contents.\n     *\n     * @since 2.8.7","private , final , static ",,
com.fasterxml.jackson.core.sym.Name2,Class,* Specialized implementation of PName: can be used for short Strings\n * that consists of 5 to 8 bytes. Usually this means relatively short\n * ascii-only names.\n *<p>\n * The reason for such specialized classes is mostly space efficiency;\n * and to a lesser degree performance. Both are achieved for short\n * Strings by avoiding another level of indirection (via quad arrays),"public , final ",com.fasterxml.jackson.core.sym.Name,
com.fasterxml.jackson.core.sym.Name3,Class,* Specialized implementation of PName: can be used for short Strings\n * that consists of 9 to 12 bytes. It's the longest special purpose\n * implementaion; longer ones are expressed using {@link NameN}.,"public , final ",com.fasterxml.jackson.core.sym.Name,
com.fasterxml.jackson.core.sym.Name,Abstract Class,* Base class for tokenized names (key strings in objects) that have\n * been tokenized from byte-based input sources (like\n * {@link java.io.InputStream}.\n *\n * @author Tatu Saloranta,"public , abstract ",,
com.fasterxml.jackson.core.sym.NameN,Class,"* Generic implementation of PName used for ""long"" names, where long\n * means that its byte (UTF-8) representation is 13 bytes or more.","public , final ",com.fasterxml.jackson.core.sym.Name,
com.fasterxml.jackson.core.PrettyPrinter,Interface,"* Interface for objects that implement pretty printer functionality, such\n * as indentation.\n * Pretty printers are used to add white space in output JSON content,\n * to make results more human readable. Usually this means things like adding\n * linefeeds and indentation.\n *<p>\n * Note: since Jackson 2.1, stateful implementations MUST implement\n * {@link com.fasterxml.jackson.core.util.Instantiatable} interface,\n * to allow for constructing  per-generation instances and avoid\n * state corruption.\n * Stateless implementations need not do this; but those are less common.",public ,,
com.fasterxml.jackson.core.StreamWriteConstraints,Class,"* The constraints to use for streaming writes: used to guard against problematic\n * output by preventing processing of ""too big"" output constructs (values,\n * structures).\n * Constraints are registered with {@code TokenStreamFactory} (such as\n * {@code JsonFactory}); if nothing explicitly specified, default\n * constraints are used.\n *<p>\n * Currently constrained aspects, with default settings, are:\n * <ul>\n *  <li>Maximum Nesting depth: default 1000 (see {@link #DEFAULT_MAX_DEPTH})\n *   </li>\n * </ul>\n *\n * @since 2.16",public ,,java.io.Serializable
com.fasterxml.jackson.core.StreamWriteConstraints$Builder,Class,No Comment,"public , static , final ",,
com.fasterxml.jackson.core.StreamWriteCapability,Enum,"* Set of on/off capabilities that a {@link JsonGenerator} for given format\n * (or in case of buffering, original format) has.\n * Used in some cases to adjust aspects of things like content conversions and\n * coercions by format-agnostic functionality.\n * Specific or expected usage documented by individual capability entry Javadocs.\n *\n * @since 2.12",public ,enum has no extends,com.fasterxml.jackson.core.util.JacksonFeature
com.fasterxml.jackson.core.JsonProcessingException,Class,"* Intermediate base class for all problems encountered when\n * processing (parsing, generating) JSON content\n * that are not pure I/O problems.\n * Regular {@link java.io.IOException}s will be passed through as is.\n * Sub-class of {@link java.io.IOException} for convenience.\n *<p>\n * Since Jackson 2.12 extends intermediate {@link JacksonException} type\n * instead of directly extending {@link java.io.IOException}.\n *<p>\n * Since Jackson 2.16, handles its content as configured using {@link com.fasterxml.jackson.core.ErrorReportConfiguration}.",public ,com.fasterxml.jackson.core.JacksonException,
com.fasterxml.jackson.core.JsonPointer,Class,"* Implementation of\n * <a href=""http://tools.ietf.org/html/draft-ietf-appsawg-json-pointer-03"">JSON Pointer</a>\n * specification.\n * Pointer instances can be used to locate logical JSON nodes for things like\n * tree traversal (see {@link TreeNode#at}).\n * It may be used in future for filtering of streaming JSON content\n * as well (not implemented yet for 2.3).\n *<p>\n * Note that the implementation was largely rewritten for Jackson 2.14 to\n * reduce memory usage by sharing backing ""full path"" representation for\n * nested instances.\n *<p>\n * Instances are fully immutable and can be cached, shared between threads.\n *\n * @author Tatu Saloranta\n *\n * @since 2.3",public ,,java.io.Serializable
com.fasterxml.jackson.core.JsonPointer$PointerParent,Class,* Helper class used to replace call stack when parsing JsonPointer\n     * expressions.,"private , static ",,
com.fasterxml.jackson.core.JsonPointer$PointerSegment,Class,* Helper class used to contain a single segment when constructing JsonPointer\n     * from context.,"private , static ",,
com.fasterxml.jackson.core.JsonPointer$Serialization,Class,"* This must only exist to allow both final properties and implementation of\n     * Externalizable/Serializable for JsonPointer.\n     * Note that here we do not store offset but simply use (and expect use)\n     * full path, from which we need to decode actual structure.\n     *\n     * @since 2.14",static ,,java.io.Externalizable
com.fasterxml.jackson.core.JacksonException,Abstract Class,"* Base class for all Jackson-produced checked exceptions.\n *<p>\n * For Jackson 2.x this base type is not widely used (instead, its main subtype\n * {@link JsonProcessingException} is): it is provided more for forwards-compatibility\n * purposes as 3.x will base all other types directly on it and deprecate\n * {@link JsonProcessingException} (as well as chance its type to unchecked).\n *\n * @since 2.12","public , abstract ",java.io.IOException,
com.fasterxml.jackson.core.util.RecyclerPool,Interface,"* API for object pools that control creation and possible reuse of\n * objects that are costly to create (often things like encoding/decoding buffers).\n *<p>\n * Also contains partial (base) implementations for pools that use different\n * strategies on retaining objects for reuse.\n * Following implementations are included:\n *<ul>\n * <li>{@link NonRecyclingPoolBase} which does not retain or recycle anything and\n * will always simply construct and return new instance when\n * {@code acquireBufferRecycler} is called\n *  </li>\n * <li>{@link ThreadLocalPoolBase} which uses {@link ThreadLocal} to retain at most\n *   1 object per {@link Thread}.\n * </li>\n * <li>{@link BoundedPoolBase} is ""bounded pool"" and retains at most N objects (default value being\n *  {@link BoundedPoolBase#DEFAULT_CAPACITY}) at any given time.\n *  </li>\n * <li>Two implementations -- {@link ConcurrentDequePoolBase}, {@link LockFreePoolBase}\n *   -- are ""unbounded"" and retain any number of objects released: in practice\n *   it is at most the highest number of concurrently used {@link BufferRecycler}s.\n *  </li>\n *</ul>\n *\n *<p>\n * Default implementations are also included as nested classes.\n *\n * @param <P> Type of Objects pool recycles\n *\n * @since 2.16",public ,java.io.Serializable,
