FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
com.fasterxml.jackson.core.StreamWriteCapability.CAN_WRITE_BINARY_NATIVELY,Enum Constant,"* Capability that indicates that the data format is able to express binary\n     * data natively, without using textual encoding like Base64.\n     *<p>\n     * Capability is currently enabled for all binary formats and none of textual\n     * formats.",CAN_WRITE_BINARY_NATIVELY(false),com.fasterxml.jackson.core.StreamWriteCapability CAN_WRITE_BINARY_NATIVELY,public 
com.fasterxml.jackson.core.StreamWriteCapability.CAN_WRITE_FORMATTED_NUMBERS,Enum Constant,"* Capability that indicates that the data format is able to write\n     * ""formatted numbers"": that is, output of numbers is done as Strings\n     * and caller is allowed to pass in logical number values as Strings.\n     *<p>\n     * Capability is currently enabled for most textual formats and none of binary\n     * formats.",CAN_WRITE_FORMATTED_NUMBERS(false),com.fasterxml.jackson.core.StreamWriteCapability CAN_WRITE_FORMATTED_NUMBERS,public 
com.fasterxml.jackson.core.util.Separators$Spacing.NONE,Enum Constant,No Comment,"NONE("""", """")",com.fasterxml.jackson.core.util.Separators$Spacing NONE,public 
com.fasterxml.jackson.core.util.Separators$Spacing.BEFORE,Enum Constant,No Comment,"BEFORE("" "", """")",com.fasterxml.jackson.core.util.Separators$Spacing BEFORE,public 
com.fasterxml.jackson.core.util.Separators$Spacing.AFTER,Enum Constant,No Comment,"AFTER("""", "" "")",com.fasterxml.jackson.core.util.Separators$Spacing AFTER,public 
com.fasterxml.jackson.core.util.Separators$Spacing.BOTH,Enum Constant,No Comment,"BOTH("" "", "" "")",com.fasterxml.jackson.core.util.Separators$Spacing BOTH,public 
com.fasterxml.jackson.core.JsonToken.NOT_AVAILABLE,Enum Constant,"* NOT_AVAILABLE can be returned if {@link JsonParser}\n     * implementation cannot currently return the requested\n     * token (usually next one), or even if any will be\n     * available, but that may be able to determine this in\n     * future. This is the case with non-blocking parsers --\n     * they cannot block to wait for more data to parse and\n     * must return something.","NOT_AVAILABLE(null, JsonTokenId.ID_NOT_AVAILABLE)",com.fasterxml.jackson.core.JsonToken NOT_AVAILABLE,public 
com.fasterxml.jackson.core.JsonToken.START_OBJECT,Enum Constant,* START_OBJECT is returned when encountering '{'\n     * which signals starting of an Object value.,"START_OBJECT(""{"", JsonTokenId.ID_START_OBJECT)",com.fasterxml.jackson.core.JsonToken START_OBJECT,public 
com.fasterxml.jackson.core.JsonToken.END_OBJECT,Enum Constant,* END_OBJECT is returned when encountering '}'\n     * which signals ending of an Object value,"END_OBJECT(""}"", JsonTokenId.ID_END_OBJECT)",com.fasterxml.jackson.core.JsonToken END_OBJECT,public 
com.fasterxml.jackson.core.JsonToken.START_ARRAY,Enum Constant,* START_ARRAY is returned when encountering '['\n     * which signals starting of an Array value,"START_ARRAY(""["", JsonTokenId.ID_START_ARRAY)",com.fasterxml.jackson.core.JsonToken START_ARRAY,public 
com.fasterxml.jackson.core.JsonToken.END_ARRAY,Enum Constant,* END_ARRAY is returned when encountering ']'\n     * which signals ending of an Array value,"END_ARRAY(""]"", JsonTokenId.ID_END_ARRAY)",com.fasterxml.jackson.core.JsonToken END_ARRAY,public 
com.fasterxml.jackson.core.JsonToken.FIELD_NAME,Enum Constant,"* FIELD_NAME is returned when a String token is encountered\n     * as a field name (same lexical value, different function).\n     *<p>\n     * NOTE: in Jackson 3.x this enum is renamed as {@code PROPERTY_NAME}","FIELD_NAME(null, JsonTokenId.ID_FIELD_NAME)",com.fasterxml.jackson.core.JsonToken FIELD_NAME,public 
com.fasterxml.jackson.core.JsonToken.VALUE_EMBEDDED_OBJECT,Enum Constant,"* Placeholder token returned when the input source has a concept\n     * of embedded Object that are not accessible as usual structure\n     * (of starting with {@link #START_OBJECT}, having values, ending with\n     * {@link #END_OBJECT}), but as ""raw"" objects.\n     *<p>\n     * Note: this token is never returned by regular JSON readers, but\n     * only by readers that expose other kinds of source (like\n     * <code>JsonNode</code>-based JSON trees, Maps, Lists and such).","VALUE_EMBEDDED_OBJECT(null, JsonTokenId.ID_EMBEDDED_OBJECT)",com.fasterxml.jackson.core.JsonToken VALUE_EMBEDDED_OBJECT,public 
com.fasterxml.jackson.core.JsonToken.VALUE_STRING,Enum Constant,"* VALUE_STRING is returned when a String token is encountered\n     * in value context (array element, field value, or root-level\n     * stand-alone value)","VALUE_STRING(null, JsonTokenId.ID_STRING)",com.fasterxml.jackson.core.JsonToken VALUE_STRING,public 
com.fasterxml.jackson.core.JsonToken.VALUE_NUMBER_INT,Enum Constant,"* VALUE_NUMBER_INT is returned when an integer numeric token is\n     * encountered in value context: that is, a number that does\n     * not have floating point or exponent marker in it (consists\n     * only of an optional sign, followed by one or more digits;\n     * or, for binary formats, is indicated as integral number\n     * by internal representation).","VALUE_NUMBER_INT(null, JsonTokenId.ID_NUMBER_INT)",com.fasterxml.jackson.core.JsonToken VALUE_NUMBER_INT,public 
com.fasterxml.jackson.core.JsonToken.VALUE_NUMBER_FLOAT,Enum Constant,"* VALUE_NUMBER_FLOAT is returned when a numeric token other\n     * than integer is encountered: that is, a number that does\n     * have floating point or exponent marker in it, in addition\n     * to one or more digits (or, for non-textual formats,\n     * has internal floating-point representation).","VALUE_NUMBER_FLOAT(null, JsonTokenId.ID_NUMBER_FLOAT)",com.fasterxml.jackson.core.JsonToken VALUE_NUMBER_FLOAT,public 
com.fasterxml.jackson.core.JsonToken.VALUE_TRUE,Enum Constant,"* VALUE_TRUE is returned when encountering literal ""true"" in\n     * value context","VALUE_TRUE(""true"", JsonTokenId.ID_TRUE)",com.fasterxml.jackson.core.JsonToken VALUE_TRUE,public 
com.fasterxml.jackson.core.JsonToken.VALUE_FALSE,Enum Constant,"* VALUE_FALSE is returned when encountering literal ""false"" in\n     * value context","VALUE_FALSE(""false"", JsonTokenId.ID_FALSE)",com.fasterxml.jackson.core.JsonToken VALUE_FALSE,public 
com.fasterxml.jackson.core.JsonToken.VALUE_NULL,Enum Constant,"* VALUE_NULL is returned when encountering literal ""null"" in\n     * value context","VALUE_NULL(""null"", JsonTokenId.ID_NULL)",com.fasterxml.jackson.core.JsonToken VALUE_NULL,public 
com.fasterxml.jackson.core.JsonFactory$Feature.INTERN_FIELD_NAMES,Enum Constant,"* Feature that determines whether JSON object field names are\n         * to be canonicalized using {@link String#intern} or not:\n         * if enabled, all field names will be intern()ed (and caller\n         * can count on this being true for all such names); if disabled,\n         * no intern()ing is done. There may still be basic\n         * canonicalization (that is, same String will be used to represent\n         * all identical object property names for a single document).\n         *<p>\n         * Note: this setting only has effect if\n         * {@link #CANONICALIZE_FIELD_NAMES} is true -- otherwise no\n         * canonicalization of any sort is done.\n         *<p>\n         * This setting is enabled by default.",INTERN_FIELD_NAMES(true),com.fasterxml.jackson.core.JsonFactory$Feature INTERN_FIELD_NAMES,public 
com.fasterxml.jackson.core.JsonFactory$Feature.CANONICALIZE_FIELD_NAMES,Enum Constant,* Feature that determines whether JSON object field names are\n         * to be canonicalized (details of how canonicalization is done\n         * then further specified by\n         * {@link #INTERN_FIELD_NAMES}).\n         *<p>\n         * This setting is enabled by default.,CANONICALIZE_FIELD_NAMES(true),com.fasterxml.jackson.core.JsonFactory$Feature CANONICALIZE_FIELD_NAMES,public 
com.fasterxml.jackson.core.JsonFactory$Feature.FAIL_ON_SYMBOL_HASH_OVERFLOW,Enum Constant,"* Feature that determines what happens if we encounter a case in symbol\n         * handling where number of hash collisions exceeds a safety threshold\n         * -- which almost certainly means a denial-of-service attack via generated\n         * duplicate hash codes.\n         * If feature is enabled, an {@link IllegalStateException} is\n         * thrown to indicate the suspected denial-of-service attack; if disabled, processing continues but\n         * canonicalization (and thereby <code>intern()</code>ing) is disabled) as protective\n         * measure.\n         *<p>\n         * This setting is enabled by default.\n         *\n         * @since 2.4",FAIL_ON_SYMBOL_HASH_OVERFLOW(true),com.fasterxml.jackson.core.JsonFactory$Feature FAIL_ON_SYMBOL_HASH_OVERFLOW,public 
com.fasterxml.jackson.core.JsonFactory$Feature.USE_THREAD_LOCAL_FOR_BUFFER_RECYCLING,Enum Constant,"* Feature that determines whether we will use a {@link RecyclerPool}\n         * for allocating and possibly recycling {@link BufferRecycler} or not.\n         * The default {@link RecyclerPool} implementation uses\n         * {@link ThreadLocal} and {@link SoftReference} for efficient reuse of\n         * underlying input/output buffers.\n         * This usually makes sense on normal J2SE/J2EE server-side processing;\n         * but may not make sense on platforms where {@link SoftReference} handling\n         * is broken (like Android), or if there are retention issues due to\n         * {@link ThreadLocal} (see\n         * <a href=""https://github.com/FasterXML/jackson-core/issues/189"">jackson-core#189</a>\n         * for a possible case)\n         *<p>\n         * Note that since 2.16 naming here is somewhat misleading as this is used\n         * to now enable or disable pooling; but the actual pooling implementation\n         * is configurable and may not be based on {@link ThreadLocal}.\n         *<p>\n         * This setting is enabled by default.\n         *\n         * @since 2.6",USE_THREAD_LOCAL_FOR_BUFFER_RECYCLING(true),com.fasterxml.jackson.core.JsonFactory$Feature USE_THREAD_LOCAL_FOR_BUFFER_RECYCLING,public 
com.fasterxml.jackson.core.JsonFactory$Feature.CHARSET_DETECTION,Enum Constant,"* Feature to control charset detection for byte-based inputs ({@code byte[]}, {@link InputStream}...).\n         * When this feature is enabled (the default), the factory will allow UTF-16 and UTF-32 inputs and try to detect\n         * them, as specified by RFC 4627. When this feature is disabled the factory will assume UTF-8,\n         * as specified by RFC 8259.\n         *<p>\n         * This setting is enabled by default.\n         *\n         * @since 2.15",CHARSET_DETECTION(true),com.fasterxml.jackson.core.JsonFactory$Feature CHARSET_DETECTION,public 
com.fasterxml.jackson.core.json.JsonWriteFeature.QUOTE_FIELD_NAMES,Enum Constant,"* Feature that determines whether JSON Object field names are\n     * quoted using double-quotes, as specified by JSON specification\n     * or not. Ability to disable quoting was added to support use\n     * cases where they are not usually expected, which most commonly\n     * occurs when used straight from Javascript.\n     *<p>\n     * Feature is enabled by default (since it is required by JSON specification).","@SuppressWarnings(""deprecation"")\nQUOTE_FIELD_NAMES(true, JsonGenerator.Feature.QUOTE_FIELD_NAMES)",com.fasterxml.jackson.core.json.JsonWriteFeature QUOTE_FIELD_NAMES,public 
com.fasterxml.jackson.core.json.JsonWriteFeature.WRITE_NAN_AS_STRINGS,Enum Constant,"* Feature that determines whether ""NaN"" (""not a number"", that is, not\n     * real number) float/double values are output as JSON strings.\n     * The values checked are Double.Nan,\n     * Double.POSITIVE_INFINITY and Double.NEGATIVE_INIFINTY (and\n     * associated Float values).\n     * If feature is disabled, these numbers are still output using\n     * associated literal values, resulting in non-conforming\n     * output.\n     *<p>\n     * Feature is enabled by default.","@SuppressWarnings(""deprecation"")\nWRITE_NAN_AS_STRINGS(true, JsonGenerator.Feature.QUOTE_NON_NUMERIC_NUMBERS)",com.fasterxml.jackson.core.json.JsonWriteFeature WRITE_NAN_AS_STRINGS,public 
com.fasterxml.jackson.core.json.JsonWriteFeature.WRITE_NUMBERS_AS_STRINGS,Enum Constant,"* Feature that forces all regular number values to be written as JSON Strings,\n     * instead of as JSON Numbers.\n     * Default state is 'false', meaning that Java numbers are to\n     * be serialized using basic numeric representation but\n     * if enabled all such numeric values are instead written out as\n     * JSON Strings instead.\n     *<p>\n     * One use case is to avoid problems with Javascript limitations:\n     * since Javascript standard specifies that all number handling\n     * should be done using 64-bit IEEE 754 floating point values,\n     * result being that some 64-bit integer values cannot be\n     * accurately represent (as mantissa is only 51 bit wide).\n     *<p>\n     * Feature is disabled by default.","@SuppressWarnings(""deprecation"")\nWRITE_NUMBERS_AS_STRINGS(false, JsonGenerator.Feature.WRITE_NUMBERS_AS_STRINGS)",com.fasterxml.jackson.core.json.JsonWriteFeature WRITE_NUMBERS_AS_STRINGS,public 
com.fasterxml.jackson.core.json.JsonWriteFeature.ESCAPE_NON_ASCII,Enum Constant,"* Feature that specifies that all characters beyond 7-bit ASCII\n     * range (i.e. code points of 128 and above) need to be output\n     * using format-specific escapes (for JSON, backslash escapes),\n     * if format uses escaping mechanisms (which is generally true\n     * for textual formats but not for binary formats).\n     *<p>\n     * Feature is disabled by default.","@SuppressWarnings(""deprecation"")\nESCAPE_NON_ASCII(false, JsonGenerator.Feature.ESCAPE_NON_ASCII)",com.fasterxml.jackson.core.json.JsonWriteFeature ESCAPE_NON_ASCII,public 
com.fasterxml.jackson.core.json.JsonWriteFeature.WRITE_HEX_UPPER_CASE,Enum Constant,"* Feature that specifies that hex values are encoded with capital letters.\n     *<p>\n     * Can be disabled to have a better possibility to compare between other JSON\n     * writer libraries, such as JSON.stringify from Javascript.\n     *<p>\n     * Feature is enabled by default for backwards compatibility with earlier\n     * versions.\n     *\n     * @since 2.14","@SuppressWarnings(""deprecation"")\nWRITE_HEX_UPPER_CASE(true, JsonGenerator.Feature.WRITE_HEX_UPPER_CASE)",com.fasterxml.jackson.core.json.JsonWriteFeature WRITE_HEX_UPPER_CASE,public 
com.fasterxml.jackson.core.json.JsonWriteFeature.ESCAPE_FORWARD_SLASHES,Enum Constant,"* Feature that specifies whether {@link JsonGenerator} should escape forward slashes.\n     * <p>\n     * Feature is disabled by default for Jackson 2.x version, and enabled by default in Jackson 3.0.\n     *\n     * @since 2.17","ESCAPE_FORWARD_SLASHES(false, JsonGenerator.Feature.ESCAPE_FORWARD_SLASHES)",com.fasterxml.jackson.core.json.JsonWriteFeature ESCAPE_FORWARD_SLASHES,public 
