FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.DEFAULT_T_SIZE,Field,"* Initial size of the primary hash area. Each entry consumes 4 ints (16 bytes),\n     * and secondary area is same as primary; so default size will use 2kB of memory\n     * (plus 64x4 or 64x8 (256/512 bytes) for references to Strings, and Strings\n     * themselves).",private static final int DEFAULT_T_SIZE = 64;,int DEFAULT_T_SIZE,"private , static , final "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MAX_T_SIZE,Field,64k entries == 2M mem hash area,private static final int MAX_T_SIZE = 0x10000;,int MAX_T_SIZE,"private , static , final "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MIN_HASH_SIZE,Field,"* No point in trying to construct tiny tables, just need to resize soon.",private final static int MIN_HASH_SIZE = 16;,int MIN_HASH_SIZE,"private , final , static "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.MAX_ENTRIES_FOR_REUSE,Field,"* Let's only share reasonably sized symbol tables. Max size set to 3/4 of 8k;\n     * this corresponds to 256k main hash index. This should allow for enough distinct\n     * names for almost any case, while preventing ballooning for cases where names\n     * are unique (or close thereof).",protected final static int MAX_ENTRIES_FOR_REUSE = 6000;,int MAX_ENTRIES_FOR_REUSE,"protected , final , static "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._parent,Field,"* Reference to the root symbol table, for child tables, so\n     * that they can merge table information back as necessary.",protected final ByteQuadsCanonicalizer _parent;,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer _parent,"protected , final "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._tableInfo,Field,"* Member that is only used by the root table instance: root\n     * passes immutable state info child instances, and children\n     * may return new state if they add entries to the table.\n     * Child tables do NOT use the reference.",protected final AtomicReference<TableInfo> _tableInfo;,java.util.concurrent.atomic.AtomicReference _tableInfo,"protected , final "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._seed,Field,"* Seed value we use as the base to make hash codes non-static between\n     * different runs, but still stable for lifetime of a single symbol table\n     * instance.\n     * This is done for security reasons, to avoid potential DoS attack via\n     * hash collisions.",protected final int _seed;,int _seed,"protected , final "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._interner,Field,"* Entity that knows how to {@code intern} Strings, if needed,\n     * or {@code null} if no interning is wanted.\n     *\n     * @since 2.16",protected final InternCache _interner;,com.fasterxml.jackson.core.util.InternCache _interner,"protected , final "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._failOnDoS,Field,* Flag that indicates whether we should throw an exception if enough\n     * hash collisions are detected (true); or just worked around (false).\n     *\n     * @since 2.4,protected final boolean _failOnDoS;,boolean _failOnDoS,"protected , final "
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._hashArea,Field,"* Primary hash information area: consists of <code>2 * _hashSize</code>\n     * entries of 16 bytes (4 ints), arranged in a cascading lookup\n     * structure (details of which may be tweaked depending on expected rates\n     * of collisions).",protected int[] _hashArea;,int[] _hashArea,protected 
