FEN:ID,:LABEL,Parameter Name,Data Type
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.createRoot(int).seed,Parameter_1,seed,int
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChild(int).flags,Parameter_1,flags,int
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChildOrPlaceholder(int).flags,Parameter_1,flags,int
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.mergeChild(TableInfo).childState,Parameter_1,childState,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int).q1,Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int).q1",Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int).q2",Parameter_2,q2,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int).q1",Parameter_1,q1,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int).q2",Parameter_2,q2,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int).q3",Parameter_3,q3,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int).q",Parameter_1,q,int[]
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int).qlen",Parameter_2,qlen,int
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._calcOffset(int).hash,Parameter_1,hash,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int).origOffset",Parameter_1,origOffset,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int).q1",Parameter_2,q1,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int).origOffset",Parameter_1,origOffset,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int).q1",Parameter_2,q1,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int).q2",Parameter_3,q2,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int,int).origOffset",Parameter_1,origOffset,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int,int).q1",Parameter_2,q1,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int,int).q2",Parameter_3,q2,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int,int).q3",Parameter_4,q3,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int[],int).origOffset",Parameter_1,origOffset,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int[],int).hash",Parameter_2,hash,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int[],int).q",Parameter_3,q,int[]
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int[],int).qlen",Parameter_4,qlen,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifyLongName(int[],int,int).q",Parameter_1,q,int[]
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifyLongName(int[],int,int).qlen",Parameter_2,qlen,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifyLongName(int[],int,int).spillOffset",Parameter_3,spillOffset,int
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifyLongName2(int[],int,int).q",Parameter_1,q,int[]
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifyLongName2(int[],int,int).qlen",Parameter_2,qlen,int
