FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
com.fasterxml.jackson.databind.DeserializationConfig,Class,"* Object that contains baseline configuration for deserialization\n * process. An instance is owned by {@link ObjectMapper}, which\n * passes an immutable instance to be used for deserialization process.\n *<p>\n * Note that instances are considered immutable and as such no copies\n * should need to be created for sharing; all copying is done with\n * ""fluent factory"" methods.","public , final ",com.fasterxml.jackson.databind.cfg.MapperConfigBase,java.io.Serializable
com.fasterxml.jackson.databind.DatabindException,Abstract Class,"* Intermediate base class for all databind level processing problems, as\n * distinct from stream-level problems or I/O issues below.\n *<p>\n * Added in 2.13 to eventually replace {@link com.fasterxml.jackson.databind.JsonMappingException};\n * for 2.x will allow limited use as target (as catching it will also catch mapping exception)\n * but will not be constructed or thrown directly.\n *\n * @since 2.13","public , abstract ",com.fasterxml.jackson.core.JsonProcessingException,
com.fasterxml.jackson.databind.RuntimeJsonMappingException,Class,* Wrapper used when interface does not allow throwing a checked\n * {@link JsonMappingException},public ,java.lang.RuntimeException,
com.fasterxml.jackson.databind.PropertyNamingStrategies,Abstract Class,"* Container for standard {@link PropertyNamingStrategy} implementations\n * and singleton instances.\n *<p>\n * Added in Jackson 2.12 to resolve issue\n * <a href=""https://github.com/FasterXML/jackson-databind/issues/2715"">databind#2715</a>.\n *\n * @since 2.12","public , abstract ",,java.io.Serializable
com.fasterxml.jackson.databind.PropertyNamingStrategies$SnakeCaseStrategy,Class,"* A {@link PropertyNamingStrategy} that translates typical camel case Java\n     * property names to lower case JSON element names, separated by\n     * underscores.  This implementation is somewhat lenient, in that it\n     * provides some additional translations beyond strictly translating from\n     * camel case only.  In particular, the following translations are applied\n     * by this PropertyNamingStrategy.\n     *\n     * <ul><li>Every upper case letter in the Java property name is translated\n     * into two characters, an underscore and the lower case equivalent of the\n     * target character, with three exceptions.\n     * <ol><li>For contiguous sequences of upper case letters, characters after\n     * the first character are replaced only by their lower case equivalent,\n     * and are not preceded by an underscore.\n     * <ul><li>This provides for reasonable translations of upper case acronyms,\n     * e.g., &quot;theWWW&quot; is translated to &quot;the_www&quot;.</li></ul></li>\n     * <li>An upper case character in the first position of the Java property\n     * name is not preceded by an underscore character, and is translated only\n     * to its lower case equivalent.\n     * <ul><li>For example, &quot;Results&quot; is translated to &quot;results&quot;,\n     * and not to &quot;_results&quot;.</li></ul></li>\n     * <li>An upper case character in the Java property name that is already\n     * preceded by an underscore character is translated only to its lower case\n     * equivalent, and is not preceded by an additional underscore.\n     * <ul><li>For example, &quot;user_Name&quot; is translated to\n     * &quot;user_name&quot;, and not to &quot;user__name&quot; (with two\n     * underscore characters).</li></ul></li></ol></li>\n     * <li>If the Java property name starts with an underscore, then that\n     * underscore is not included in the translated name, unless the Java\n     * property name is just one character in length, i.e., it is the\n     * underscore character.  This applies only to the first character of the\n     * Java property name.</li></ul>\n     *<p>\n     * These rules result in the following additional example translations from\n     * Java property names to JSON element names.\n     * <ul><li>&quot;userName&quot; is translated to &quot;user_name&quot;</li>\n     * <li>&quot;UserName&quot; is translated to &quot;user_name&quot;</li>\n     * <li>&quot;USER_NAME&quot; is translated to &quot;user_name&quot;</li>\n     * <li>&quot;user_name&quot; is translated to &quot;user_name&quot; (unchanged)</li>\n     * <li>&quot;user&quot; is translated to &quot;user&quot; (unchanged)</li>\n     * <li>&quot;User&quot; is translated to &quot;user&quot;</li>\n     * <li>&quot;USER&quot; is translated to &quot;user&quot;</li>\n     * <li>&quot;_user&quot; is translated to &quot;user&quot;</li>\n     * <li>&quot;_User&quot; is translated to &quot;user&quot;</li>\n     * <li>&quot;__user&quot; is translated to &quot;_user&quot;\n     * (the first of two underscores was removed)</li>\n     * <li>&quot;user__name&quot; is translated to &quot;user__name&quot;\n     * (unchanged, with two underscores)</li></ul>","public , static ",com.fasterxml.jackson.databind.PropertyNamingStrategies.NamingBase,
com.fasterxml.jackson.databind.PropertyNamingStrategies$UpperSnakeCaseStrategy,Class,* A {@link PropertyNamingStrategy} that translates an input to the equivalent upper case snake\n     * case. The class extends {@link PropertyNamingStrategies.SnakeCaseStrategy} to retain the\n     * snake case conversion functionality offered by the strategy.\n     *\n     * @since 2.13,"public , static ",com.fasterxml.jackson.databind.PropertyNamingStrategies.SnakeCaseStrategy,
com.fasterxml.jackson.databind.PropertyNamingStrategies$LowerCamelCaseStrategy,Class,"* ""No-operation"" strategy that is equivalent to not specifying any\n     * strategy: will simply return suggested standard bean naming as-is.","public , static ",com.fasterxml.jackson.databind.PropertyNamingStrategies.NamingBase,
com.fasterxml.jackson.databind.PropertyNamingStrategies$UpperCamelCaseStrategy,Class,"* A {@link PropertyNamingStrategy} that translates typical camelCase Java\n     * property names to PascalCase JSON element names (i.e., with a capital\n     * first letter).  In particular, the following translations are applied by\n     * this PropertyNamingStrategy.\n     *\n     * <ul><li>The first lower-case letter in the Java property name is translated\n     * into its equivalent upper-case representation.</li></ul>\n     *\n     * This rules result in the following example translation from\n     * Java property names to JSON element names.\n     * <ul><li>&quot;userName&quot; is translated to &quot;UserName&quot;</li></ul>","public , static ",com.fasterxml.jackson.databind.PropertyNamingStrategies.NamingBase,
com.fasterxml.jackson.databind.PropertyNamingStrategies$LowerCaseStrategy,Class,"* Simple strategy where external name simply only uses lower-case characters,\n     * and no separators.\n     * Conversion from internal name like ""someOtherValue"" would be into external name\n     * if ""someothervalue"".","public , static ",com.fasterxml.jackson.databind.PropertyNamingStrategies.NamingBase,
com.fasterxml.jackson.databind.PropertyNamingStrategies$KebabCaseStrategy,Class,"* Naming strategy similar to {@link PropertyNamingStrategies.SnakeCaseStrategy},\n     * but instead of underscores\n     * as separators, uses hyphens. Naming convention traditionally used for languages\n     * like Lisp.","public , static ",com.fasterxml.jackson.databind.PropertyNamingStrategies.NamingBase,
com.fasterxml.jackson.databind.PropertyNamingStrategies$LowerDotCaseStrategy,Class,"* Naming strategy similar to {@link PropertyNamingStrategies.KebabCaseStrategy},\n     * but instead of hyphens\n     * as separators, uses dots. Naming convention widely used as configuration properties name.","public , static ",com.fasterxml.jackson.databind.PropertyNamingStrategies.NamingBase,
