FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
com.fasterxml.jackson.databind.JsonNode$OverwriteMode.NONE,Enum Constant,"* Mode in which no values may be overwritten, not even {@code NullNode}s;\n         * only compatible paths may be traversed.",NONE,com.fasterxml.jackson.databind.JsonNode$OverwriteMode NONE,public 
com.fasterxml.jackson.databind.JsonNode$OverwriteMode.NULLS,Enum Constant,* Mode in which explicit {@code NullNode}s may be replaced but no other\n         * node types.,NULLS,com.fasterxml.jackson.databind.JsonNode$OverwriteMode NULLS,public 
com.fasterxml.jackson.databind.JsonNode$OverwriteMode.SCALARS,Enum Constant,"* Mode in which all scalar value nodes may be replaced, but not\n         * Array or Object nodes.",SCALARS,com.fasterxml.jackson.databind.JsonNode$OverwriteMode SCALARS,public 
com.fasterxml.jackson.databind.JsonNode$OverwriteMode.ALL,Enum Constant,"* Mode in which all incompatible node types may be replaced, including\n         * Array and Object nodes where necessary.",ALL,com.fasterxml.jackson.databind.JsonNode$OverwriteMode ALL,public 
com.fasterxml.jackson.databind.util.AccessPattern.ALWAYS_NULL,Enum Constant,* Value that indicates that provider never returns anything other than\n     * Java `null`.,ALWAYS_NULL,com.fasterxml.jackson.databind.util.AccessPattern ALWAYS_NULL,public 
com.fasterxml.jackson.databind.util.AccessPattern.CONSTANT,Enum Constant,"* Value that indicates that provider will always return a constant\n     * value, regardless of when it is called; and also that it never\n     * uses `context` argument (which may then be passed as `null`)",CONSTANT,com.fasterxml.jackson.databind.util.AccessPattern CONSTANT,public 
com.fasterxml.jackson.databind.util.AccessPattern.DYNAMIC,Enum Constant,"* Value that indicates that provider may return different values\n     * at different times (often a freshly constructed empty container),\n     * and thus must be called every time ""null replacement"" value is\n     * needed.",DYNAMIC,com.fasterxml.jackson.databind.util.AccessPattern DYNAMIC,public 
com.fasterxml.jackson.databind.util.NamingStrategyImpls.LOWER_CAMEL_CASE,Enum Constant,* beanName {@code ->} beanName,LOWER_CAMEL_CASE {\n\n    @Override\n    public String translate(String beanName) {\n        // beanName is already in lower camel case\n        return beanName;\n    }\n},com.fasterxml.jackson.databind.util.NamingStrategyImpls LOWER_CAMEL_CASE,public 
com.fasterxml.jackson.databind.util.NamingStrategyImpls.UPPER_CAMEL_CASE,Enum Constant,* beanName {@code ->} BeanName,"UPPER_CAMEL_CASE {\n\n    @Override\n    public String translate(String beanName) {\n        if (beanName == null || beanName.isEmpty()) {\n            // garbage in, garbage out\n            return beanName;\n        }\n        // Replace first lower-case letter with upper-case equivalent\n        char c = beanName.charAt(0);\n        char uc = Character.toUpperCase(c);\n        if (c == uc) {\n            return beanName;\n        }\n        StringBuilder sb = new StringBuilder(beanName);\n        sb.setCharAt(0, uc);\n        return sb.toString();\n    }\n}",com.fasterxml.jackson.databind.util.NamingStrategyImpls UPPER_CAMEL_CASE,public 
com.fasterxml.jackson.databind.util.NamingStrategyImpls.SNAKE_CASE,Enum Constant,* beanName {@code ->} bean_name,"SNAKE_CASE {\n\n    @Override\n    public String translate(String beanName) {\n        // garbage in, garbage out\n        if (beanName == null)\n            return beanName;\n        int length = beanName.length();\n        StringBuilder result = new StringBuilder(length * 2);\n        int resultLength = 0;\n        boolean wasPrevTranslated = false;\n        for (int i = 0; i < length; i++) {\n            char c = beanName.charAt(i);\n            if (// skip first starting underscore\n            i > 0 || c != '_') {\n                if (Character.isUpperCase(c)) {\n                    if (!wasPrevTranslated && resultLength > 0 && result.charAt(resultLength - 1) != '_') {\n                        result.append('_');\n                        resultLength++;\n                    }\n                    c = Character.toLowerCase(c);\n                    wasPrevTranslated = true;\n                } else {\n                    wasPrevTranslated = false;\n                }\n                result.append(c);\n                resultLength++;\n            }\n        }\n        return resultLength > 0 ? result.toString() : beanName;\n    }\n}",com.fasterxml.jackson.databind.util.NamingStrategyImpls SNAKE_CASE,public 
com.fasterxml.jackson.databind.util.NamingStrategyImpls.UPPER_SNAKE_CASE,Enum Constant,* beanName {@code ->} BEAN_NAME,UPPER_SNAKE_CASE {\n\n    @Override\n    public String translate(String beanName) {\n        String output = SNAKE_CASE.translate(beanName);\n        if (output == null) {\n            return null;\n        }\n        return output.toUpperCase();\n    }\n},com.fasterxml.jackson.databind.util.NamingStrategyImpls UPPER_SNAKE_CASE,public 
com.fasterxml.jackson.databind.util.NamingStrategyImpls.LOWER_CASE,Enum Constant,* beanName {@code ->} beanname,LOWER_CASE {\n\n    @Override\n    public String translate(String beanName) {\n        if (beanName == null || beanName.isEmpty()) {\n            return beanName;\n        }\n        return beanName.toLowerCase();\n    }\n},com.fasterxml.jackson.databind.util.NamingStrategyImpls LOWER_CASE,public 
com.fasterxml.jackson.databind.util.NamingStrategyImpls.KEBAB_CASE,Enum Constant,* beanName {@code ->} bean-name,"KEBAB_CASE {\n\n    @Override\n    public String translate(String beanName) {\n        return translateLowerCaseWithSeparator(beanName, '-');\n    }\n}",com.fasterxml.jackson.databind.util.NamingStrategyImpls KEBAB_CASE,public 
com.fasterxml.jackson.databind.util.NamingStrategyImpls.LOWER_DOT_CASE,Enum Constant,* beanName {@code ->} bean.name,"LOWER_DOT_CASE {\n\n    @Override\n    public String translate(String beanName) {\n        return translateLowerCaseWithSeparator(beanName, '.');\n    }\n}",com.fasterxml.jackson.databind.util.NamingStrategyImpls LOWER_DOT_CASE,public 
com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$DrainStatus.IDLE,Enum Constant,A drain is not taking place.,IDLE {\n\n    @Override\n    boolean shouldDrainBuffers(boolean delayable) {\n        return !delayable;\n    }\n},com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$DrainStatus IDLE,default
com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$DrainStatus.REQUIRED,Enum Constant,A drain is required due to a pending write modification.,REQUIRED {\n\n    @Override\n    boolean shouldDrainBuffers(boolean delayable) {\n        return true;\n    }\n},com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$DrainStatus REQUIRED,default
com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$DrainStatus.PROCESSING,Enum Constant,A drain is in progress.,PROCESSING {\n\n    @Override\n    boolean shouldDrainBuffers(boolean delayable) {\n        return false;\n    }\n},com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$DrainStatus PROCESSING,default
com.fasterxml.jackson.databind.SerializationFeature.WRAP_ROOT_VALUE,Enum Constant,"* Feature that can be enabled to make root value (usually JSON\n     * Object but can be any type) wrapped within a single property\n     * JSON object, where key as the ""root name"", as determined by\n     * annotation introspector (esp. for JAXB that uses\n     * <code>@XmlRootElement.name</code>) or fallback (non-qualified\n     * class name).\n     * Feature is mostly intended for JAXB compatibility.\n     *<p>\n     * Feature is disabled by default.",WRAP_ROOT_VALUE(false),com.fasterxml.jackson.databind.SerializationFeature WRAP_ROOT_VALUE,public 
com.fasterxml.jackson.databind.SerializationFeature.INDENT_OUTPUT,Enum Constant,"* Feature that allows enabling (or disabling) indentation\n     * for the underlying generator, using the default pretty\n     * printer configured for {@link ObjectMapper} (and\n     * {@link ObjectWriter}s created from mapper).\n     *<p>\n     * Note that the default pretty printer is only used if\n     * no explicit {@link com.fasterxml.jackson.core.PrettyPrinter} has been configured\n     * for the generator or {@link ObjectWriter}.\n     *<p>\n     * Feature is disabled by default.",INDENT_OUTPUT(false),com.fasterxml.jackson.databind.SerializationFeature INDENT_OUTPUT,public 
com.fasterxml.jackson.databind.SerializationFeature.FAIL_ON_EMPTY_BEANS,Enum Constant,"* Feature that determines what happens when no accessors are\n     * found for a type (and there are no annotations to indicate\n     * it is meant to be serialized). If enabled (default), an\n     * exception is thrown to indicate these as non-serializable\n     * types; if disabled, they are serialized as empty Objects,\n     * i.e. without any properties.\n     *<p>\n     * Note that empty types that this feature has only effect on\n     * those ""empty"" beans that do not have any recognized annotations\n     * (like <code>@JsonSerialize</code>): ones that do have annotations\n     * do not result in an exception being thrown.\n     *<p>\n     * Feature is enabled by default.",FAIL_ON_EMPTY_BEANS(true),com.fasterxml.jackson.databind.SerializationFeature FAIL_ON_EMPTY_BEANS,public 
com.fasterxml.jackson.databind.SerializationFeature.FAIL_ON_SELF_REFERENCES,Enum Constant,"* Feature that determines what happens when a direct self-reference\n     * is detected by a POJO (and no Object Id handling is enabled for it):\n     * either a {@link JsonMappingException} is\n     * thrown (if true), or reference is normally processed (false).\n     *<p>\n     * Feature is enabled by default.\n     *\n     * @since 2.4",FAIL_ON_SELF_REFERENCES(true),com.fasterxml.jackson.databind.SerializationFeature FAIL_ON_SELF_REFERENCES,public 
com.fasterxml.jackson.databind.SerializationFeature.WRAP_EXCEPTIONS,Enum Constant,"* Feature that determines whether Jackson code should catch\n     * and wrap {@link Exception}s (but never {@link Error}s!)\n     * to add additional information about\n     * location (within input) of problem or not. If enabled,\n     * most exceptions will be caught and re-thrown (exception\n     * specifically being that {@link java.io.IOException}s may be passed\n     * as is, since they are declared as throwable); this can be\n     * convenient both in that all exceptions will be checked and\n     * declared, and so there is more contextual information.\n     * However, sometimes calling application may just want ""raw""\n     * unchecked exceptions passed as is.\n     *<p>\n     *<p>\n     * Feature is enabled by default.",WRAP_EXCEPTIONS(true),com.fasterxml.jackson.databind.SerializationFeature WRAP_EXCEPTIONS,public 
com.fasterxml.jackson.databind.SerializationFeature.FAIL_ON_UNWRAPPED_TYPE_IDENTIFIERS,Enum Constant,"* Feature that determines what happens when an object which\n     * normally has type information included by Jackson is used\n     * in conjunction with {@link com.fasterxml.jackson.annotation.JsonUnwrapped}.\n     * In the default (enabled) state, an error will be thrown when\n     * an unwrapped object has type information. When disabled, the\n     * object will be unwrapped and the type information discarded.\n     *<p>\n     * Feature is enabled by default.\n     *\n     * @since 2.4",FAIL_ON_UNWRAPPED_TYPE_IDENTIFIERS(true),com.fasterxml.jackson.databind.SerializationFeature FAIL_ON_UNWRAPPED_TYPE_IDENTIFIERS,public 
com.fasterxml.jackson.databind.SerializationFeature.WRITE_SELF_REFERENCES_AS_NULL,Enum Constant,"* Feature that determines what happens when a direct self-reference is detected\n     * by a POJO (and no Object Id handling is enabled for it):\n     * if enabled write that reference as null; if disabled, default behavior is\n     * used (which will try to serialize usually resulting in exception).\n     * But if {@link SerializationFeature#FAIL_ON_SELF_REFERENCES} is enabled. this property is ignored.\n     * <p>\n     * Feature is disabled by default.\n     *\n     * @since 2.11",WRITE_SELF_REFERENCES_AS_NULL(false),com.fasterxml.jackson.databind.SerializationFeature WRITE_SELF_REFERENCES_AS_NULL,public 
com.fasterxml.jackson.databind.SerializationFeature.CLOSE_CLOSEABLE,Enum Constant,"* Feature that determines whether <code>close</code> method of\n      * serialized <b>root level</b> objects (ones for which <code>ObjectMapper</code>'s\n      * writeValue() (or equivalent) method is called)\n      * that implement {@link java.io.Closeable}\n      * is called after serialization or not. If enabled, <b>close()</b> will\n      * be called after serialization completes (whether succesfully, or\n      * due to an error manifested by an exception being thrown). You can\n      * think of this as sort of ""finally"" processing.\n      *<p>\n      * NOTE: only affects behavior with <b>root</b> objects, and not other\n      * objects reachable from the root object. Put another way, only one\n      * call will be made for each 'writeValue' call.\n     *<p>\n     * Feature is disabled by default.",CLOSE_CLOSEABLE(false),com.fasterxml.jackson.databind.SerializationFeature CLOSE_CLOSEABLE,public 
com.fasterxml.jackson.databind.SerializationFeature.FLUSH_AFTER_WRITE_VALUE,Enum Constant,* Feature that determines whether <code>JsonGenerator.flush()</code> is\n     * called after <code>writeValue()</code> method <b>that takes JsonGenerator\n     * as an argument</b> completes (i.e. does NOT affect methods\n     * that use other destinations); same for methods in {@link ObjectWriter}.\n     * This usually makes sense; but there are cases where flushing\n     * should not be forced: for example when underlying stream is\n     * compressing and flush() causes compression state to be flushed\n     * (which occurs with some compression codecs).\n     *<p>\n     * Feature is enabled by default.,FLUSH_AFTER_WRITE_VALUE(true),com.fasterxml.jackson.databind.SerializationFeature FLUSH_AFTER_WRITE_VALUE,public 
com.fasterxml.jackson.databind.SerializationFeature.WRITE_DATES_AS_TIMESTAMPS,Enum Constant,"* Feature that determines whether Date (and date/time) values\n     * (and Date-based things like {@link java.util.Calendar}s) are to be\n     * serialized as numeric time stamps (true; the default),\n     * or as something else (usually textual representation).\n     * If textual representation is used, the actual format depends on configuration\n     * settings including possible per-property use of {@code @JsonFormat} annotation,\n     * globally configured {@link java.text.DateFormat}.\n     *<p>\n     * For ""classic"" JDK date types ({@link java.util.Date}, {@link java.util.Calendar})\n     * the default formatting is provided by {@link com.fasterxml.jackson.databind.util.StdDateFormat},\n     * and corresponds to format String of ""yyyy-MM-dd'T'HH:mm:ss.SSSX""\n     * (see {@link java.text.DateFormat} for details of format Strings).\n     * Whether this feature affects handling of other date-related\n     * types depend on handlers of those types, although ideally they\n     * should use this feature\n     *<p>\n     * Note: whether {@link java.util.Map} keys are serialized as Strings\n     * or not is controlled using {@link #WRITE_DATE_KEYS_AS_TIMESTAMPS} instead of\n     * this feature.\n     *<p>\n     * Feature is enabled by default, so that date/time are by default\n     * serialized as time stamps.",WRITE_DATES_AS_TIMESTAMPS(true),com.fasterxml.jackson.databind.SerializationFeature WRITE_DATES_AS_TIMESTAMPS,public 
com.fasterxml.jackson.databind.SerializationFeature.WRITE_DATE_KEYS_AS_TIMESTAMPS,Enum Constant,"* Feature that determines whether {@link java.util.Date}s\n     * (and sub-types) used as {@link java.util.Map} keys are serialized\n     * as time stamps or not (if not, will be serialized as textual values).\n     *<p>\n     * Default value is 'false', meaning that Date-valued Map keys are serialized\n     * as textual (ISO-8601) values.\n     *<p>\n     * Feature is disabled by default.",WRITE_DATE_KEYS_AS_TIMESTAMPS(false),com.fasterxml.jackson.databind.SerializationFeature WRITE_DATE_KEYS_AS_TIMESTAMPS,public 
