FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
com.fasterxml.jackson.databind.DeserializationConfig.serialVersionUID,Field,since 2.9,private static final long serialVersionUID = 2;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.databind.DeserializationConfig.DESER_FEATURE_DEFAULTS,Field,since 2.10.1,private final static int DESER_FEATURE_DEFAULTS = collectFeatureDefaults(DeserializationFeature.class);,int DESER_FEATURE_DEFAULTS,"private , final , static "
com.fasterxml.jackson.databind.DeserializationConfig._problemHandlers,Field,* Linked list that contains all registered problem handlers.\n     * Implementation as front-added linked list allows for sharing\n     * of the list (tail) without copying the list.,protected final LinkedNode<DeserializationProblemHandler> _problemHandlers;,com.fasterxml.jackson.databind.util.LinkedNode _problemHandlers,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._nodeFactory,Field,* Factory used for constructing {@link com.fasterxml.jackson.databind.JsonNode} instances.,protected final JsonNodeFactory _nodeFactory;,com.fasterxml.jackson.databind.node.JsonNodeFactory _nodeFactory,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._coercionConfigs,Field,* @since 2.12,protected final CoercionConfigs _coercionConfigs;,com.fasterxml.jackson.databind.cfg.CoercionConfigs _coercionConfigs,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._ctorDetector,Field,* @since 2.12,protected final ConstructorDetector _ctorDetector;,com.fasterxml.jackson.databind.cfg.ConstructorDetector _ctorDetector,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._deserFeatures,Field,* Set of {@link DeserializationFeature}s enabled.,protected final int _deserFeatures;,int _deserFeatures,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._parserFeatures,Field,* States of {@link com.fasterxml.jackson.core.JsonParser.Feature}s to enable/disable.,protected final int _parserFeatures;,int _parserFeatures,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._parserFeaturesToChange,Field,* Bitflag of {@link com.fasterxml.jackson.core.JsonParser.Feature}s to enable/disable,protected final int _parserFeaturesToChange;,int _parserFeaturesToChange,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._formatReadFeatures,Field,* States of {@link com.fasterxml.jackson.core.FormatFeature}s to enable/disable.\n     *\n     * @since 2.7,protected final int _formatReadFeatures;,int _formatReadFeatures,"protected , final "
com.fasterxml.jackson.databind.DeserializationConfig._formatReadFeaturesToChange,Field,* Bitflag of {@link com.fasterxml.jackson.core.FormatFeature}s to enable/disable\n     *\n     * @since 2.7,protected final int _formatReadFeaturesToChange;,int _formatReadFeaturesToChange,"protected , final "
com.fasterxml.jackson.databind.DatabindException.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 3L;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.databind.PropertyNamingStrategies.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 2L;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.databind.PropertyNamingStrategies.LOWER_CAMEL_CASE,Field,"* Naming convention used in Java, where words other than first are capitalized\n     * and no separator is used between words. Since this is the native Java naming convention,\n     * naming strategy will not do any transformation between names in data (JSON) and\n     * POJOS.\n     *<p>\n     * Example external property names would be ""numberValue"", ""namingStrategy"", ""theDefiniteProof"".",public static final PropertyNamingStrategy LOWER_CAMEL_CASE = LowerCamelCaseStrategy.INSTANCE;,com.fasterxml.jackson.databind.PropertyNamingStrategy LOWER_CAMEL_CASE,"public , static , final "
