FEN:ID,:LABEL,Parameter Name,Data Type
com.fasterxml.jackson.databind.DeserializationConfig._withBase(BaseSettings).newBase,Parameter_1,newBase,com.fasterxml.jackson.databind.cfg.BaseSettings
com.fasterxml.jackson.databind.DeserializationConfig._withMapperFeatures(long).mapperFeatures,Parameter_1,mapperFeatures,long
com.fasterxml.jackson.databind.DeserializationConfig._with(DatatypeFeatures).dtFeatures,Parameter_1,dtFeatures,com.fasterxml.jackson.databind.cfg.DatatypeFeatures
com.fasterxml.jackson.databind.DeserializationConfig.with(SubtypeResolver).str,Parameter_1,str,com.fasterxml.jackson.databind.jsontype.SubtypeResolver
com.fasterxml.jackson.databind.DeserializationConfig.withRootName(PropertyName).rootName,Parameter_1,rootName,com.fasterxml.jackson.databind.PropertyName
com.fasterxml.jackson.databind.DeserializationConfig.withView(Class).view,Parameter_1,view,java.lang.Class
com.fasterxml.jackson.databind.DeserializationConfig.with(ContextAttributes).attrs,Parameter_1,attrs,com.fasterxml.jackson.databind.cfg.ContextAttributes
com.fasterxml.jackson.databind.DeserializationConfig.with(DeserializationFeature).feature,Parameter_1,feature,com.fasterxml.jackson.databind.DeserializationFeature
"com.fasterxml.jackson.databind.DeserializationConfig.with(DeserializationFeature,DeserializationFeature[]).first",Parameter_1,first,com.fasterxml.jackson.databind.DeserializationFeature
"com.fasterxml.jackson.databind.DeserializationConfig.with(DeserializationFeature,DeserializationFeature[]).features",Parameter_2,features,com.fasterxml.jackson.databind.DeserializationFeature[]
com.fasterxml.jackson.databind.DeserializationConfig.withFeatures(DeserializationFeature[]).features,Parameter_1,features,com.fasterxml.jackson.databind.DeserializationFeature[]
com.fasterxml.jackson.databind.DeserializationConfig.without(DeserializationFeature).feature,Parameter_1,feature,com.fasterxml.jackson.databind.DeserializationFeature
"com.fasterxml.jackson.databind.DeserializationConfig.without(DeserializationFeature,DeserializationFeature[]).first",Parameter_1,first,com.fasterxml.jackson.databind.DeserializationFeature
"com.fasterxml.jackson.databind.DeserializationConfig.without(DeserializationFeature,DeserializationFeature[]).features",Parameter_2,features,com.fasterxml.jackson.databind.DeserializationFeature[]
com.fasterxml.jackson.databind.DeserializationConfig.withoutFeatures(DeserializationFeature[]).features,Parameter_1,features,com.fasterxml.jackson.databind.DeserializationFeature[]
com.fasterxml.jackson.databind.DeserializationConfig.with(FormatFeature).feature,Parameter_1,feature,com.fasterxml.jackson.core.FormatFeature
com.fasterxml.jackson.databind.DeserializationConfig.withFeatures(FormatFeature[]).features,Parameter_1,features,com.fasterxml.jackson.core.FormatFeature[]
com.fasterxml.jackson.databind.DeserializationConfig.without(FormatFeature).feature,Parameter_1,feature,com.fasterxml.jackson.core.FormatFeature
com.fasterxml.jackson.databind.DeserializationConfig.withoutFeatures(FormatFeature[]).features,Parameter_1,features,com.fasterxml.jackson.core.FormatFeature[]
com.fasterxml.jackson.databind.DeserializationConfig._withJsonReadFeatures(FormatFeature[]).features,Parameter_1,features,com.fasterxml.jackson.core.FormatFeature[]
com.fasterxml.jackson.databind.DeserializationConfig._withoutJsonReadFeatures(FormatFeature[]).features,Parameter_1,features,com.fasterxml.jackson.core.FormatFeature[]
com.fasterxml.jackson.databind.DeserializationConfig.with(JsonNodeFactory).f,Parameter_1,f,com.fasterxml.jackson.databind.node.JsonNodeFactory
com.fasterxml.jackson.databind.DeserializationConfig.with(ConstructorDetector).ctorDetector,Parameter_1,ctorDetector,com.fasterxml.jackson.databind.cfg.ConstructorDetector
com.fasterxml.jackson.databind.DeserializationConfig.withHandler(DeserializationProblemHandler).h,Parameter_1,h,com.fasterxml.jackson.databind.deser.DeserializationProblemHandler
com.fasterxml.jackson.databind.DeserializationConfig.initialize(JsonParser).p,Parameter_1,p,com.fasterxml.jackson.core.JsonParser
"com.fasterxml.jackson.databind.DeserializationConfig.initialize(JsonParser,FormatSchema).p",Parameter_1,p,com.fasterxml.jackson.core.JsonParser
"com.fasterxml.jackson.databind.DeserializationConfig.initialize(JsonParser,FormatSchema).schema",Parameter_2,schema,com.fasterxml.jackson.core.FormatSchema
com.fasterxml.jackson.databind.DeserializationConfig.isEnabled(DeserializationFeature).feature,Parameter_1,feature,com.fasterxml.jackson.databind.DeserializationFeature
com.fasterxml.jackson.databind.DeserializationConfig.hasDeserializationFeatures(int).featureMask,Parameter_1,featureMask,int
com.fasterxml.jackson.databind.DeserializationConfig.hasSomeOfFeatures(int).featureMask,Parameter_1,featureMask,int
com.fasterxml.jackson.databind.DeserializationConfig.isEnabled(DatatypeFeature).feature,Parameter_1,feature,com.fasterxml.jackson.databind.cfg.DatatypeFeature
com.fasterxml.jackson.databind.DeserializationConfig.introspect(JavaType).type,Parameter_1,type,com.fasterxml.jackson.databind.JavaType
