"FEN","Type","Comment","Source Code","Return Type","Modifier","class_extends","implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter","Interface","* There are some XML-specific quirks that need extra TLC when
 * indenting: so we will use a refinement of general purpose one.","Interface do not obtain Source Code","No return type","public ","com.fasterxml.jackson.core.PrettyPrinter",""
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String)","Abstract Method","* Method for forcibly writing a start element, without going
     * through Jackson generator (and thus, without updating currently
     * active element stack)
     * 
     * @since 2.1","public void writeStartElement(XMLStreamWriter2 sw, String nsURI, String localName) throws XMLStreamException;","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String).sw","Parameter_1","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String).nsURI","Parameter_2","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String).localName","Parameter_3","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeEndElement(XMLStreamWriter2,int)","Abstract Method","* Method for forcibly writing an end element, without going
     * through Jackson generator (and thus, without updating currently
     * active element stack)
     * 
     * @since 2.1","public void writeEndElement(XMLStreamWriter2 sw, int nrOfEntries) throws XMLStreamException;","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeEndElement(XMLStreamWriter2,int).sw","Parameter_1","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeEndElement(XMLStreamWriter2,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeEndElement(XMLStreamWriter2,int).nrOfEntries","Parameter_2","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeEndElement(XMLStreamWriter2,int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writePrologLinefeed(XMLStreamWriter2)","Abstract Method","* Method for trying to write a linefeed to separate entities outside of the
     * root element (that is, in prolog or epilog), most often called to separate
     * XML declaration from the root element.
     *
     * @since 2.7","public void writePrologLinefeed(XMLStreamWriter2 sw) throws XMLStreamException;","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writePrologLinefeed(XMLStreamWriter2).sw","Parameter_1","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writePrologLinefeed(XMLStreamWriter2)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean)","Abstract Method","No Comment","public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, String text, boolean isCData) throws XMLStreamException;","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean).sw","Parameter_1","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean).nsURI","Parameter_2","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean).localName","Parameter_3","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean).text","Parameter_4","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean).isCData","Parameter_5","Belong to com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,char[],int,int,boolean)","Abstract Method","No Comment","public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, char[] buffer, int offset, int len, boolean isCData) throws XMLStreamException;","void","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
