FEN,Type,class,sub_signature,cfg_dot
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair._xmlSecondary","field","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary","field with no cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.serialVersionUID","field","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","long serialVersionUID","field with no cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair._xmlPrimary","field","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary","field with no cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsAttribute(MapperConfig,Annotated)","Method","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","java.lang.Boolean isOutputAsAttribute(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)","digraph cfg_isOutputAsAttribute {
	""1"" [label=""$stack4 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""2"" [label=""$stack5 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""3"" [label=""$stack6 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""4"" [label=""$stack7 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""5"" [label=""ann := @parameter1: com.fasterxml.jackson.databind.introspect.Annotated""];
	""6"" [label=""config := @parameter0: com.fasterxml.jackson.databind.cfg.MapperConfig""];
	""7"" [label=""goto""];
	""8"" [label=""if $stack4 != null""];
	""9"" [label=""if $stack6 == null""];
	""10"" [label=""if value != null""];
	""11"" [label=""return value""];
	""12"" [label=""this := @this: com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair""];
	""13"" [label=""value = interfaceinvoke $stack5.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.Boolean isOutputAsAttribute(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""14"" [label=""value = interfaceinvoke $stack7.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.Boolean isOutputAsAttribute(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""15"" [label=""value = null""];
	""1"" -> ""8""[label=""cfg_next""];
	""10"" -> ""11""[label=""cfg_true""];
	""10"" -> ""3""[label=""cfg_false""];
	""12"" -> ""6""[label=""cfg_next""];
	""13"" -> ""10""[label=""cfg_next""];
	""14"" -> ""11""[label=""cfg_next""];
	""15"" -> ""7""[label=""cfg_next""];
	""2"" -> ""13""[label=""cfg_next""];
	""3"" -> ""9""[label=""cfg_next""];
	""4"" -> ""14""[label=""cfg_next""];
	""5"" -> ""1""[label=""cfg_next""];
	""6"" -> ""5""[label=""cfg_next""];
	""7"" -> ""10""[label=""cfg_goto""];
	""8"" -> ""15""[label=""cfg_false""];
	""8"" -> ""2""[label=""cfg_true""];
	""9"" -> ""11""[label=""cfg_true""];
	""9"" -> ""4""[label=""cfg_false""];
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsAttribute(MapperConfig,Annotated)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.cfg.MapperConfig","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.isOutputAsAttribute(MapperConfig,Annotated)","Parameter_2","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.introspect.Annotated","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.instance(AnnotationIntrospector,AnnotationIntrospector)","Method","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair instance(com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.AnnotationIntrospector)","digraph cfg_instance {
	""1"" [label=""$stack2 = new com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair""];
	""2"" [label=""a1 := @parameter0: com.fasterxml.jackson.databind.AnnotationIntrospector""];
	""3"" [label=""a2 := @parameter1: com.fasterxml.jackson.databind.AnnotationIntrospector""];
	""4"" [label=""return $stack2""];
	""5"" [label=""specialinvoke $stack2.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: void <init>(com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.databind.AnnotationIntrospector)>(a1, a2)""];
	""1"" -> ""5""[label=""cfg_next""];
	""2"" -> ""3""[label=""cfg_next""];
	""3"" -> ""1""[label=""cfg_next""];
	""5"" -> ""4""[label=""cfg_next""];
}
"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.instance(AnnotationIntrospector,AnnotationIntrospector)","Parameter_1","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.AnnotationIntrospector","Parameter does not obtain cfg"
"Belong to com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.instance(AnnotationIntrospector,AnnotationIntrospector)","Parameter_2","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","com.fasterxml.jackson.databind.AnnotationIntrospector","Parameter does not obtain cfg"
"com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair.findNamespace(MapperConfig,Annotated)","Method","com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair","java.lang.String findNamespace(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)","digraph cfg_findNamespace {
	""1"" [label=""$stack4 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""2"" [label=""$stack5 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlPrimary>""];
	""3"" [label=""$stack6 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""4"" [label=""$stack7 = this.<com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair: com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions _xmlSecondary>""];
	""5"" [label=""ann := @parameter1: com.fasterxml.jackson.databind.introspect.Annotated""];
	""6"" [label=""config := @parameter0: com.fasterxml.jackson.databind.cfg.MapperConfig""];
	""7"" [label=""goto""];
	""8"" [label=""if $stack4 != null""];
	""9"" [label=""if $stack6 == null""];
	""10"" [label=""if value != null""];
	""11"" [label=""return value""];
	""12"" [label=""this := @this: com.fasterxml.jackson.dataformat.xml.XmlAnnotationIntrospector$Pair""];
	""13"" [label=""value = interfaceinvoke $stack5.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.String findNamespace(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""14"" [label=""value = interfaceinvoke $stack7.<com.fasterxml.jackson.databind.AnnotationIntrospector$XmlExtensions: java.lang.String findNamespace(com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated)>(config, ann)""];
	""15"" [label=""value = null""];
	""1"" -> ""8""[label=""cfg_next""];
	""10"" -> ""11""[label=""cfg_true""];
	""10"" -> ""3""[label=""cfg_false""];
	""12"" -> ""6""[label=""cfg_next""];
	""13"" -> ""10""[label=""cfg_next""];
	""14"" -> ""11""[label=""cfg_next""];
	""15"" -> ""7""[label=""cfg_next""];
	""2"" -> ""13""[label=""cfg_next""];
	""3"" -> ""9""[label=""cfg_next""];
	""4"" -> ""14""[label=""cfg_next""];
	""5"" -> ""1""[label=""cfg_next""];
	""6"" -> ""5""[label=""cfg_next""];
	""7"" -> ""10""[label=""cfg_goto""];
	""8"" -> ""15""[label=""cfg_false""];
	""8"" -> ""2""[label=""cfg_true""];
	""9"" -> ""11""[label=""cfg_true""];
	""9"" -> ""4""[label=""cfg_false""];
}
"
