FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
com.fasterxml.jackson.dataformat.xml.XmlFactoryBuilder._formatParserFeatures,Field,"* Set of {@code FromXmlParser.Feature}s enabled, as bitmask.",protected int _formatParserFeatures;,int _formatParserFeatures,protected 
com.fasterxml.jackson.dataformat.xml.XmlFactoryBuilder._formatGeneratorFeatures,Field,"* Set of {@@code ToXmlGenerator.Feature}s enabled, as bitmask.",protected int _formatGeneratorFeatures;,int _formatGeneratorFeatures,protected 
com.fasterxml.jackson.dataformat.xml.XmlFactoryBuilder._xmlInputFactory,Field,"* Stax factory for creating underlying input stream readers;\n     * `null` for ""use default instance with default settings""",protected XMLInputFactory _xmlInputFactory;,javax.xml.stream.XMLInputFactory _xmlInputFactory,protected 
com.fasterxml.jackson.dataformat.xml.XmlFactoryBuilder._xmlOutputFactory,Field,"* Stax factory for creating underlying output stream writers;\n     * `null` for ""use default instance with default settings""",protected XMLOutputFactory _xmlOutputFactory;,javax.xml.stream.XMLOutputFactory _xmlOutputFactory,protected 
com.fasterxml.jackson.dataformat.xml.XmlFactoryBuilder._nameForTextElement,Field,"* In cases where a start element has both attributes and non-empty textual\n     * value, we have to create a bogus property; we will use this as\n     * the property name.\n     *<p>\n     * Name used for pseudo-property used for returning XML Text value (which does\n     * not have actual element name to use). Defaults to empty String, but\n     * may be changed for interoperability reasons: JAXB, for example, uses\n     * ""value"" as name.",protected String _nameForTextElement;,java.lang.String _nameForTextElement,protected 
com.fasterxml.jackson.dataformat.xml.XmlFactoryBuilder._classLoaderForStax,Field,"* Optional {@link ClassLoader} to use for constructing\n     * {@link XMLInputFactory} and {@kink XMLOutputFactory} instances if\n     * not explicitly specified by caller. If not specified, will\n     * default to {@link ClassLoader} that loaded this class.\n     *\n     * @since 2.13",protected ClassLoader _classLoaderForStax;,java.lang.ClassLoader _classLoaderForStax,protected 
com.fasterxml.jackson.dataformat.xml.XmlFactoryBuilder._nameProcessor,Field,* See {@link XmlNameProcessor} and {@link XmlNameProcessors}\n     *\n     * @since 2.14,protected XmlNameProcessor _nameProcessor;,com.fasterxml.jackson.dataformat.xml.XmlNameProcessor _nameProcessor,protected 
com.fasterxml.jackson.dataformat.xml.util.XmlInfo._namespace,Field,No Comment,protected final String _namespace;,java.lang.String _namespace,"protected , final "
com.fasterxml.jackson.dataformat.xml.util.XmlInfo._isAttribute,Field,No Comment,protected final boolean _isAttribute;,boolean _isAttribute,"protected , final "
com.fasterxml.jackson.dataformat.xml.util.XmlInfo._isText,Field,No Comment,protected final boolean _isText;,boolean _isText,"protected , final "
com.fasterxml.jackson.dataformat.xml.util.XmlInfo._isCData,Field,No Comment,protected final boolean _isCData;,boolean _isCData,"protected , final "
com.fasterxml.jackson.dataformat.xml.util.StaxUtil$Base64Mapper.instance,Field,No Comment,public final static Base64Mapper instance = new Base64Mapper();,com.fasterxml.jackson.dataformat.xml.util.StaxUtil$Base64Mapper instance,"public , final , static "
com.fasterxml.jackson.dataformat.xml.util.StaxUtil$Base64Mapper.j2stax2,Field,No Comment,"private final Map<String, org.codehaus.stax2.typed.Base64Variant> j2stax2 = new HashMap<>();",java.util.Map j2stax2,"private , final "
com.fasterxml.jackson.dataformat.xml.util.CaseInsensitiveNameSet._namesToMatch,Field,No Comment,private final Set<String> _namesToMatch;,java.util.Set _namesToMatch,"private , final "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.serialVersionUID,Field,since 2.6,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter._arrayIndenter,Field,"* By default, let's use only spaces to separate array values.",protected Indenter _arrayIndenter = new FixedSpaceIndenter();,com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Indenter _arrayIndenter,protected 
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter._objectIndenter,Field,"* By default, let's use linefeed-adding indenter for separate\n     * object entries. We'll further configure indenter to use\n     * system-specific linefeeds, and 2 spaces per level (as opposed to,\n     * say, single tabs)",protected Indenter _objectIndenter = new Lf2SpacesIndenter();,com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Indenter _objectIndenter,protected 
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.SYSTEM_DEFAULT_NEW_LINE,Field,"* By default, will try to set as System.getProperty(""line.separator"").\n     * Can later set custom new line with withCustomNewLine method.\n     * @since 2.15",private static final String SYSTEM_DEFAULT_NEW_LINE;,java.lang.String SYSTEM_DEFAULT_NEW_LINE,"private , static , final "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter._newLine,Field,No Comment,protected String _newLine = SYSTEM_DEFAULT_NEW_LINE;,java.lang.String _newLine,protected 
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.SPACE_COUNT,Field,No Comment,static final int SPACE_COUNT = 64;,int SPACE_COUNT,"static , final "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.SPACES,Field,No Comment,static final char[] SPACES = new char[SPACE_COUNT];,char[] SPACES,"static , final "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter._nesting,Field,* Number of open levels of nesting. Used to determine amount of\n     * indentation to use.,protected transient int _nesting = 0;,int _nesting,"protected , transient "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter._justHadStartElement,Field,"* Marker flag set on start element, and cleared if an end element\n     * is encountered. Used for suppressing indentation to allow empty\n     * elements.\n     * \n     * @since 2.3",protected transient boolean _justHadStartElement;,boolean _justHadStartElement,"protected , transient "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$NopIndenter.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$FixedSpaceIndenter.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter$Lf2SpacesIndenter.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.dataformat.xml.util.Stax2JacksonReaderAdapter._delegate,Field,No Comment,private final XMLStreamReader _delegate;,javax.xml.stream.XMLStreamReader _delegate,"private , final "
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup.ROOT_NAME_FOR_NULL,Field,"* If all we get to serialize is a null, there's no way to figure out\n     * expected root name; so let's just default to literal {@code ""null""}.","public final static QName ROOT_NAME_FOR_NULL = new QName(""null"");",javax.xml.namespace.QName ROOT_NAME_FOR_NULL,"public , final , static "
