FEN:ID,:LABEL,Comment,Source Code,Signature,CFG,Modifiers
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeStartElement(XMLStreamWriter2,String,String)",Abstract Method,"* Method for forcibly writing a start element, without going\n     * through Jackson generator (and thus, without updating currently\n     * active element stack)\n     * \n     * @since 2.1","public void writeStartElement(XMLStreamWriter2 sw, String nsURI, String localName) throws XMLStreamException;","void writeStartElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String)",digraph cfg_writeStartElement {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeEndElement(XMLStreamWriter2,int)",Abstract Method,"* Method for forcibly writing an end element, without going\n     * through Jackson generator (and thus, without updating currently\n     * active element stack)\n     * \n     * @since 2.1","public void writeEndElement(XMLStreamWriter2 sw, int nrOfEntries) throws XMLStreamException;","void writeEndElement(org.codehaus.stax2.XMLStreamWriter2,int)",digraph cfg_writeEndElement {\n}\n,public 
com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writePrologLinefeed(XMLStreamWriter2),Abstract Method,"* Method for trying to write a linefeed to separate entities outside of the\n     * root element (that is, in prolog or epilog), most often called to separate\n     * XML declaration from the root element.\n     *\n     * @since 2.7",public void writePrologLinefeed(XMLStreamWriter2 sw) throws XMLStreamException;,void writePrologLinefeed(org.codehaus.stax2.XMLStreamWriter2),digraph cfg_writePrologLinefeed {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,String,boolean)",Abstract Method,No Comment,"public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, String text, boolean isCData) throws XMLStreamException;","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,java.lang.String,boolean)",digraph cfg_writeLeafElement {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,char[],int,int,boolean)",Abstract Method,No Comment,"public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, char[] buffer, int offset, int len, boolean isCData) throws XMLStreamException;","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,char[],int,int,boolean)",digraph cfg_writeLeafElement {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,boolean)",Abstract Method,No Comment,"public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, boolean value) throws XMLStreamException;","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,boolean)",digraph cfg_writeLeafElement {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,int)",Abstract Method,No Comment,"public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, int value) throws XMLStreamException;","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,int)",digraph cfg_writeLeafElement {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,long)",Abstract Method,No Comment,"public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, long value) throws XMLStreamException;","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,long)",digraph cfg_writeLeafElement {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,double)",Abstract Method,No Comment,"public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, double value) throws XMLStreamException;","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,double)",digraph cfg_writeLeafElement {\n}\n,public 
"com.fasterxml.jackson.dataformat.xml.XmlPrettyPrinter.writeLeafElement(XMLStreamWriter2,String,String,float)",Abstract Method,No Comment,"public void writeLeafElement(XMLStreamWriter2 sw, String nsURI, String localName, float value) throws XMLStreamException;","void writeLeafElement(org.codehaus.stax2.XMLStreamWriter2,java.lang.String,java.lang.String,float)",digraph cfg_writeLeafElement {\n}\n,public 
