"FEN","Type","Comment","Source Code","Return Type","Modifier","class_extends","implements"
"org.apache.commons.codec.CodecPolicy","Enum","* Defines encoding and decoding policies.
 *
 * @since 1.15","Enum do not obtain Source Code","No return type","public ","enum has no extends",""
"org.apache.commons.codec.CodecPolicy.STRICT","Enum Constant","* The strict policy. Data that causes a codec to fail should throw an exception.","STRICT","No return type","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.CodecPolicy.LENIENT","Enum Constant","* The lenient policy. Data that causes a codec to fail should not throw an exception.","LENIENT","No return type","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.BinaryDecoder","Interface","* Defines common decoding methods for byte array decoders.","Interface do not obtain Source Code","No return type","public ","org.apache.commons.codec.Decoder",""
"org.apache.commons.codec.BinaryDecoder.decode(byte[])","Abstract Method","* Decodes a byte array and returns the results as a byte array.
     *
     * @param source
     *            A byte array which has been encoded with the appropriate encoder
     * @return a byte array that contains decoded content
     * @throws DecoderException
     *             A decoder exception is thrown if a Decoder encounters a failure condition during the decode process.","byte[] decode(byte[] source) throws DecoderException;","byte[]","default","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.BinaryDecoder.decode(byte[]).source","Parameter_1","Belong to org.apache.commons.codec.BinaryDecoder.decode(byte[])","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException","Class","* Thrown when there is a failure condition during the decoding process. This exception is thrown when a {@link Decoder}
 * encounters a decoding specific exception such as invalid data, or characters outside of the expected range.","Class do not obtain Source Code","No return type","public ","java.lang.Exception",""
"org.apache.commons.codec.DecoderException.serialVersionUID","Field","* Declares the Serial Version Uid.
     *
     * @see <a href=""https://c2.com/cgi/wiki?AlwaysDeclareSerialVersionUid"">Always Declare Serial Version Uid</a>","private static final long serialVersionUID = 1L;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>()","Constructor","* Constructs a new exception with {@code null} as its detail message. The cause is not initialized, and may
     * subsequently be initialized by a call to {@link #initCause}.
     *
     * @since 1.4","public DecoderException() {
}","No return type","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>(String)","Constructor","* Constructs a new exception with the specified detail message. The cause is not initialized, and may subsequently
     * be initialized by a call to {@link #initCause}.
     *
     * @param message
     *            The detail message which is saved for later retrieval by the {@link #getMessage()} method.","public DecoderException(final String message) {
    super(message);
}","No return type","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>(String).message","Parameter_1","Belong to org.apache.commons.codec.DecoderException.<init>(String)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>(String,Throwable)","Constructor","* Constructs a new exception with the specified detail message and cause.
     * <p>
     * Note that the detail message associated with {@code cause} is not automatically incorporated into this
     * exception's detail message.
     * </p>
     *
     * @param message
     *            The detail message which is saved for later retrieval by the {@link #getMessage()} method.
     * @param cause
     *            The cause which is saved for later retrieval by the {@link #getCause()} method. A {@code null}
     *            value is permitted, and indicates that the cause is nonexistent or unknown.
     * @since 1.4","public DecoderException(final String message, final Throwable cause) {
    super(message, cause);
}","No return type","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>(String,Throwable).message","Parameter_1","Belong to org.apache.commons.codec.DecoderException.<init>(String,Throwable)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>(String,Throwable).cause","Parameter_2","Belong to org.apache.commons.codec.DecoderException.<init>(String,Throwable)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>(Throwable)","Constructor","* Constructs a new exception with the specified cause and a detail message of {@code (cause==null ?
     * null : cause.toString())} (which typically contains the class and detail message of {@code cause}).
     * This constructor is useful for exceptions that are little more than wrappers for other throwables.
     *
     * @param cause
     *            The cause which is saved for later retrieval by the {@link #getCause()} method. A {@code null}
     *            value is permitted, and indicates that the cause is nonexistent or unknown.
     * @since 1.4","public DecoderException(final Throwable cause) {
    super(cause);
}","No return type","public ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.DecoderException.<init>(Throwable).cause","Parameter_1","Belong to org.apache.commons.codec.DecoderException.<init>(Throwable)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.Utils","Class","* Utility methods for this package.
 *
 * <p>This class is immutable and thread-safe.</p>
 *
 * @since 1.4","Class do not obtain Source Code","No return type","final ","",""
"org.apache.commons.codec.net.Utils.RADIX","Field","* Radix used in encoding and decoding.","private static final int RADIX = 16;","No return type","private , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.Utils.digit16(byte)","Method","* Returns the numeric value of the character {@code b} in radix 16.
     *
     * @param b
     *            The byte to be converted.
     * @return The numeric value represented by the character in radix 16.
     * @throws DecoderException
     *             Thrown when the byte is not valid per {@link Character#digit(char,int)}","static int digit16(final byte b) throws DecoderException {
    final int i = Character.digit((char) b, RADIX);
    if (i == -1) {
        throw new DecoderException(""Invalid URL encoding: not a valid digit (radix "" + RADIX + ""): "" + b);
    }
    return i;
}","int","static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.Utils.digit16(byte).b","Parameter_1","Belong to org.apache.commons.codec.net.Utils.digit16(byte)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.Utils.hexDigit(int)","Method","* Returns the upper case hexadecimal digit of the lower 4 bits of the int.
     *
     * @param b the input int
     * @return the upper case hexadecimal digit of the lower 4 bits of the int.","static char hexDigit(final int b) {
    return Character.toUpperCase(Character.forDigit(b & 0xF, RADIX));
}","char","static ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.Utils.hexDigit(int).b","Parameter_1","Belong to org.apache.commons.codec.net.Utils.hexDigit(int)","Parameter has not source code","No return type","No modifier","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec","Abstract Class","* Implements methods common to all codecs defined in RFC 1522.
 * <p>
 * <a href=""http://www.ietf.org/rfc/rfc1522.txt"">RFC 1522</a> describes techniques to allow the
 * encoding of non-ASCII text in various portions of a RFC 822 [2] message header, in a manner which
 * is unlikely to confuse existing message handling software.
 * </p>
 * <p>
 * This class is immutable and thread-safe.
 * </p>
 *
 * @see <a href=""http://www.ietf.org/rfc/rfc1522.txt"">MIME (Multipurpose Internet Mail Extensions) Part Two:
 *          Message Header Extensions for Non-ASCII Text</a>
 * @since 1.3","Abstract Class do not obtain Source Code","No return type","abstract ","",""
"org.apache.commons.codec.net.RFC1522Codec.SEP","Field","Separator.","protected static final char SEP = '?';","No return type","protected , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.POSTFIX","Field","Prefix.","protected static final String POSTFIX = ""?="";","No return type","protected , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.PREFIX","Field","Postfix.","protected static final String PREFIX = ""=?"";","No return type","protected , static , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
"org.apache.commons.codec.net.RFC1522Codec.charset","Field","* The default Charset used for string decoding and encoding.","protected final Charset charset;","No return type","protected , final ","method/parameter/variable has no extends","method/parameter/variable has no implements"
