FEN,Type,class,sub_signature,cfg_dot
"org.apache.commons.codec.Decoder.decode(Object)","Method","org.apache.commons.codec.Decoder","java.lang.Object decode(java.lang.Object)","digraph cfg_decode {
}
"
"Belong to org.apache.commons.codec.Decoder.decode(Object)","Parameter_1","org.apache.commons.codec.Decoder","java.lang.Object","Parameter does not obtain cfg"
"org.apache.commons.codec.Charsets.UTF_16BE","field","org.apache.commons.codec.Charsets","java.nio.charset.Charset UTF_16BE","field with no cfg"
"org.apache.commons.codec.Charsets.UTF_16","field","org.apache.commons.codec.Charsets","java.nio.charset.Charset UTF_16","field with no cfg"
"org.apache.commons.codec.Charsets.ISO_8859_1","field","org.apache.commons.codec.Charsets","java.nio.charset.Charset ISO_8859_1","field with no cfg"
"org.apache.commons.codec.Charsets.US_ASCII","field","org.apache.commons.codec.Charsets","java.nio.charset.Charset US_ASCII","field with no cfg"
"org.apache.commons.codec.Charsets.UTF_16LE","field","org.apache.commons.codec.Charsets","java.nio.charset.Charset UTF_16LE","field with no cfg"
"org.apache.commons.codec.Charsets.UTF_8","field","org.apache.commons.codec.Charsets","java.nio.charset.Charset UTF_8","field with no cfg"
"org.apache.commons.codec.Charsets.toCharset(Charset)","Method","org.apache.commons.codec.Charsets","java.nio.charset.Charset toCharset(java.nio.charset.Charset)","digraph cfg_toCharset {
	""1"" [label=""$stack1 = charset""];
	""2"" [label=""$stack1 = staticinvoke <java.nio.charset.Charset: java.nio.charset.Charset defaultCharset()>()""];
	""3"" [label=""charset := @parameter0: java.nio.charset.Charset""];
	""4"" [label=""goto""];
	""5"" [label=""if charset != null""];
	""6"" [label=""return $stack1""];
	""1"" -> ""6""[label=""cfg_next""];
	""2"" -> ""4""[label=""cfg_next""];
	""3"" -> ""5""[label=""cfg_next""];
	""4"" -> ""6""[label=""cfg_goto""];
	""5"" -> ""1""[label=""cfg_true""];
	""5"" -> ""2""[label=""cfg_false""];
}
"
"Belong to org.apache.commons.codec.Charsets.toCharset(Charset)","Parameter_1","org.apache.commons.codec.Charsets","java.nio.charset.Charset","Parameter does not obtain cfg"
"org.apache.commons.codec.Charsets.<init>()","Method","org.apache.commons.codec.Charsets","void <init>()","digraph cfg_<init> {
	""1"" [label=""return""];
	""2"" [label=""specialinvoke this.<java.lang.Object: void <init>()>()""];
	""3"" [label=""this := @this: org.apache.commons.codec.Charsets""];
	""2"" -> ""1""[label=""cfg_next""];
	""3"" -> ""2""[label=""cfg_next""];
}
"
"org.apache.commons.codec.Charsets.<clinit>()","Method","org.apache.commons.codec.Charsets","void <clinit>()","digraph cfg_<clinit> {
	""1"" [label=""$stack0 = <java.nio.charset.StandardCharsets: java.nio.charset.Charset ISO_8859_1>""];
	""2"" [label=""$stack1 = <java.nio.charset.StandardCharsets: java.nio.charset.Charset US_ASCII>""];
	""3"" [label=""$stack2 = <java.nio.charset.StandardCharsets: java.nio.charset.Charset UTF_16>""];
	""4"" [label=""$stack3 = <java.nio.charset.StandardCharsets: java.nio.charset.Charset UTF_16BE>""];
	""5"" [label=""$stack4 = <java.nio.charset.StandardCharsets: java.nio.charset.Charset UTF_16LE>""];
	""6"" [label=""$stack5 = <java.nio.charset.StandardCharsets: java.nio.charset.Charset UTF_8>""];
	""7"" [label=""<org.apache.commons.codec.Charsets: java.nio.charset.Charset ISO_8859_1> = $stack0""];
	""8"" [label=""<org.apache.commons.codec.Charsets: java.nio.charset.Charset US_ASCII> = $stack1""];
	""9"" [label=""<org.apache.commons.codec.Charsets: java.nio.charset.Charset UTF_16> = $stack2""];
	""10"" [label=""<org.apache.commons.codec.Charsets: java.nio.charset.Charset UTF_16BE> = $stack3""];
	""11"" [label=""<org.apache.commons.codec.Charsets: java.nio.charset.Charset UTF_16LE> = $stack4""];
	""12"" [label=""<org.apache.commons.codec.Charsets: java.nio.charset.Charset UTF_8> = $stack5""];
	""13"" [label=""return""];
	""1"" -> ""7""[label=""cfg_next""];
	""10"" -> ""5""[label=""cfg_next""];
	""11"" -> ""6""[label=""cfg_next""];
	""12"" -> ""13""[label=""cfg_next""];
	""2"" -> ""8""[label=""cfg_next""];
	""3"" -> ""9""[label=""cfg_next""];
	""4"" -> ""10""[label=""cfg_next""];
	""5"" -> ""11""[label=""cfg_next""];
	""6"" -> ""12""[label=""cfg_next""];
	""7"" -> ""2""[label=""cfg_next""];
	""8"" -> ""3""[label=""cfg_next""];
	""9"" -> ""4""[label=""cfg_next""];
}
"
"org.apache.commons.codec.Charsets.toCharset(String)","Method","org.apache.commons.codec.Charsets","java.nio.charset.Charset toCharset(java.lang.String)","digraph cfg_toCharset {
	""1"" [label=""$stack1 = staticinvoke <java.nio.charset.Charset: java.nio.charset.Charset defaultCharset()>()""];
	""2"" [label=""$stack1 = staticinvoke <java.nio.charset.Charset: java.nio.charset.Charset forName(java.lang.String)>(charset)""];
	""3"" [label=""charset := @parameter0: java.lang.String""];
	""4"" [label=""goto""];
	""5"" [label=""if charset != null""];
	""6"" [label=""return $stack1""];
	""1"" -> ""4""[label=""cfg_next""];
	""2"" -> ""6""[label=""cfg_next""];
	""3"" -> ""5""[label=""cfg_next""];
	""4"" -> ""6""[label=""cfg_goto""];
	""5"" -> ""1""[label=""cfg_false""];
	""5"" -> ""2""[label=""cfg_true""];
}
"
"Belong to org.apache.commons.codec.Charsets.toCharset(String)","Parameter_1","org.apache.commons.codec.Charsets","java.lang.String","Parameter does not obtain cfg"
"org.apache.commons.codec.net.RFC1522Codec.PREFIX","field","org.apache.commons.codec.net.RFC1522Codec","java.lang.String PREFIX","field with no cfg"
"org.apache.commons.codec.net.RFC1522Codec.SEP","field","org.apache.commons.codec.net.RFC1522Codec","char SEP","field with no cfg"
"org.apache.commons.codec.net.RFC1522Codec.charset","field","org.apache.commons.codec.net.RFC1522Codec","java.nio.charset.Charset charset","field with no cfg"
"org.apache.commons.codec.net.RFC1522Codec.POSTFIX","field","org.apache.commons.codec.net.RFC1522Codec","java.lang.String POSTFIX","field with no cfg"
