FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
org.apache.commons.codec.CodecPolicy,Enum,* Defines encoding and decoding policies.\n *\n * @since 1.15,public ,enum has no extends,
org.apache.commons.codec.BinaryDecoder,Interface,* Defines common decoding methods for byte array decoders.,public ,org.apache.commons.codec.Decoder,
org.apache.commons.codec.DecoderException,Class,"* Thrown when there is a failure condition during the decoding process. This exception is thrown when a {@link Decoder}\n * encounters a decoding specific exception such as invalid data, or characters outside of the expected range.",public ,java.lang.Exception,
org.apache.commons.codec.net.Utils,Class,* Utility methods for this package.\n *\n * <p>This class is immutable and thread-safe.</p>\n *\n * @since 1.4,final ,,
org.apache.commons.codec.net.RFC1522Codec,Abstract Class,"* Implements methods common to all codecs defined in RFC 1522.\n * <p>\n * <a href=""http://www.ietf.org/rfc/rfc1522.txt"">RFC 1522</a> describes techniques to allow the\n * encoding of non-ASCII text in various portions of a RFC 822 [2] message header, in a manner which\n * is unlikely to confuse existing message handling software.\n * </p>\n * <p>\n * This class is immutable and thread-safe.\n * </p>\n *\n * @see <a href=""http://www.ietf.org/rfc/rfc1522.txt"">MIME (Multipurpose Internet Mail Extensions) Part Two:\n *          Message Header Extensions for Non-ASCII Text</a>\n * @since 1.3",abstract ,,
org.apache.commons.codec.net.QuotedPrintableCodec,Class,"* Codec for the Quoted-Printable section of <a href=""http://www.ietf.org/rfc/rfc1521.txt"">RFC 1521</a>.\n * <p>\n * The Quoted-Printable encoding is intended to represent data that largely consists of octets that correspond to\n * printable characters in the ASCII character set. It encodes the data in such a way that the resulting octets are\n * unlikely to be modified by mail transport. If the data being encoded are mostly ASCII text, the encoded form of the\n * data remains largely recognizable by humans. A body which is entirely ASCII may also be encoded in Quoted-Printable\n * to ensure the integrity of the data should the message pass through a character- translating, and/or line-wrapping\n * gateway.\n * </p>\n * <p>\n * Note:\n * </p>\n * <p>\n * Depending on the selected {@code strict} parameter, this class will implement a different set of rules of the\n * quoted-printable spec:\n * </p>\n * <ul>\n *   <li>{@code strict=false}: only rules #1 and #2 are implemented</li>\n *   <li>{@code strict=true}: all rules #1 through #5 are implemented</li>\n * </ul>\n * <p>\n * Originally, this class only supported the non-strict mode, but the codec in this partial form could already be used\n * for certain applications that do not require quoted-printable line formatting (rules #3, #4, #5), for instance\n * Q codec. The strict mode has been added in 1.10.\n * </p>\n * <p>\n * This class is immutable and thread-safe.\n * </p>\n *\n * @see <a href=""http://www.ietf.org/rfc/rfc1521.txt"">RFC 1521 MIME (Multipurpose Internet Mail Extensions) Part One:\n *          Mechanisms for Specifying and Describing the Format of Internet Message Bodies </a>\n *\n * @since 1.3",public ,,org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.StringEncoder;org.apache.commons.codec.StringDecoder
org.apache.commons.codec.net.QCodec,Class,"* Similar to the Quoted-Printable content-transfer-encoding defined in\n * <a href=""http://www.ietf.org/rfc/rfc1521.txt"">RFC 1521</a> and designed to allow text containing mostly ASCII\n * characters to be decipherable on an ASCII terminal without decoding.\n * <p>\n * <a href=""http://www.ietf.org/rfc/rfc1522.txt"">RFC 1522</a> describes techniques to allow the encoding of non-ASCII\n * text in various portions of a RFC 822 [2] message header, in a manner which is unlikely to confuse existing message\n * handling software.\n * </p>\n * <p>\n * This class is conditionally thread-safe.\n * The instance field for encoding blanks is mutable {@link #setEncodeBlanks(boolean)}\n * but is not volatile, and accesses are not synchronized.\n * If an instance of the class is shared between threads, the caller needs to ensure that suitable synchronization\n * is used to ensure safe publication of the value between threads, and must not invoke\n * {@link #setEncodeBlanks(boolean)} after initial setup.\n * </p>\n *\n * @see <a href=""http://www.ietf.org/rfc/rfc1522.txt"">MIME (Multipurpose Internet Mail Extensions) Part Two: Message\n *          Header Extensions for Non-ASCII Text</a>\n *\n * @since 1.3",public ,org.apache.commons.codec.net.RFC1522Codec,org.apache.commons.codec.StringEncoder;org.apache.commons.codec.StringDecoder
org.apache.commons.codec.net.PercentCodec,Class,"* Implements the Percent-Encoding scheme, as described in HTTP 1.1 specification. For extensibility, an array of\n * special US-ASCII characters can be specified in order to perform proper URI encoding for the different parts\n * of the URI.\n * <p>\n * This class is immutable. It is also thread-safe besides using BitSet which is not thread-safe, but its public\n * interface only call the access\n * </p>\n *\n * @see <a href=""https://tools.ietf.org/html/rfc3986#section-2.1"">Percent-Encoding</a>\n * @since 1.12",public ,,org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.BinaryDecoder
org.apache.commons.codec.net.URLCodec,Class,"* Implements the 'www-form-urlencoded' encoding scheme, also misleadingly known as URL encoding.\n * <p>\n * This codec is meant to be a replacement for standard Java classes {@link java.net.URLEncoder} and\n * {@link java.net.URLDecoder} on older Java platforms, as these classes in Java versions below\n * 1.4 rely on the platform's default charset encoding.\n * </p>\n * <p>\n * This class is thread-safe as of 1.11\n * </p>\n *\n * @see <a href=""http://www.w3.org/TR/html4/interact/forms.html#h-17.13.4.1"">Chapter 17.13.4 Form content types</a>\n *           of the <a href=""http://www.w3.org/TR/html4/"">HTML 4.01 Specification</a>\n *\n * @since 1.2",public ,,org.apache.commons.codec.BinaryEncoder;org.apache.commons.codec.BinaryDecoder;org.apache.commons.codec.StringEncoder;org.apache.commons.codec.StringDecoder
org.apache.commons.codec.net.BCodec,Class,"* Identical to the Base64 encoding defined by <a href=""http://www.ietf.org/rfc/rfc1521.txt"">RFC 1521</a>\n * and allows a character set to be specified.\n * <p>\n * <a href=""http://www.ietf.org/rfc/rfc1522.txt"">RFC 1522</a> describes techniques to allow the encoding of non-ASCII\n * text in various portions of a RFC 822 [2] message header, in a manner which is unlikely to confuse existing message\n * handling software.\n * </p>\n * <p>\n * This class is immutable and thread-safe.\n * </p>\n *\n * @see <a href=""http://www.ietf.org/rfc/rfc1522.txt"">MIME (Multipurpose Internet Mail Extensions) Part Two: Message\n *          Header Extensions for Non-ASCII Text</a>\n *\n * @since 1.3",public ,org.apache.commons.codec.net.RFC1522Codec,org.apache.commons.codec.StringEncoder;org.apache.commons.codec.StringDecoder
