FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.codec.CodecPolicy.STRICT,Enum Constant,* The strict policy. Data that causes a codec to fail should throw an exception.,STRICT,org.apache.commons.codec.CodecPolicy STRICT,public 
org.apache.commons.codec.CodecPolicy.LENIENT,Enum Constant,* The lenient policy. Data that causes a codec to fail should not throw an exception.,LENIENT,org.apache.commons.codec.CodecPolicy LENIENT,public 
org.apache.commons.codec.digest.HmacAlgorithms.HMAC_MD5,Enum Constant,* The HmacMD5 Message Authentication Code (MAC) algorithm specified in RFC 2104 and RFC 1321.\n     * <p>\n     * Every implementation of the Java platform is required to support this standard MAC algorithm.\n     * </p>,"HMAC_MD5(""HmacMD5"")",org.apache.commons.codec.digest.HmacAlgorithms HMAC_MD5,public 
org.apache.commons.codec.digest.HmacAlgorithms.HMAC_SHA_1,Enum Constant,* The HmacSHA1 Message Authentication Code (MAC) algorithm specified in RFC 2104 and FIPS PUB 180-2.\n     * <p>\n     * Every implementation of the Java platform is required to support this standard MAC algorithm.\n     * </p>,"HMAC_SHA_1(""HmacSHA1"")",org.apache.commons.codec.digest.HmacAlgorithms HMAC_SHA_1,public 
org.apache.commons.codec.digest.HmacAlgorithms.HMAC_SHA_224,Enum Constant,* The HmacSHA224 Message Authentication Code (MAC) algorithm specified in RFC 2104 and FIPS PUB 180-2.\n     * <p>\n     * Every implementation of the Java 8+ platform is required to support this standard MAC algorithm.\n     * </p>\n     * @since 1.11,"HMAC_SHA_224(""HmacSHA224"")",org.apache.commons.codec.digest.HmacAlgorithms HMAC_SHA_224,public 
org.apache.commons.codec.digest.HmacAlgorithms.HMAC_SHA_256,Enum Constant,* The HmacSHA256 Message Authentication Code (MAC) algorithm specified in RFC 2104 and FIPS PUB 180-2.\n     * <p>\n     * Every implementation of the Java platform is required to support this standard MAC algorithm.\n     * </p>,"HMAC_SHA_256(""HmacSHA256"")",org.apache.commons.codec.digest.HmacAlgorithms HMAC_SHA_256,public 
org.apache.commons.codec.digest.HmacAlgorithms.HMAC_SHA_384,Enum Constant,* The HmacSHA384 Message Authentication Code (MAC) algorithm specified in RFC 2104 and FIPS PUB 180-2.\n     * <p>\n     * This MAC algorithm is <em>optional</em>; not all implementations support it.\n     * </p>,"HMAC_SHA_384(""HmacSHA384"")",org.apache.commons.codec.digest.HmacAlgorithms HMAC_SHA_384,public 
org.apache.commons.codec.digest.HmacAlgorithms.HMAC_SHA_512,Enum Constant,* The HmacSHA512 Message Authentication Code (MAC) algorithm specified in RFC 2104 and FIPS PUB 180-2.\n     * <p>\n     * This MAC algorithm is <em>optional</em>; not all implementations support it.\n     * </p>,"HMAC_SHA_512(""HmacSHA512"")",org.apache.commons.codec.digest.HmacAlgorithms HMAC_SHA_512,public 
org.apache.commons.codec.language.bm.NameType.ASHKENAZI,Enum Constant,* Ashkenazi family names.,"ASHKENAZI(""ash"")",org.apache.commons.codec.language.bm.NameType ASHKENAZI,public 
org.apache.commons.codec.language.bm.NameType.GENERIC,Enum Constant,* Generic names and words.,"GENERIC(""gen"")",org.apache.commons.codec.language.bm.NameType GENERIC,public 
org.apache.commons.codec.language.bm.NameType.SEPHARDIC,Enum Constant,* Sephardic family names.,"SEPHARDIC(""sep"")",org.apache.commons.codec.language.bm.NameType SEPHARDIC,public 
org.apache.commons.codec.language.bm.RuleType.APPROX,Enum Constant,"* Approximate rules, which will lead to the largest number of phonetic interpretations.","APPROX(""approx"")",org.apache.commons.codec.language.bm.RuleType APPROX,public 
org.apache.commons.codec.language.bm.RuleType.EXACT,Enum Constant,"* Exact rules, which will lead to a minimum number of phonetic interpretations.","EXACT(""exact"")",org.apache.commons.codec.language.bm.RuleType EXACT,public 
org.apache.commons.codec.language.bm.RuleType.RULES,Enum Constant,* For internal use only. Please use {@link #APPROX} or {@link #EXACT}.,"RULES(""rules"")",org.apache.commons.codec.language.bm.RuleType RULES,public 
