FEN:ID,:LABEL,Comment,Source Code,Signature,CFG,Modifiers
org.apache.commons.codec.BinaryDecoder.decode(byte[]),Abstract Method,* Decodes a byte array and returns the results as a byte array.\n     *\n     * @param source\n     *            A byte array which has been encoded with the appropriate encoder\n     * @return a byte array that contains decoded content\n     * @throws DecoderException\n     *             A decoder exception is thrown if a Decoder encounters a failure condition during the decode process.,byte[] decode(byte[] source) throws DecoderException;,byte[] decode(byte[]),digraph cfg_decode {\n}\n,default
org.apache.commons.codec.DecoderException.<init>(),Constructor,"* Constructs a new exception with {@code null} as its detail message. The cause is not initialized, and may\n     * subsequently be initialized by a call to {@link #initCause}.\n     *\n     * @since 1.4",public DecoderException() {\n},void <init>(),"digraph cfg_init {\n	""1"" [label=""return""];\n	""2"" [label=""specialinvoke this.<java.lang.Exception: void <init>()>()""];\n	""3"" [label=""this := @this: org.apache.commons.codec.DecoderException""];\n	""2"" -> ""1""[label=""cfg_next""];\n	""3"" -> ""2""[label=""cfg_next""];\n}\n",public 
org.apache.commons.codec.DecoderException.<init>(String),Constructor,"* Constructs a new exception with the specified detail message. The cause is not initialized, and may subsequently\n     * be initialized by a call to {@link #initCause}.\n     *\n     * @param message\n     *            The detail message which is saved for later retrieval by the {@link #getMessage()} method.",public DecoderException(final String message) {\n    super(message);\n},void <init>(java.lang.String),"digraph cfg_init {\n	""1"" [label=""message := @parameter0: java.lang.String""];\n	""2"" [label=""return""];\n	""3"" [label=""specialinvoke this.<java.lang.Exception: void <init>(java.lang.String)>(message)""];\n	""4"" [label=""this := @this: org.apache.commons.codec.DecoderException""];\n	""1"" -> ""3""[label=""cfg_next""];\n	""3"" -> ""2""[label=""cfg_next""];\n	""4"" -> ""1""[label=""cfg_next""];\n}\n",public 
"org.apache.commons.codec.DecoderException.<init>(String,Throwable)",Constructor,"* Constructs a new exception with the specified detail message and cause.\n     * <p>\n     * Note that the detail message associated with {@code cause} is not automatically incorporated into this\n     * exception's detail message.\n     * </p>\n     *\n     * @param message\n     *            The detail message which is saved for later retrieval by the {@link #getMessage()} method.\n     * @param cause\n     *            The cause which is saved for later retrieval by the {@link #getCause()} method. A {@code null}\n     *            value is permitted, and indicates that the cause is nonexistent or unknown.\n     * @since 1.4","public DecoderException(final String message, final Throwable cause) {\n    super(message, cause);\n}","void <init>(java.lang.String,java.lang.Throwable)","digraph cfg_init {\n	""1"" [label=""cause := @parameter1: java.lang.Throwable""];\n	""2"" [label=""message := @parameter0: java.lang.String""];\n	""3"" [label=""return""];\n	""4"" [label=""specialinvoke this.<java.lang.Exception: void <init>(java.lang.String,java.lang.Throwable)>(message, cause)""];\n	""5"" [label=""this := @this: org.apache.commons.codec.DecoderException""];\n	""1"" -> ""4""[label=""cfg_next""];\n	""2"" -> ""1""[label=""cfg_next""];\n	""4"" -> ""3""[label=""cfg_next""];\n	""5"" -> ""2""[label=""cfg_next""];\n}\n",public 
org.apache.commons.codec.DecoderException.<init>(Throwable),Constructor,"* Constructs a new exception with the specified cause and a detail message of {@code (cause==null ?\n     * null : cause.toString())} (which typically contains the class and detail message of {@code cause}).\n     * This constructor is useful for exceptions that are little more than wrappers for other throwables.\n     *\n     * @param cause\n     *            The cause which is saved for later retrieval by the {@link #getCause()} method. A {@code null}\n     *            value is permitted, and indicates that the cause is nonexistent or unknown.\n     * @since 1.4",public DecoderException(final Throwable cause) {\n    super(cause);\n},void <init>(java.lang.Throwable),"digraph cfg_init {\n	""1"" [label=""cause := @parameter0: java.lang.Throwable""];\n	""2"" [label=""return""];\n	""3"" [label=""specialinvoke this.<java.lang.Exception: void <init>(java.lang.Throwable)>(cause)""];\n	""4"" [label=""this := @this: org.apache.commons.codec.DecoderException""];\n	""1"" -> ""3""[label=""cfg_next""];\n	""3"" -> ""2""[label=""cfg_next""];\n	""4"" -> ""1""[label=""cfg_next""];\n}\n",public 
org.apache.commons.codec.net.Utils.digit16(byte),Method,"* Returns the numeric value of the character {@code b} in radix 16.\n     *\n     * @param b\n     *            The byte to be converted.\n     * @return The numeric value represented by the character in radix 16.\n     * @throws DecoderException\n     *             Thrown when the byte is not valid per {@link Character#digit(char,int)}","static int digit16(final byte b) throws DecoderException {\n    final int i = Character.digit((char) b, RADIX);\n    if (i == -1) {\n        throw new DecoderException(""Invalid URL encoding: not a valid digit (radix "" + RADIX + ""): "" + b);\n    }\n    return i;\n}",int digit16(byte),"digraph cfg_digit16 {\n	""1"" [label=""$stack2 = (char) b""];\n	""2"" [label=""$stack3 = new java.lang.StringBuilder""];\n	""3"" [label=""$stack4 = virtualinvoke $stack3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\""Invalid URL encoding: not a valid digit (radix 16): \"")""];\n	""4"" [label=""$stack5 = virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(b)""];\n	""5"" [label=""$stack6 = virtualinvoke $stack5.<java.lang.StringBuilder: java.lang.String toString()>()""];\n	""6"" [label=""$stack7 = new org.apache.commons.codec.DecoderException""];\n	""7"" [label=""b := @parameter0: byte""];\n	""8"" [label=""i = staticinvoke <java.lang.Character: int digit(char,int)>($stack2, 16)""];\n	""9"" [label=""if i != -1""];\n	""10"" [label=""return i""];\n	""11"" [label=""specialinvoke $stack3.<java.lang.StringBuilder: void <init>()>()""];\n	""12"" [label=""specialinvoke $stack7.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>($stack6)""];\n	""13"" [label=""throw $stack7""];\n	""1"" -> ""8""[label=""cfg_next""];\n	""11"" -> ""3""[label=""cfg_next""];\n	""12"" -> ""13""[label=""cfg_next""];\n	""2"" -> ""11""[label=""cfg_next""];\n	""3"" -> ""4""[label=""cfg_next""];\n	""4"" -> ""5""[label=""cfg_next""];\n	""5"" -> ""12""[label=""cfg_next""];\n	""6"" -> ""2""[label=""cfg_next""];\n	""7"" -> ""1""[label=""cfg_next""];\n	""8"" -> ""9""[label=""cfg_next""];\n	""9"" -> ""10""[label=""cfg_true""];\n	""9"" -> ""6""[label=""cfg_false""];\n}\n",static 
org.apache.commons.codec.net.Utils.hexDigit(int),Method,* Returns the upper case hexadecimal digit of the lower 4 bits of the int.\n     *\n     * @param b the input int\n     * @return the upper case hexadecimal digit of the lower 4 bits of the int.,"static char hexDigit(final int b) {\n    return Character.toUpperCase(Character.forDigit(b & 0xF, RADIX));\n}",char hexDigit(int),"digraph cfg_hexDigit {\n	""1"" [label=""$stack1 = b & 15""];\n	""2"" [label=""$stack2 = staticinvoke <java.lang.Character: char forDigit(int,int)>($stack1, 16)""];\n	""3"" [label=""$stack3 = staticinvoke <java.lang.Character: char toUpperCase(char)>($stack2)""];\n	""4"" [label=""b := @parameter0: int""];\n	""5"" [label=""return $stack3""];\n	""1"" -> ""2""[label=""cfg_next""];\n	""2"" -> ""3""[label=""cfg_next""];\n	""3"" -> ""5""[label=""cfg_next""];\n	""4"" -> ""1""[label=""cfg_next""];\n}\n",static 
org.apache.commons.codec.net.RFC1522Codec.decodeText(String),Method,"* Applies an RFC 1522 compliant decoding scheme to the given string of text.\n     * <p>\n     * This method processes the ""encoded-word"" header common to all the RFC 1522 codecs and then invokes\n     * {@link #doDecoding(byte[])}  method of a concrete class to perform the specific decoding.\n     * </p>\n     *\n     * @param text\n     *            a string to decode\n     * @return A new decoded String or {@code null} if the input is {@code null}.\n     * @throws DecoderException\n     *             thrown if there is an error condition during the decoding process.\n     * @throws UnsupportedEncodingException\n     *             thrown if charset specified in the ""encoded-word"" header is not supported","protected String decodeText(final String text) throws DecoderException, UnsupportedEncodingException {\n    if (text == null) {\n        return null;\n    }\n    if (!text.startsWith(PREFIX) || !text.endsWith(POSTFIX)) {\n        throw new DecoderException(""RFC 1522 violation: malformed encoded content"");\n    }\n    final int terminator = text.length() - 2;\n    int from = 2;\n    int to = text.indexOf(SEP, from);\n    if (to == terminator) {\n        throw new DecoderException(""RFC 1522 violation: charset token not found"");\n    }\n    final String charset = text.substring(from, to);\n    if (charset.isEmpty()) {\n        throw new DecoderException(""RFC 1522 violation: charset not specified"");\n    }\n    from = to + 1;\n    to = text.indexOf(SEP, from);\n    if (to == terminator) {\n        throw new DecoderException(""RFC 1522 violation: encoding token not found"");\n    }\n    final String encoding = text.substring(from, to);\n    if (!getEncoding().equalsIgnoreCase(encoding)) {\n        throw new DecoderException(""This codec cannot decode "" + encoding + "" encoded content"");\n    }\n    from = to + 1;\n    to = text.indexOf(SEP, from);\n    byte[] data = StringUtils.getBytesUsAscii(text.substring(from, to));\n    data = doDecoding(data);\n    return new String(data, charset);\n}",java.lang.String decodeText(java.lang.String),"digraph cfg_decodeText {\n	""1"" [label=""$stack10 = virtualinvoke text.<java.lang.String: boolean endsWith(java.lang.String)>(\""?=\"")""];\n	""2"" [label=""$stack11 = virtualinvoke text.<java.lang.String: int length()>()""];\n	""3"" [label=""$stack12 = virtualinvoke charset.<java.lang.String: boolean isEmpty()>()""];\n	""4"" [label=""$stack13 = virtualinvoke this.<org.apache.commons.codec.net.RFC1522Codec: java.lang.String getEncoding()>()""];\n	""5"" [label=""$stack14 = virtualinvoke $stack13.<java.lang.String: boolean equalsIgnoreCase(java.lang.String)>(encoding)""];\n	""6"" [label=""$stack15 = virtualinvoke text.<java.lang.String: java.lang.String substring(int,int)>(from, to)""];\n	""7"" [label=""$stack16 = new java.lang.String""];\n	""8"" [label=""$stack17 = new java.lang.StringBuilder""];\n	""9"" [label=""$stack18 = virtualinvoke $stack17.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\""This codec cannot decode \"")""];\n	""10"" [label=""$stack19 = virtualinvoke $stack18.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(encoding)""];\n	""11"" [label=""$stack20 = virtualinvoke $stack19.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\"" encoded content\"")""];\n	""12"" [label=""$stack21 = virtualinvoke $stack20.<java.lang.StringBuilder: java.lang.String toString()>()""];\n	""13"" [label=""$stack22 = new org.apache.commons.codec.DecoderException""];\n	""14"" [label=""$stack23 = new org.apache.commons.codec.DecoderException""];\n	""15"" [label=""$stack24 = new org.apache.commons.codec.DecoderException""];\n	""16"" [label=""$stack25 = new org.apache.commons.codec.DecoderException""];\n	""17"" [label=""$stack8 = virtualinvoke text.<java.lang.String: boolean startsWith(java.lang.String)>(\""=?\"")""];\n	""18"" [label=""$stack9 = new org.apache.commons.codec.DecoderException""];\n	""19"" [label=""charset = virtualinvoke text.<java.lang.String: java.lang.String substring(int,int)>(from, to)""];\n	""20"" [label=""data = staticinvoke <org.apache.commons.codec.binary.StringUtils: byte[] getBytesUsAscii(java.lang.String)>($stack15)""];\n	""21"" [label=""data = virtualinvoke this.<org.apache.commons.codec.net.RFC1522Codec: byte[] doDecoding(byte[])>(data)""];\n	""22"" [label=""encoding = virtualinvoke text.<java.lang.String: java.lang.String substring(int,int)>(from, to)""];\n	""23"" [label=""from = 2""];\n	""24"" [label=""from = to + 1""];\n	""25"" [label=""from = to + 1""];\n	""26"" [label=""if $stack10 != 0""];\n	""27"" [label=""if $stack12 == 0""];\n	""28"" [label=""if $stack14 != 0""];\n	""29"" [label=""if $stack8 == 0""];\n	""30"" [label=""if text != null""];\n	""31"" [label=""if to != terminator""];\n	""32"" [label=""if to != terminator""];\n	""33"" [label=""return $stack16""];\n	""34"" [label=""return null""];\n	""35"" [label=""specialinvoke $stack16.<java.lang.String: void <init>(byte[],java.lang.String)>(data, charset)""];\n	""36"" [label=""specialinvoke $stack17.<java.lang.StringBuilder: void <init>()>()""];\n	""37"" [label=""specialinvoke $stack22.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>($stack21)""];\n	""38"" [label=""specialinvoke $stack23.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: encoding token not found\"")""];\n	""39"" [label=""specialinvoke $stack24.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: charset not specified\"")""];\n	""40"" [label=""specialinvoke $stack25.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: charset token not found\"")""];\n	""41"" [label=""specialinvoke $stack9.<org.apache.commons.codec.DecoderException: void <init>(java.lang.String)>(\""RFC 1522 violation: malformed encoded content\"")""];\n	""42"" [label=""terminator = $stack11 - 2""];\n	""43"" [label=""text := @parameter0: java.lang.String""];\n	""44"" [label=""this := @this: org.apache.commons.codec.net.RFC1522Codec""];\n	""45"" [label=""throw $stack22""];\n	""46"" [label=""throw $stack23""];\n	""47"" [label=""throw $stack24""];\n	""48"" [label=""throw $stack25""];\n	""49"" [label=""throw $stack9""];\n	""50"" [label=""to = virtualinvoke text.<java.lang.String: int indexOf(int,int)>(63, from)""];\n	""51"" [label=""to = virtualinvoke text.<java.lang.String: int indexOf(int,int)>(63, from)""];\n	""52"" [label=""to = virtualinvoke text.<java.lang.String: int indexOf(int,int)>(63, from)""];\n	""1"" -> ""26""[label=""cfg_next""];\n	""10"" -> ""11""[label=""cfg_next""];\n	""11"" -> ""12""[label=""cfg_next""];\n	""12"" -> ""37""[label=""cfg_next""];\n	""13"" -> ""8""[label=""cfg_next""];\n	""14"" -> ""38""[label=""cfg_next""];\n	""15"" -> ""39""[label=""cfg_next""];\n	""16"" -> ""40""[label=""cfg_next""];\n	""17"" -> ""29""[label=""cfg_next""];\n	""18"" -> ""41""[label=""cfg_next""];\n	""19"" -> ""3""[label=""cfg_next""];\n	""2"" -> ""42""[label=""cfg_next""];\n	""20"" -> ""21""[label=""cfg_next""];\n	""21"" -> ""7""[label=""cfg_next""];\n	""22"" -> ""4""[label=""cfg_next""];\n	""23"" -> ""50""[label=""cfg_next""];\n	""24"" -> ""51""[label=""cfg_next""];\n	""25"" -> ""52""[label=""cfg_next""];\n	""26"" -> ""18""[label=""cfg_false""];\n	""26"" -> ""2""[label=""cfg_true""];\n	""27"" -> ""15""[label=""cfg_false""];\n	""27"" -> ""24""[label=""cfg_true""];\n	""28"" -> ""13""[label=""cfg_false""];\n	""28"" -> ""25""[label=""cfg_true""];\n	""29"" -> ""1""[label=""cfg_false""];\n	""29"" -> ""18""[label=""cfg_true""];\n	""3"" -> ""27""[label=""cfg_next""];\n	""30"" -> ""17""[label=""cfg_true""];\n	""30"" -> ""34""[label=""cfg_false""];\n	""31"" -> ""16""[label=""cfg_false""];\n	""31"" -> ""19""[label=""cfg_true""];\n	""32"" -> ""14""[label=""cfg_false""];\n	""32"" -> ""22""[label=""cfg_true""];\n	""35"" -> ""33""[label=""cfg_next""];\n	""36"" -> ""9""[label=""cfg_next""];\n	""37"" -> ""45""[label=""cfg_next""];\n	""38"" -> ""46""[label=""cfg_next""];\n	""39"" -> ""47""[label=""cfg_next""];\n	""4"" -> ""5""[label=""cfg_next""];\n	""40"" -> ""48""[label=""cfg_next""];\n	""41"" -> ""49""[label=""cfg_next""];\n	""42"" -> ""23""[label=""cfg_next""];\n	""43"" -> ""30""[label=""cfg_next""];\n	""44"" -> ""43""[label=""cfg_next""];\n	""5"" -> ""28""[label=""cfg_next""];\n	""50"" -> ""31""[label=""cfg_next""];\n	""51"" -> ""32""[label=""cfg_next""];\n	""52"" -> ""6""[label=""cfg_next""];\n	""6"" -> ""20""[label=""cfg_next""];\n	""7"" -> ""35""[label=""cfg_next""];\n	""8"" -> ""36""[label=""cfg_next""];\n	""9"" -> ""10""[label=""cfg_next""];\n}\n",protected 
org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[]),Abstract Method,* Decodes an array of bytes using the defined encoding scheme.\n     *\n     * @param bytes\n     *            Data to be decoded\n     * @return a byte array that contains decoded data\n     * @throws DecoderException\n     *             A decoder exception is thrown if a Decoder encounters a failure condition during the decode process.,protected abstract byte[] doDecoding(byte[] bytes) throws DecoderException;,byte[] doDecoding(byte[]),digraph cfg_doDecoding {\n}\n,"protected , abstract "
org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[]),Abstract Method,* Encodes an array of bytes using the defined encoding scheme.\n     *\n     * @param bytes\n     *            Data to be encoded\n     * @return A byte array containing the encoded data\n     * @throws EncoderException\n     *             thrown if the Encoder encounters a failure condition during the encoding process.,protected abstract byte[] doEncoding(byte[] bytes) throws EncoderException;,byte[] doEncoding(byte[]),digraph cfg_doEncoding {\n}\n,"protected , abstract "
