:START_ID,:END_ID,:TYPE
org.apache.commons.codec.BinaryDecoder.decode(byte[]),org.apache.commons.codec.BinaryDecoder.decode(byte[]).source,Has_Parameter
org.apache.commons.codec.DecoderException.<init>(String),org.apache.commons.codec.DecoderException.<init>(String).message,Has_Parameter
"org.apache.commons.codec.DecoderException.<init>(String,Throwable)","org.apache.commons.codec.DecoderException.<init>(String,Throwable).message",Has_Parameter
"org.apache.commons.codec.DecoderException.<init>(String,Throwable)","org.apache.commons.codec.DecoderException.<init>(String,Throwable).cause",Has_Parameter
org.apache.commons.codec.DecoderException.<init>(Throwable),org.apache.commons.codec.DecoderException.<init>(Throwable).cause,Has_Parameter
org.apache.commons.codec.net.Utils.digit16(byte),org.apache.commons.codec.net.Utils.digit16(byte).b,Has_Parameter
org.apache.commons.codec.net.Utils.hexDigit(int),org.apache.commons.codec.net.Utils.hexDigit(int).b,Has_Parameter
org.apache.commons.codec.net.RFC1522Codec.decodeText(String),org.apache.commons.codec.net.RFC1522Codec.decodeText(String).text,Has_Parameter
org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[]),org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[]).bytes,Has_Parameter
org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[]),org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[]).bytes,Has_Parameter
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset).text",Has_Parameter
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)","org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset).charset",Has_Parameter
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String).text",Has_Parameter
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String)","org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String).charsetName",Has_Parameter
org.apache.commons.codec.net.RFC1522Codec.<init>(Charset),org.apache.commons.codec.net.RFC1522Codec.<init>(Charset).charset,Has_Parameter
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]),org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).bytes,Has_Parameter
"org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream)","org.apache.commons.codec.net.QuotedPrintableCodec.encodeByte(int,boolean,ByteArrayOutputStream).b",Has_Parameter
