FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.codec.net.RFC1522Codec.getCharset().CFG_Path_1,org.apache.commons.codec.net.RFC1522Codec.charset,Uses_Field
org.apache.commons.codec.net.RFC1522Codec.getDefaultCharset().CFG_Path_1,org.apache.commons.codec.net.RFC1522Codec.charset,Uses_Field
org.apache.commons.codec.net.RFC1522Codec.<init>(Charset).CFG_Path_1,org.apache.commons.codec.net.RFC1522Codec.charset,Uses_Field
org.apache.commons.codec.net.QuotedPrintableCodec.encode(byte[]).CFG_Path_1,org.apache.commons.codec.net.QuotedPrintableCodec.strict,Uses_Field
org.apache.commons.codec.net.QuotedPrintableCodec.encode(byte[]).CFG_Path_1,org.apache.commons.codec.net.QuotedPrintableCodec.PRINTABLE_CHARS,Uses_Field
org.apache.commons.codec.net.QuotedPrintableCodec.getCharset().CFG_Path_1,org.apache.commons.codec.net.QuotedPrintableCodec.charset,Uses_Field
org.apache.commons.codec.net.QuotedPrintableCodec.getDefaultCharset().CFG_Path_1,org.apache.commons.codec.net.QuotedPrintableCodec.charset,Uses_Field
"org.apache.commons.codec.net.QuotedPrintableCodec.<init>(Charset,boolean).CFG_Path_1",org.apache.commons.codec.net.QuotedPrintableCodec.strict,Uses_Field
"org.apache.commons.codec.net.QuotedPrintableCodec.<init>(Charset,boolean).CFG_Path_1",org.apache.commons.codec.net.QuotedPrintableCodec.charset,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_1,org.apache.commons.codec.net.QCodec.PRINTABLE_CHARS,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_1,org.apache.commons.codec.net.QCodec.encodeBlanks,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_2,org.apache.commons.codec.net.QCodec.PRINTABLE_CHARS,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_2,org.apache.commons.codec.net.QCodec.encodeBlanks,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_3,org.apache.commons.codec.net.QCodec.PRINTABLE_CHARS,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_3,org.apache.commons.codec.net.QCodec.encodeBlanks,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_4,org.apache.commons.codec.net.QCodec.PRINTABLE_CHARS,Uses_Field
org.apache.commons.codec.net.QCodec.doEncoding(byte[]).CFG_Path_4,org.apache.commons.codec.net.QCodec.encodeBlanks,Uses_Field
org.apache.commons.codec.net.QCodec.isEncodeBlanks().CFG_Path_1,org.apache.commons.codec.net.QCodec.encodeBlanks,Uses_Field
org.apache.commons.codec.net.QCodec.setEncodeBlanks(boolean).CFG_Path_1,org.apache.commons.codec.net.QCodec.encodeBlanks,Uses_Field
org.apache.commons.codec.net.PercentCodec.canEncode(byte).CFG_Path_2,org.apache.commons.codec.net.PercentCodec.alwaysEncodeChars,Uses_Field
org.apache.commons.codec.net.PercentCodec.canEncode(byte).CFG_Path_3,org.apache.commons.codec.net.PercentCodec.alwaysEncodeChars,Uses_Field
org.apache.commons.codec.net.PercentCodec.decode(byte[]).CFG_Path_2,org.apache.commons.codec.net.PercentCodec.plusForSpace,Uses_Field
org.apache.commons.codec.net.PercentCodec.decode(byte[]).CFG_Path_3,org.apache.commons.codec.net.PercentCodec.plusForSpace,Uses_Field
