FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.codec.net.Utils.digit16(byte).CFG_Path_1,org.apache.commons.codec.DecoderException.<init>(String),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_1,org.apache.commons.codec.DecoderException.<init>(String),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_2,org.apache.commons.codec.DecoderException.<init>(String),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_3,org.apache.commons.codec.DecoderException.<init>(String),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_4,org.apache.commons.codec.net.RFC1522Codec.getEncoding(),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_4,org.apache.commons.codec.DecoderException.<init>(String),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_5,org.apache.commons.codec.binary.StringUtils.getBytesUsAscii(String),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_5,org.apache.commons.codec.net.RFC1522Codec.doDecoding(byte[]),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_5,org.apache.commons.codec.net.RFC1522Codec.getEncoding(),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_6,org.apache.commons.codec.DecoderException.<init>(String),Uses_Method
org.apache.commons.codec.net.RFC1522Codec.decodeText(String).CFG_Path_7,org.apache.commons.codec.DecoderException.<init>(String),Uses_Method
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset).CFG_Path_1",org.apache.commons.codec.net.RFC1522Codec.getEncoding(),Uses_Method
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset).CFG_Path_1",org.apache.commons.codec.binary.StringUtils.newStringUsAscii(byte[]),Uses_Method
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset).CFG_Path_1",org.apache.commons.codec.net.RFC1522Codec.doEncoding(byte[]),Uses_Method
"org.apache.commons.codec.net.RFC1522Codec.encodeText(String,String).CFG_Path_1","org.apache.commons.codec.net.RFC1522Codec.encodeText(String,Charset)",Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_2,"org.apache.commons.codec.DecoderException.<init>(String,Throwable)",Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_3,"org.apache.commons.codec.DecoderException.<init>(String,Throwable)",Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_4,"org.apache.commons.codec.DecoderException.<init>(String,Throwable)",Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_5,"org.apache.commons.codec.DecoderException.<init>(String,Throwable)",Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_5,org.apache.commons.codec.net.Utils.digit16(byte),Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_6,"org.apache.commons.codec.DecoderException.<init>(String,Throwable)",Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_6,org.apache.commons.codec.net.Utils.digit16(byte),Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_7,"org.apache.commons.codec.DecoderException.<init>(String,Throwable)",Uses_Method
org.apache.commons.codec.net.QuotedPrintableCodec.decodeQuotedPrintable(byte[]).CFG_Path_7,org.apache.commons.codec.net.Utils.digit16(byte),Uses_Method
