FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
org.apache.commons.collections4.BidiMap,Interface,"* Defines a map that allows bidirectional lookup between key and values.\n * <p>\n * This extended {@code Map} represents a mapping where a key may\n * lookup a value and a value may lookup a key with equal ease.\n * This interface extends {@code Map} and so may be used anywhere a map\n * is required. The interface provides an inverse map view, enabling\n * full access to both directions of the {@code BidiMap}.\n * </p>\n * <p>\n * Implementations should allow a value to be looked up from a key and\n * a key to be looked up from a value with equal performance.\n * </p>\n * <p>\n * This map enforces the restriction that there is a 1:1 relation between\n * keys and values, meaning that multiple keys cannot map to the same value.\n * This is required so that ""inverting"" the map results in a map without\n * duplicate keys. See the {@link #put} method description for more information.\n * </p>\n *\n * @param <K> the type of the keys in the map\n * @param <V> the type of the values in the map\n * @since 3.0",public ,org.apache.commons.collections4.IterableMap,
org.apache.commons.collections4.Equator,Interface,"* An equation function, which determines equality between objects of type T.\n * <p>\n * It is the functional sibling of {@link java.util.Comparator}; {@link Equator} is to\n * {@link Object} as {@link java.util.Comparator} is to {@link Comparable}.\n * </p>\n *\n * @param <T> the types of object this {@link Equator} can evaluate.\n * @since 4.0",public ,,
org.apache.commons.collections4.MultiSet,Interface,"* Defines a collection that counts the number of times an object appears in\n * the collection.\n * <p>\n * Suppose you have a MultiSet that contains {@code {a, a, b, c}}.\n * Calling {@link #getCount(Object)} on {@code a} would return 2, while\n * calling {@link #uniqueSet()} would return {@code {a, b, c}}.\n * </p>\n *\n * @param <E> the type held in the multiset\n * @since 4.1",public ,java.util.Collection,
org.apache.commons.collections4.MultiSet$Entry,Interface,* An unmodifiable entry for an element and its occurrence as contained in a MultiSet.\n     * <p>\n     * The {@link MultiSet#entrySet()} method returns a view of the multiset whose elements\n     * implement this interface.\n     * </p>\n     *\n     * @param <E>  the element type,,,
org.apache.commons.collections4.IteratorUtils,Class,* Provides static utility methods and decorators for {@link Iterator}\n * instances. The implementations are provided in the iterators subpackage.\n *\n * @since 2.1,public ,,
org.apache.commons.collections4.ComparatorUtils,Class,* Provides convenient static utility methods for <Code>Comparator</Code>\n * objects.\n * <p>\n * Most of the functionality in this class can also be found in the\n * {@code comparators} package. This class merely provides a\n * convenient central place if you have use for more than one class\n * in the {@code comparators} subpackage.\n * </p>\n *\n * @since 2.1,public ,,
org.apache.commons.collections4.FunctorException,Class,"* Runtime exception thrown from functors.\n * If required, a root cause error can be wrapped within this one.\n *\n * @since 3.0",public ,java.lang.RuntimeException,
org.apache.commons.collections4.bidimap.AbstractDualBidiMap,Abstract Class,"* Abstract {@link BidiMap} implemented using two maps.\n * <p>\n * An implementation can be written simply by implementing the\n * {@link #createBidiMap(Map, Map, BidiMap)} method.\n * </p>\n *\n * @param <K> the type of the keys in the map\n * @param <V> the type of the values in the map\n * @see DualHashBidiMap\n * @see DualTreeBidiMap\n * @since 3.0","public , abstract ",,org.apache.commons.collections4.BidiMap
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator,Class,* Inner class MapIterator.\n     *\n     * @param <K> the type of the keys.\n     * @param <V> the type of the values.,"protected , static ",,org.apache.commons.collections4.MapIterator;org.apache.commons.collections4.ResettableIterator
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySet,Class,* Inner class EntrySet.\n     *\n     * @param <K> the type of the keys.\n     * @param <V> the type of the values.,"protected , static ",org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View,java.util.Set
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySetIterator,Class,* Inner class EntrySetIterator.\n     *\n     * @param <K> the type of the keys.\n     * @param <V> the type of the values.,"protected , static ",org.apache.commons.collections4.iterators.AbstractIteratorDecorator,
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySet,Class,* Inner class KeySet.\n     *\n     * @param <K> the type of elements maintained by this set,"protected , static ",org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View,java.util.Set
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySetIterator,Class,* Inner class KeySetIterator.\n     *\n     * @param <K> the key type.,"protected , static ",org.apache.commons.collections4.iterators.AbstractIteratorDecorator,
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$MapEntry,Class,* Inner class MapEntry.\n     *\n     * @param <K> the type of the keys.\n     * @param <V> the type of the values.,"protected , static ",org.apache.commons.collections4.keyvalue.AbstractMapEntryDecorator,
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$Values,Class,* Inner class Values.\n     *\n     * @param <V> the type of the values.,"protected , static ",org.apache.commons.collections4.bidimap.AbstractDualBidiMap.View,java.util.Set
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$ValuesIterator,Class,* Inner class ValuesIterator.\n     *\n     * @param <V> the value type.,"protected , static ",org.apache.commons.collections4.iterators.AbstractIteratorDecorator,
org.apache.commons.collections4.bidimap.AbstractDualBidiMap$View,Abstract Class,* Inner class View.\n     *\n     * @param <K> the type of the keys in the map.\n     * @param <V> the type of the values in the map.\n     * @param <E> the type of the elements in the collection.,"protected , abstract , static ",org.apache.commons.collections4.collection.AbstractCollectionDecorator,
org.apache.commons.collections4.bidimap.UnmodifiableBidiMap,Class,* Decorates another {@link BidiMap} to ensure it can't be altered.\n * <p>\n * Attempts to modify it will result in an UnsupportedOperationException.\n * </p>\n *\n * @param <K> the type of the keys in this map\n * @param <V> the type of the values in this map\n * @since 3.0,"public , final ",org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,org.apache.commons.collections4.Unmodifiable
org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator,Abstract Class,"* Provides a base decorator that enables additional functionality to be added\n * to an OrderedBidiMap via decoration.\n * <p>\n * Methods are forwarded directly to the decorated map.\n * </p>\n * <p>\n * This implementation does not perform any special processing with the map views.\n * Instead it simply returns the inverse from the wrapped map. This may be\n * undesirable, for example if you are trying to write a validating implementation\n * it would provide a loophole around the validation.\n * But, you might want that loophole, so this class is kept simple.\n * </p>\n *\n * @param <K> the type of the keys in this map\n * @param <V> the type of the values in this map\n * @since 3.0","public , abstract ",org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,org.apache.commons.collections4.OrderedBidiMap
org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap,Class,* Decorates another {@link OrderedBidiMap} to ensure it can't be altered.\n * <p>\n * Attempts to modify it will result in an UnsupportedOperationException.\n * </p>\n *\n * @param <K> the type of the keys in this map\n * @param <V> the type of the values in this map\n * @since 3.0,"public , final ",org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator,org.apache.commons.collections4.Unmodifiable
org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,Abstract Class,"* Provides a base decorator that enables additional functionality to be added\n * to a BidiMap via decoration.\n * <p>\n * Methods are forwarded directly to the decorated map.\n * </p>\n * <p>\n * This implementation does not perform any special processing with the map views.\n * Instead it simply returns the set/collection from the wrapped map. This may be\n * undesirable, for example if you are trying to write a validating implementation\n * it would provide a loophole around the validation.\n * But, you might want that loophole, so this class is kept simple.\n * </p>\n *\n * @param <K> the type of the keys in this map\n * @param <V> the type of the values in this map\n * @since 3.0","public , abstract ",org.apache.commons.collections4.map.AbstractMapDecorator,org.apache.commons.collections4.BidiMap
org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap,Class,* Implements {@link BidiMap} with two {@link LinkedHashMap} instances.\n * <p>\n * Two {@link LinkedHashMap} instances are used in this class.\n * This provides fast lookups at the expense of storing two sets of map entries and two linked lists.\n * </p>\n *\n * @param <K> the type of the keys in the map\n * @param <V> the type of the values in the map\n * @since 4.0,public ,org.apache.commons.collections4.bidimap.AbstractDualBidiMap,java.io.Serializable
org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap,Class,* Decorates another {@link SortedBidiMap} to ensure it can't be altered.\n * <p>\n * Attempts to modify it will result in an {@link UnsupportedOperationException}.\n * </p>\n *\n * @param <K> the type of the keys in this map\n * @param <V> the type of the values in this map\n * @since 3.0,"public , final ",org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator,org.apache.commons.collections4.Unmodifiable
