FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.collections4.IteratorUtils.EMPTY_ITERATOR,Field,* An iterator over no elements.,"@SuppressWarnings(""rawtypes"")\npublic static final ResettableIterator EMPTY_ITERATOR = EmptyIterator.RESETTABLE_INSTANCE;",org.apache.commons.collections4.ResettableIterator EMPTY_ITERATOR,"public , static , final "
org.apache.commons.collections4.IteratorUtils.EMPTY_LIST_ITERATOR,Field,* A list iterator over no elements.,"@SuppressWarnings(""rawtypes"")\npublic static final ResettableListIterator EMPTY_LIST_ITERATOR = EmptyListIterator.RESETTABLE_INSTANCE;",org.apache.commons.collections4.ResettableListIterator EMPTY_LIST_ITERATOR,"public , static , final "
org.apache.commons.collections4.IteratorUtils.EMPTY_ORDERED_ITERATOR,Field,* An ordered iterator over no elements.,"@SuppressWarnings(""rawtypes"")\npublic static final OrderedIterator EMPTY_ORDERED_ITERATOR = EmptyOrderedIterator.INSTANCE;",org.apache.commons.collections4.OrderedIterator EMPTY_ORDERED_ITERATOR,"public , static , final "
org.apache.commons.collections4.IteratorUtils.EMPTY_MAP_ITERATOR,Field,* A map iterator over no elements.,"@SuppressWarnings(""rawtypes"")\npublic static final MapIterator EMPTY_MAP_ITERATOR = EmptyMapIterator.INSTANCE;",org.apache.commons.collections4.MapIterator EMPTY_MAP_ITERATOR,"public , static , final "
org.apache.commons.collections4.IteratorUtils.EMPTY_ORDERED_MAP_ITERATOR,Field,* An ordered map iterator over no elements.,"@SuppressWarnings(""rawtypes"")\npublic static final OrderedMapIterator EMPTY_ORDERED_MAP_ITERATOR = EmptyOrderedMapIterator.INSTANCE;",org.apache.commons.collections4.OrderedMapIterator EMPTY_ORDERED_MAP_ITERATOR,"public , static , final "
org.apache.commons.collections4.IteratorUtils.DEFAULT_TOSTRING_DELIMITER,Field,* Default delimiter used to delimit elements while converting an Iterator\n     * to its String representation.,"private static final String DEFAULT_TOSTRING_DELIMITER = "", "";",java.lang.String DEFAULT_TOSTRING_DELIMITER,"private , static , final "
org.apache.commons.collections4.ComparatorUtils.EMPTY_COMPARATOR_ARRAY,Field,No Comment,"@SuppressWarnings(""rawtypes"")\nprivate static final Comparator[] EMPTY_COMPARATOR_ARRAY = {};",java.util.Comparator[] EMPTY_COMPARATOR_ARRAY,"private , static , final "
org.apache.commons.collections4.ComparatorUtils.NATURAL_COMPARATOR,Field,* Comparator for natural sort order.\n     *\n     * @see ComparableComparator#comparableComparator(),"// explicit type needed for Java 1.5 compilation\n@SuppressWarnings({ ""rawtypes"", ""unchecked"" })\npublic static final Comparator NATURAL_COMPARATOR = ComparableComparator.<Comparable>comparableComparator();",java.util.Comparator NATURAL_COMPARATOR,"public , static , final "
org.apache.commons.collections4.FunctorException.serialVersionUID,Field,Serialization version,private static final long serialVersionUID = -4704772662059351193L;,long serialVersionUID,"private , static , final "
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.normalMap,Field,* Normal delegate map.,"transient Map<K, V> normalMap;",java.util.Map normalMap,transient 
org.apache.commons.collections4.bidimap.AbstractDualBidiMap.reverseMap,Field,* Reverse delegate map.,"transient Map<V, K> reverseMap;",java.util.Map reverseMap,transient 
