FEN:ID,:LABEL,Parameter Name,Data Type
org.apache.commons.collections4.BidiMap.getKey(Object).value,Parameter_1,value,java.lang.Object
"org.apache.commons.collections4.BidiMap.put(Object,Object).key",Parameter_1,key,java.lang.Object
"org.apache.commons.collections4.BidiMap.put(Object,Object).value",Parameter_2,value,java.lang.Object
org.apache.commons.collections4.BidiMap.removeValue(Object).value,Parameter_1,value,java.lang.Object
"org.apache.commons.collections4.Equator.equate(Object,Object).o1",Parameter_1,o1,java.lang.Object
"org.apache.commons.collections4.Equator.equate(Object,Object).o2",Parameter_2,o2,java.lang.Object
org.apache.commons.collections4.Equator.hash(Object).o,Parameter_1,o,java.lang.Object
org.apache.commons.collections4.MultiSet.add(Object).object,Parameter_1,object,java.lang.Object
"org.apache.commons.collections4.MultiSet.add(Object,int).object",Parameter_1,object,java.lang.Object
"org.apache.commons.collections4.MultiSet.add(Object,int).occurrences",Parameter_2,occurrences,int
org.apache.commons.collections4.MultiSet.containsAll(Collection).coll,Parameter_1,coll,java.util.Collection
org.apache.commons.collections4.MultiSet.equals(Object).obj,Parameter_1,obj,java.lang.Object
org.apache.commons.collections4.MultiSet.getCount(Object).object,Parameter_1,object,java.lang.Object
org.apache.commons.collections4.MultiSet.remove(Object).object,Parameter_1,object,java.lang.Object
"org.apache.commons.collections4.MultiSet.remove(Object,int).object",Parameter_1,object,java.lang.Object
"org.apache.commons.collections4.MultiSet.remove(Object,int).occurrences",Parameter_2,occurrences,int
org.apache.commons.collections4.MultiSet.removeAll(Collection).coll,Parameter_1,coll,java.util.Collection
org.apache.commons.collections4.MultiSet.retainAll(Collection).coll,Parameter_1,coll,java.util.Collection
"org.apache.commons.collections4.MultiSet.setCount(Object,int).object",Parameter_1,object,java.lang.Object
"org.apache.commons.collections4.MultiSet.setCount(Object,int).count",Parameter_2,count,int
org.apache.commons.collections4.MultiSet$Entry.equals(Object).o,Parameter_1,o,java.lang.Object
org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[]).array,Parameter_1,array,java.lang.Object[]
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int).array",Parameter_1,array,java.lang.Object[]
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int,int).array",Parameter_1,array,java.lang.Object[]
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int,int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int,int).end",Parameter_3,end,int
org.apache.commons.collections4.IteratorUtils.arrayIterator(Object).array,Parameter_1,array,java.lang.Object
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int).array",Parameter_1,array,java.lang.Object
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int,int).array",Parameter_1,array,java.lang.Object
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int,int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int,int).end",Parameter_3,end,int
org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[]).array,Parameter_1,array,java.lang.Object[]
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int).array",Parameter_1,array,java.lang.Object[]
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int,int).array",Parameter_1,array,java.lang.Object[]
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int,int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int,int).end",Parameter_3,end,int
org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object).array,Parameter_1,array,java.lang.Object
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int).array",Parameter_1,array,java.lang.Object
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int,int).array",Parameter_1,array,java.lang.Object
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int,int).start",Parameter_2,start,int
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int,int).end",Parameter_3,end,int
org.apache.commons.collections4.IteratorUtils.asEnumeration(Iterator).iterator,Parameter_1,iterator,java.util.Iterator
org.apache.commons.collections4.IteratorUtils.asIterable(Iterator).iterator,Parameter_1,iterator,java.util.Iterator
org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration).enumeration,Parameter_1,enumeration,java.util.Enumeration
"org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration,Collection).enumeration",Parameter_1,enumeration,java.util.Enumeration
"org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration,Collection).removeCollection",Parameter_2,removeCollection,java.util.Collection
org.apache.commons.collections4.IteratorUtils.asMultipleUseIterable(Iterator).iterator,Parameter_1,iterator,java.util.Iterator
"org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long).iterator",Parameter_1,iterator,java.util.Iterator
"org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long).max",Parameter_2,max,long
"org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long,long).iterator",Parameter_1,iterator,java.util.Iterator
"org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long,long).offset",Parameter_2,offset,long
