FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[]),org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[]).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int)","org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int,int)","org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int,int).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.arrayIterator(Object),org.apache.commons.collections4.IteratorUtils.arrayIterator(Object).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int)","org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int,int)","org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int,int).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[]),org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[]).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int)","org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int,int)","org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int,int).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object),org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int)","org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int,int)","org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int,int).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.asEnumeration(Iterator),org.apache.commons.collections4.IteratorUtils.asEnumeration(Iterator).CFG_Path_1,Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.asIterable(Iterator),org.apache.commons.collections4.IteratorUtils.asIterable(Iterator).CFG_Path_1,Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration),org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration,Collection)","org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration,Collection).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.asMultipleUseIterable(Iterator),org.apache.commons.collections4.IteratorUtils.asMultipleUseIterable(Iterator).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long)","org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long,long)","org.apache.commons.collections4.IteratorUtils.boundedIterator(Iterator,long,long).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.chainedIterator(Collection),org.apache.commons.collections4.IteratorUtils.chainedIterator(Collection).CFG_Path_1,Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.chainedIterator(Iterator[]),org.apache.commons.collections4.IteratorUtils.chainedIterator(Iterator[]).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.chainedIterator(Iterator,Iterator)","org.apache.commons.collections4.IteratorUtils.chainedIterator(Iterator,Iterator).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.chainedIterator(Iterator),org.apache.commons.collections4.IteratorUtils.chainedIterator(Iterator).CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Collection)","org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Collection).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Collection)","org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Collection).CFG_Path_2",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator[])","org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator[]).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator[])","org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator[]).CFG_Path_2",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator,Iterator)","org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator,Iterator).CFG_Path_1",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator,Iterator)","org.apache.commons.collections4.IteratorUtils.collatedIterator(Comparator,Iterator,Iterator).CFG_Path_2",Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.contains(Iterator,Object)","org.apache.commons.collections4.IteratorUtils.contains(Iterator,Object).CFG_Path_1",Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.emptyIterator(),org.apache.commons.collections4.IteratorUtils.emptyIterator().CFG_Path_1,Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.emptyListIterator(),org.apache.commons.collections4.IteratorUtils.emptyListIterator().CFG_Path_1,Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.emptyMapIterator(),org.apache.commons.collections4.IteratorUtils.emptyMapIterator().CFG_Path_1,Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.emptyOrderedIterator(),org.apache.commons.collections4.IteratorUtils.emptyOrderedIterator().CFG_Path_1,Has_CFG_Path
org.apache.commons.collections4.IteratorUtils.emptyOrderedMapIterator(),org.apache.commons.collections4.IteratorUtils.emptyOrderedMapIterator().CFG_Path_1,Has_CFG_Path
"org.apache.commons.collections4.IteratorUtils.filteredIterator(Iterator,Predicate)","org.apache.commons.collections4.IteratorUtils.filteredIterator(Iterator,Predicate).CFG_Path_1",Has_CFG_Path
