FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[]).CFG_Path_1,org.apache.commons.collections4.iterators.ObjectArrayIterator.<init>(Object[]),Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int).CFG_Path_1","org.apache.commons.collections4.iterators.ObjectArrayIterator.<init>(Object[],int)",Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object[],int,int).CFG_Path_1","org.apache.commons.collections4.iterators.ObjectArrayIterator.<init>(Object[],int,int)",Uses_Method
org.apache.commons.collections4.IteratorUtils.arrayIterator(Object).CFG_Path_1,org.apache.commons.collections4.iterators.ArrayIterator.<init>(Object),Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int).CFG_Path_1","org.apache.commons.collections4.iterators.ArrayIterator.<init>(Object,int)",Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayIterator(Object,int,int).CFG_Path_1","org.apache.commons.collections4.iterators.ArrayIterator.<init>(Object,int,int)",Uses_Method
org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[]).CFG_Path_1,org.apache.commons.collections4.iterators.ObjectArrayListIterator.<init>(Object[]),Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int).CFG_Path_1","org.apache.commons.collections4.iterators.ObjectArrayListIterator.<init>(Object[],int)",Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object[],int,int).CFG_Path_1","org.apache.commons.collections4.iterators.ObjectArrayListIterator.<init>(Object[],int,int)",Uses_Method
org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object).CFG_Path_1,org.apache.commons.collections4.iterators.ArrayListIterator.<init>(Object),Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int).CFG_Path_1","org.apache.commons.collections4.iterators.ArrayListIterator.<init>(Object,int)",Uses_Method
"org.apache.commons.collections4.IteratorUtils.arrayListIterator(Object,int,int).CFG_Path_1","org.apache.commons.collections4.iterators.ArrayListIterator.<init>(Object,int,int)",Uses_Method
org.apache.commons.collections4.IteratorUtils.asEnumeration(Iterator).CFG_Path_1,org.apache.commons.collections4.iterators.IteratorEnumeration.<init>(Iterator),Uses_Method
org.apache.commons.collections4.IteratorUtils.asIterable(Iterator).CFG_Path_1,"org.apache.commons.collections4.iterators.IteratorIterable.<init>(Iterator,boolean)",Uses_Method
org.apache.commons.collections4.IteratorUtils.asIterator(Enumeration).CFG_Path_1,org.apache.commons.collections4.iterators.EnumerationIterator.<init>(Enumeration),Uses_Method
