FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
org.apache.commons.compress.parallel.ScatterGatherBackingStoreSupplier,Interface,* Supplies {@link ScatterGatherBackingStore} instances.\n *\n * @since 1.10,public ,,
org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore,Class,* ScatterGatherBackingStore that is backed by a path.\n *\n * @since 1.10,public ,,org.apache.commons.compress.parallel.ScatterGatherBackingStore
org.apache.commons.compress.parallel.ScatterGatherBackingStore,Interface,"* <p>\n * Store intermediate payload in a scatter-gather scenario. Multiple threads write their payload to a backing store, which can subsequently be reversed to an\n * {@link InputStream} to be used as input in the gather phase.\n * </p>\n *\n * <p>\n * It is the responsibility of the allocator of an instance of this class to close this. Closing it should clear off any allocated structures and preferably\n * delete files.\n * </p>\n *\n * @since 1.10",public ,java.io.Closeable,
org.apache.commons.compress.parallel.InputStreamSupplier,Interface,"* Supplies input streams.\n *\n * Implementations are required to support thread-handover. While an instance will not be accessed concurrently by multiple threads, it will be called by a\n * different thread than it was created on.\n *\n * @since 1.10",public ,,
org.apache.commons.compress.changes.Change,Class,* Change holds meta information about a change.\n *\n * @param <E> The ArchiveEntry type.\n * @Immutable,final ,,
org.apache.commons.compress.changes.Change$ChangeType,Enum,* Enumerates types of changes.,,enum has no extends,
org.apache.commons.compress.changes.ChangeSet,Class,* ChangeSet collects and performs changes to an archive. Putting delete changes in this ChangeSet from multiple threads can cause conflicts.\n *\n * @param <E> The ArchiveEntry type.\n * @NotThreadSafe,"public , final ",,
org.apache.commons.compress.changes.ChangeSetPerformer,Class,"* Performs ChangeSet operations on a stream. This class is thread safe and can be used multiple times. It operates on a copy of the ChangeSet. If the ChangeSet\n * changes, a new Performer must be created.\n *\n * @param <I> The {@link ArchiveInputStream} type.\n * @param <O> The {@link ArchiveOutputStream} type.\n * @param <E> The {@link ArchiveEntry} type, must be compatible between the input {@code I} and output {@code O} stream types.\n * @ThreadSafe\n * @Immutable",public ,,
org.apache.commons.compress.changes.ChangeSetPerformer$ArchiveEntryIterator,Interface,* Abstracts getting entries and streams for archive entries.\n     *\n     * <p>\n     * Iterator#hasNext is not allowed to throw exceptions that's why we can't use Iterator&lt;ArchiveEntry&gt; directly - otherwise we'd need to convert\n     * exceptions thrown in ArchiveInputStream#getNextEntry.\n     * </p>,private ,,
org.apache.commons.compress.changes.ChangeSetPerformer$ArchiveInputStreamIterator,Class,No Comment,"private , static , final ",,org.apache.commons.compress.changes.ChangeSetPerformer.ArchiveEntryIterator
org.apache.commons.compress.changes.ChangeSetPerformer$ZipFileIterator,Class,No Comment,"private , static , final ",,org.apache.commons.compress.changes.ChangeSetPerformer.ArchiveEntryIterator
org.apache.commons.compress.changes.ChangeSetResults,Class,* Stores the results of a performed {@link ChangeSet} operation.,public ,,
org.apache.commons.compress.harmony.unpack200.IcTuple,Class,"* An IcTuple is the set of information that describes an inner class.\n *\n * C is the fully qualified class name<br>\n * F is the flags<br>\n * C2 is the outer class name, or null if it can be inferred from C<br>\n * N is the inner class name, or null if it can be inferred from C<br>",public ,,
org.apache.commons.compress.harmony.unpack200.BcBands,Class,* Bytecode bands.,public ,org.apache.commons.compress.harmony.unpack200.BandSet,
org.apache.commons.compress.harmony.unpack200.SegmentOptions,Class,"* Stores the combinations of bit flags that can be used in the segment header options. Whilst this could be defined in {@link Segment}, it's cleaner to pull it\n * out into a separate class, not least because methods can then be used to determine the semantic meaning of the flags. In languages with a pre-processor,\n * these may be defined by macros that do bitflag manipulation instead.",public ,,
org.apache.commons.compress.harmony.unpack200.SegmentConstantPoolArrayCache,Class,* The SegmentConstantPool spends a lot of time searching through large arrays of Strings looking for matches. This can be sped up by caching the arrays in\n * HashMaps so the String keys are looked up and resolve to positions in the array rather than iterating through the arrays each time.\n *\n * Because the arrays only grow (never shrink or change) we can use the last known size as a way to determine if the array has changed.\n *\n * Note that this cache must be synchronized externally if it is shared.,public ,,
org.apache.commons.compress.harmony.unpack200.SegmentConstantPoolArrayCache$CachedArray,Class,* Keeps track of the last known size of an array as well as a HashMap that knows the mapping from element values to the indices of the array\n     * which contain that value.,protected ,,
org.apache.commons.compress.harmony.unpack200.MetadataBandGroup,Class,"* A group of metadata bands, such as class_RVA_bands, method_AD_bands etc.",public ,,
