FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.compress.changes.Change$ChangeType.DELETE,Enum Constant,* Delete.,DELETE,org.apache.commons.compress.changes.Change$ChangeType DELETE,default
org.apache.commons.compress.changes.Change$ChangeType.ADD,Enum Constant,* Add.,ADD,org.apache.commons.compress.changes.Change$ChangeType ADD,default
org.apache.commons.compress.changes.Change$ChangeType.MOVE,Enum Constant,* Not used.,MOVE,org.apache.commons.compress.changes.Change$ChangeType MOVE,default
org.apache.commons.compress.changes.Change$ChangeType.DELETE_DIR,Enum Constant,* Delete directory.,DELETE_DIR,org.apache.commons.compress.changes.Change$ChangeType DELETE_DIR,default
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.SETUID,Enum Constant,* Permission SETUID (octal value 04000).,SETUID(04000),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION SETUID,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.SETGUI,Enum Constant,* Permission SETGUI (octal value 02000).,SETGUI(02000),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION SETGUI,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.STICKY,Enum Constant,* Permission STICKY (octal value 01000).,STICKY(01000),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION STICKY,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.USER_READ,Enum Constant,* Permission USER_READ (octal value 00400).,USER_READ(00400),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION USER_READ,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.USER_WRITE,Enum Constant,* Permission USER_WRITE (octal value 00200).,USER_WRITE(00200),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION USER_WRITE,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.USER_EXEC,Enum Constant,* Permission USER_EXEC (octal value 00100).,USER_EXEC(00100),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION USER_EXEC,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.GROUP_READ,Enum Constant,* Permission GROUP_READ (octal value 00040).,GROUP_READ(00040),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION GROUP_READ,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.GROUP_WRITE,Enum Constant,* Permission GROUP_WRITE (octal value 00020).,GROUP_WRITE(00020),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION GROUP_WRITE,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.GROUP_EXEC,Enum Constant,* Permission 00020 (octal value 00010).,GROUP_EXEC(00010),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION GROUP_EXEC,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.WORLD_READ,Enum Constant,* Permission WORLD_READ (octal value 00004).,WORLD_READ(00004),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION WORLD_READ,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.WORLD_WRITE,Enum Constant,* Permission WORLD_WRITE (octal value 00002).,WORLD_WRITE(00002),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION WORLD_WRITE,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION.WORLD_EXEC,Enum Constant,* Permission WORLD_EXEC (octal value 00001).,WORLD_EXEC(00001),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$PERMISSION WORLD_EXEC,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE.WHITEOUT,Enum Constant,* WHITEOUT with code 14.,WHITEOUT(14),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE WHITEOUT,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE.SOCKET,Enum Constant,* SOCKET with code 12.,SOCKET(12),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE SOCKET,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE.LINK,Enum Constant,* LINK with code 10.,LINK(10),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE LINK,public 
org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE.FILE,Enum Constant,* FILE with code 8.,FILE(8),org.apache.commons.compress.archivers.dump.DumpArchiveEntry$TYPE FILE,public 
