FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.target,Field,No Comment,private final Path target;,java.nio.file.Path target,"private , final "
org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.outputStream,Field,No Comment,private final OutputStream outputStream;,java.io.OutputStream outputStream,"private , final "
org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.closed,Field,No Comment,private boolean closed;,boolean closed,private 
org.apache.commons.compress.changes.Change.targetFileName,Field,Entry name to delete.,private final String targetFileName;,java.lang.String targetFileName,"private , final "
org.apache.commons.compress.changes.Change.entry,Field,New entry to add.,private final E entry;,org.apache.commons.compress.archivers.ArchiveEntry entry,"private , final "
org.apache.commons.compress.changes.Change.inputStream,Field,Source for new entry.,private final InputStream inputStream;,java.io.InputStream inputStream,"private , final "
org.apache.commons.compress.changes.Change.replaceMode,Field,Change should replaceMode existing entries.,private final boolean replaceMode;,boolean replaceMode,"private , final "
org.apache.commons.compress.changes.Change.type,Field,Type of change.,private final ChangeType type;,org.apache.commons.compress.changes.Change$ChangeType type,"private , final "
org.apache.commons.compress.changes.ChangeSet.changes,Field,No Comment,private final Set<Change<E>> changes = new LinkedHashSet<>();,java.util.Set changes,"private , final "
org.apache.commons.compress.changes.ChangeSetPerformer.changes,Field,No Comment,private final Set<Change<E>> changes;,java.util.Set changes,"private , final "
org.apache.commons.compress.changes.ChangeSetPerformer$ArchiveInputStreamIterator.inputStream,Field,No Comment,private final ArchiveInputStream<E> inputStream;,org.apache.commons.compress.archivers.ArchiveInputStream inputStream,"private , final "
org.apache.commons.compress.changes.ChangeSetPerformer$ArchiveInputStreamIterator.next,Field,No Comment,private E next;,org.apache.commons.compress.archivers.ArchiveEntry next,private 
org.apache.commons.compress.changes.ChangeSetPerformer$ZipFileIterator.zipFile,Field,No Comment,private final ZipFile zipFile;,org.apache.commons.compress.archivers.zip.ZipFile zipFile,"private , final "
org.apache.commons.compress.changes.ChangeSetPerformer$ZipFileIterator.nestedEnumeration,Field,No Comment,private final Enumeration<ZipArchiveEntry> nestedEnumeration;,java.util.Enumeration nestedEnumeration,"private , final "
org.apache.commons.compress.changes.ChangeSetPerformer$ZipFileIterator.currentEntry,Field,No Comment,private ZipArchiveEntry currentEntry;,org.apache.commons.compress.archivers.zip.ZipArchiveEntry currentEntry,private 
org.apache.commons.compress.changes.ChangeSetResults.addedFromChangeSet,Field,No Comment,private final List<String> addedFromChangeSet = new ArrayList<>();,java.util.List addedFromChangeSet,"private , final "
org.apache.commons.compress.changes.ChangeSetResults.addedFromStream,Field,No Comment,private final List<String> addedFromStream = new ArrayList<>();,java.util.List addedFromStream,"private , final "
org.apache.commons.compress.changes.ChangeSetResults.deleted,Field,No Comment,private final List<String> deleted = new ArrayList<>();,java.util.List deleted,"private , final "
org.apache.commons.compress.harmony.unpack200.IcTuple.EMPTY_STRING_ARRAY,Field,No Comment,private static final String[] EMPTY_STRING_ARRAY = {};,java.lang.String[] EMPTY_STRING_ARRAY,"private , static , final "
org.apache.commons.compress.harmony.unpack200.IcTuple.NESTED_CLASS_FLAG,Field,No Comment,public static final int NESTED_CLASS_FLAG = 0x00010000;,int NESTED_CLASS_FLAG,"public , static , final "
org.apache.commons.compress.harmony.unpack200.IcTuple.EMPTY_ARRAY,Field,No Comment,static final IcTuple[] EMPTY_ARRAY = {};,org.apache.commons.compress.harmony.unpack200.IcTuple[] EMPTY_ARRAY,"static , final "
org.apache.commons.compress.harmony.unpack200.IcTuple.cIndex,Field,No Comment,private final int cIndex;,int cIndex,"private , final "
org.apache.commons.compress.harmony.unpack200.IcTuple.c2Index,Field,No Comment,private final int c2Index;,int c2Index,"private , final "
org.apache.commons.compress.harmony.unpack200.IcTuple.nIndex,Field,No Comment,private final int nIndex;,int nIndex,"private , final "
