FEN:ID,:LABEL,Parameter Name,Data Type
"org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.writeOut(byte[],int,int).data",Parameter_1,data,byte[]
"org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.writeOut(byte[],int,int).offset",Parameter_2,offset,int
"org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.writeOut(byte[],int,int).length",Parameter_3,length,int
org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.<init>(File).target,Parameter_1,target,java.io.File
org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore.<init>(Path).target,Parameter_1,target,java.nio.file.Path
"org.apache.commons.compress.parallel.ScatterGatherBackingStore.writeOut(byte[],int,int).data",Parameter_1,data,byte[]
"org.apache.commons.compress.parallel.ScatterGatherBackingStore.writeOut(byte[],int,int).offset",Parameter_2,offset,int
"org.apache.commons.compress.parallel.ScatterGatherBackingStore.writeOut(byte[],int,int).length",Parameter_3,length,int
"org.apache.commons.compress.changes.Change.<init>(ArchiveEntry,InputStream,boolean).archiveEntry",Parameter_1,archiveEntry,org.apache.commons.compress.archivers.ArchiveEntry
"org.apache.commons.compress.changes.Change.<init>(ArchiveEntry,InputStream,boolean).inputStream",Parameter_2,inputStream,java.io.InputStream
"org.apache.commons.compress.changes.Change.<init>(ArchiveEntry,InputStream,boolean).replace",Parameter_3,replace,boolean
"org.apache.commons.compress.changes.Change.<init>(String,ChangeType).fileName",Parameter_1,fileName,java.lang.String
"org.apache.commons.compress.changes.Change.<init>(String,ChangeType).type",Parameter_2,type,org.apache.commons.compress.changes.Change$ChangeType
"org.apache.commons.compress.changes.ChangeSet.add(ArchiveEntry,InputStream).entry",Parameter_1,entry,org.apache.commons.compress.archivers.ArchiveEntry
"org.apache.commons.compress.changes.ChangeSet.add(ArchiveEntry,InputStream).input",Parameter_2,input,java.io.InputStream
"org.apache.commons.compress.changes.ChangeSet.add(ArchiveEntry,InputStream,boolean).entry",Parameter_1,entry,org.apache.commons.compress.archivers.ArchiveEntry
"org.apache.commons.compress.changes.ChangeSet.add(ArchiveEntry,InputStream,boolean).input",Parameter_2,input,java.io.InputStream
"org.apache.commons.compress.changes.ChangeSet.add(ArchiveEntry,InputStream,boolean).replace",Parameter_3,replace,boolean
org.apache.commons.compress.changes.ChangeSet.addAddition(Change).addChange,Parameter_1,addChange,org.apache.commons.compress.changes.Change
