FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.getContentMethods(SevenZArchiveEntry).CFG_Path_1,org.apache.commons.compress.archivers.sevenz.SevenZMethod.AES256SHA256,Uses_Enum_Constant
org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.getContentMethods(SevenZArchiveEntry).CFG_Path_3,org.apache.commons.compress.archivers.sevenz.SevenZMethod.AES256SHA256,Uses_Enum_Constant
"org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.<init>(SeekableByteChannel,char[]).CFG_Path_1",org.apache.commons.compress.archivers.sevenz.SevenZMethod.LZMA2,Uses_Enum_Constant
"org.apache.commons.compress.archivers.sevenz.SevenZOutputFile.<init>(SeekableByteChannel,char[]).CFG_Path_2",org.apache.commons.compress.archivers.sevenz.SevenZMethod.LZMA2,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_2,org.apache.commons.compress.archivers.zip.ZipMethod.UNSHRINKING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_3,org.apache.commons.compress.archivers.zip.ZipMethod.IMPLODING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_3,org.apache.commons.compress.archivers.zip.ZipMethod.UNSHRINKING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_4,org.apache.commons.compress.archivers.zip.ZipMethod.IMPLODING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_4,org.apache.commons.compress.archivers.zip.ZipMethod.UNSHRINKING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_5,org.apache.commons.compress.archivers.zip.ZipMethod.IMPLODING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_5,org.apache.commons.compress.archivers.zip.ZipMethod.ENHANCED_DEFLATED,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_5,org.apache.commons.compress.archivers.zip.ZipMethod.UNSHRINKING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_6,org.apache.commons.compress.archivers.zip.ZipMethod.IMPLODING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_6,org.apache.commons.compress.archivers.zip.ZipMethod.BZIP2,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_6,org.apache.commons.compress.archivers.zip.ZipMethod.ENHANCED_DEFLATED,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_6,org.apache.commons.compress.archivers.zip.ZipMethod.UNSHRINKING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_6,org.apache.commons.compress.archivers.zip.ZipMethod.XZ,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_7,org.apache.commons.compress.archivers.zip.ZipMethod.IMPLODING,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_7,org.apache.commons.compress.archivers.zip.ZipMethod.BZIP2,Uses_Enum_Constant
org.apache.commons.compress.archivers.zip.ZipUtil.supportsMethodOf(ZipArchiveEntry).CFG_Path_7,org.apache.commons.compress.archivers.zip.ZipMethod.ENHANCED_DEFLATED,Uses_Enum_Constant
