FEN,Type,class,sub_signature,cfg_dot
"org.apache.commons.csv.CSVFormat$Builder.maxRows","field","org.apache.commons.csv.CSVFormat$Builder","long maxRows","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.allowMissingColumnNames","field","org.apache.commons.csv.CSVFormat$Builder","boolean allowMissingColumnNames","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.quoteMode","field","org.apache.commons.csv.CSVFormat$Builder","org.apache.commons.csv.QuoteMode quoteMode","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.trim","field","org.apache.commons.csv.CSVFormat$Builder","boolean trim","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.recordSeparator","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.String recordSeparator","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.headers","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.String[] headers","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.ignoreEmptyLines","field","org.apache.commons.csv.CSVFormat$Builder","boolean ignoreEmptyLines","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.delimiter","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.String delimiter","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.autoFlush","field","org.apache.commons.csv.CSVFormat$Builder","boolean autoFlush","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.skipHeaderRecord","field","org.apache.commons.csv.CSVFormat$Builder","boolean skipHeaderRecord","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.quotedNullString","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.String quotedNullString","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.ignoreHeaderCase","field","org.apache.commons.csv.CSVFormat$Builder","boolean ignoreHeaderCase","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.ignoreSurroundingSpaces","field","org.apache.commons.csv.CSVFormat$Builder","boolean ignoreSurroundingSpaces","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.headerComments","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.String[] headerComments","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.commentMarker","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.Character commentMarker","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.trailingData","field","org.apache.commons.csv.CSVFormat$Builder","boolean trailingData","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.escapeCharacter","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.Character escapeCharacter","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.duplicateHeaderMode","field","org.apache.commons.csv.CSVFormat$Builder","org.apache.commons.csv.DuplicateHeaderMode duplicateHeaderMode","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.nullString","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.String nullString","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.quoteCharacter","field","org.apache.commons.csv.CSVFormat$Builder","java.lang.Character quoteCharacter","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.lenientEof","field","org.apache.commons.csv.CSVFormat$Builder","boolean lenientEof","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.trailingDelimiter","field","org.apache.commons.csv.CSVFormat$Builder","boolean trailingDelimiter","field with no cfg"
"org.apache.commons.csv.CSVFormat$Builder.access$4100(CSVFormat$Builder)","Method","org.apache.commons.csv.CSVFormat$Builder","org.apache.commons.csv.QuoteMode access$4100(org.apache.commons.csv.CSVFormat$Builder)","digraph cfg_access$4100 {
	""1"" [label=""$stack1 = x0.<org.apache.commons.csv.CSVFormat$Builder: org.apache.commons.csv.QuoteMode quoteMode>""];
	""2"" [label=""return $stack1""];
	""3"" [label=""x0 := @parameter0: org.apache.commons.csv.CSVFormat$Builder""];
	""1"" -> ""2""[label=""cfg_next""];
	""3"" -> ""1""[label=""cfg_next""];
}
"
"Belong to org.apache.commons.csv.CSVFormat$Builder.access$4100(CSVFormat$Builder)","Parameter_1","org.apache.commons.csv.CSVFormat$Builder","org.apache.commons.csv.CSVFormat$Builder","Parameter does not obtain cfg"
