FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.csv.CSVFormat$Predefined.Default,Enum Constant,* The DEFAULT predefined format.\n         *\n         * @see CSVFormat#DEFAULT,Default(DEFAULT),org.apache.commons.csv.CSVFormat$Predefined Default,public 
org.apache.commons.csv.CSVFormat$Predefined.Excel,Enum Constant,* The EXCEL predefined format.\n         *\n         * @see CSVFormat#EXCEL,Excel(EXCEL),org.apache.commons.csv.CSVFormat$Predefined Excel,public 
org.apache.commons.csv.CSVFormat$Predefined.InformixUnload,Enum Constant,* The INFORMIX_UNLOAD predefined format.\n         *\n         * @see CSVFormat#INFORMIX_UNLOAD\n         * @since 1.3,InformixUnload(INFORMIX_UNLOAD),org.apache.commons.csv.CSVFormat$Predefined InformixUnload,public 
org.apache.commons.csv.CSVFormat$Predefined.InformixUnloadCsv,Enum Constant,* The INFORMIX_UNLOAD_CSV predefined format.\n         *\n         * @see CSVFormat#INFORMIX_UNLOAD_CSV\n         * @since 1.3,InformixUnloadCsv(INFORMIX_UNLOAD_CSV),org.apache.commons.csv.CSVFormat$Predefined InformixUnloadCsv,public 
org.apache.commons.csv.CSVFormat$Predefined.MongoDBCsv,Enum Constant,* The MONGODB_CSV predefined format.\n         *\n         * @see CSVFormat#MONGODB_CSV\n         * @since 1.7,MongoDBCsv(MONGODB_CSV),org.apache.commons.csv.CSVFormat$Predefined MongoDBCsv,public 
org.apache.commons.csv.CSVFormat$Predefined.MongoDBTsv,Enum Constant,* The MONGODB_TSV predefined format.\n         *\n         * @see CSVFormat#MONGODB_TSV\n         * @since 1.7,MongoDBTsv(MONGODB_TSV),org.apache.commons.csv.CSVFormat$Predefined MongoDBTsv,public 
org.apache.commons.csv.CSVFormat$Predefined.MySQL,Enum Constant,* The MYSQL predefined format.\n         *\n         * @see CSVFormat#MYSQL,MySQL(MYSQL),org.apache.commons.csv.CSVFormat$Predefined MySQL,public 
org.apache.commons.csv.CSVFormat$Predefined.Oracle,Enum Constant,* The ORACLE predefined format.\n         *\n         * @see CSVFormat#ORACLE,Oracle(ORACLE),org.apache.commons.csv.CSVFormat$Predefined Oracle,public 
org.apache.commons.csv.CSVFormat$Predefined.PostgreSQLCsv,Enum Constant,* The POSTGRESQL_CSV predefined format.\n         *\n         * @see CSVFormat#POSTGRESQL_CSV\n         * @since 1.5,PostgreSQLCsv(POSTGRESQL_CSV),org.apache.commons.csv.CSVFormat$Predefined PostgreSQLCsv,public 
org.apache.commons.csv.CSVFormat$Predefined.PostgreSQLText,Enum Constant,* The POSTGRESQL_TEXT predefined format.\n         *\n         * @see CSVFormat#POSTGRESQL_TEXT,PostgreSQLText(POSTGRESQL_TEXT),org.apache.commons.csv.CSVFormat$Predefined PostgreSQLText,public 
org.apache.commons.csv.CSVFormat$Predefined.RFC4180,Enum Constant,* The RFC4180 predefined format.\n         *\n         * @see CSVFormat#RFC4180,RFC4180(CSVFormat.RFC4180),org.apache.commons.csv.CSVFormat$Predefined RFC4180,public 
org.apache.commons.csv.CSVFormat$Predefined.TDF,Enum Constant,* The TDF predefined format.\n         *\n         * @see CSVFormat#TDF,TDF(CSVFormat.TDF),org.apache.commons.csv.CSVFormat$Predefined TDF,public 
org.apache.commons.csv.QuoteMode.ALL,Enum Constant,* Quotes all fields.,ALL,org.apache.commons.csv.QuoteMode ALL,public 
org.apache.commons.csv.QuoteMode.ALL_NON_NULL,Enum Constant,* Quotes all non-null fields.,ALL_NON_NULL,org.apache.commons.csv.QuoteMode ALL_NON_NULL,public 
org.apache.commons.csv.QuoteMode.MINIMAL,Enum Constant,"* Quotes fields that contain special characters such as a field delimiter, quote character, or any of the\n     * characters in the line separator string.",MINIMAL,org.apache.commons.csv.QuoteMode MINIMAL,public 
org.apache.commons.csv.QuoteMode.NON_NUMERIC,Enum Constant,* Quotes all non-numeric fields.,NON_NUMERIC,org.apache.commons.csv.QuoteMode NON_NUMERIC,public 
org.apache.commons.csv.QuoteMode.NONE,Enum Constant,"* Never quotes fields. When the delimiter occurs in data, the printer prefixes it with the escape character. If the\n     * escape character is not set, format validation throws an exception.",NONE,org.apache.commons.csv.QuoteMode NONE,public 
org.apache.commons.csv.Token$Type.INVALID,Enum Constant,"Token has no valid content, i.e. is in its initialized state.",INVALID,org.apache.commons.csv.Token$Type INVALID,default
org.apache.commons.csv.Token$Type.TOKEN,Enum Constant,"Token with content, at the beginning or in the middle of a line.",TOKEN,org.apache.commons.csv.Token$Type TOKEN,default
org.apache.commons.csv.Token$Type.EOF,Enum Constant,Token (which can have content) when the end of file is reached.,EOF,org.apache.commons.csv.Token$Type EOF,default
org.apache.commons.csv.Token$Type.EORECORD,Enum Constant,Token with content when the end of a line is reached.,EORECORD,org.apache.commons.csv.Token$Type EORECORD,default
org.apache.commons.csv.Token$Type.COMMENT,Enum Constant,Token is a comment line.,COMMENT,org.apache.commons.csv.Token$Type COMMENT,default
org.apache.commons.csv.DuplicateHeaderMode.ALLOW_ALL,Enum Constant,* Allows all duplicate headers.,ALLOW_ALL,org.apache.commons.csv.DuplicateHeaderMode ALLOW_ALL,public 
org.apache.commons.csv.DuplicateHeaderMode.ALLOW_EMPTY,Enum Constant,"* Allows duplicate headers only if they're empty, blank, or null strings.",ALLOW_EMPTY,org.apache.commons.csv.DuplicateHeaderMode ALLOW_EMPTY,public 
org.apache.commons.csv.DuplicateHeaderMode.DISALLOW,Enum Constant,* Disallows duplicate headers entirely.,DISALLOW,org.apache.commons.csv.DuplicateHeaderMode DISALLOW,public 
