FEN:ID,:LABEL,Comment,Source Code,Signature,CFG,Modifiers
org.apache.commons.csv.CSVParser.builder(),Method,* Creates a new builder.\n     *\n     * @return a new builder.\n     * @since 1.13.0,public static Builder builder() {\n    return new Builder();\n},org.apache.commons.csv.CSVParser$Builder builder(),"digraph cfg_builder {\n	""1"" [label=""$stack0 = new org.apache.commons.csv.CSVParser$Builder""];\n	""2"" [label=""return $stack0""];\n	""3"" [label=""specialinvoke $stack0.<org.apache.commons.csv.CSVParser$Builder: void <init>()>()""];\n	""1"" -> ""3""[label=""cfg_next""];\n	""3"" -> ""2""[label=""cfg_next""];\n}\n","public , static "
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat)",Method,* Creates a parser for the given {@link File}.\n     *\n     * @param file\n     *            a CSV file. Must not be null.\n     * @param charset\n     *            The Charset to decode the given file.\n     * @param format\n     *            the CSVFormat used for CSV parsing. Must not be null.\n     * @return a new parser\n     * @throws IllegalArgumentException\n     *             If the parameters of the format are inconsistent or if either file or format are null.\n     * @throws IOException\n     *             If an I/O error occurs\n     * @throws CSVException Thrown on invalid input.,"public static CSVParser parse(final File file, final Charset charset, final CSVFormat format) throws IOException {\n    Objects.requireNonNull(file, ""file"");\n    return parse(file.toPath(), charset, format);\n}","org.apache.commons.csv.CSVParser parse(java.io.File,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)","digraph cfg_parse {\n	""1"" [label=""$stack3 = virtualinvoke file.<java.io.File: java.nio.file.Path toPath()>()""];\n	""2"" [label=""$stack4 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.nio.file.Path,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)>($stack3, charset, format)""];\n	""3"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n	""4"" [label=""file := @parameter0: java.io.File""];\n	""5"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n	""6"" [label=""return $stack4""];\n	""7"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(file, \""file\"")""];\n	""1"" -> ""2""[label=""cfg_next""];\n	""2"" -> ""6""[label=""cfg_next""];\n	""3"" -> ""5""[label=""cfg_next""];\n	""4"" -> ""3""[label=""cfg_next""];\n	""5"" -> ""7""[label=""cfg_next""];\n	""7"" -> ""1""[label=""cfg_next""];\n}\n","public , static "
"org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat)",Method,"* Creates a CSV parser using the given {@link CSVFormat}.\n     *\n     * <p>\n     * If you do not read all records from the given {@code reader}, you should call {@link #close()} on the parser,\n     * unless you close the {@code reader}.\n     * </p>\n     *\n     * @param inputStream\n     *            an InputStream containing CSV-formatted input. Must not be null.\n     * @param charset\n     *            The Charset to decode the given file.\n     * @param format\n     *            the CSVFormat used for CSV parsing. Must not be null.\n     * @return a new CSVParser configured with the given reader and format.\n     * @throws IllegalArgumentException\n     *             If the parameters of the format are inconsistent or if either reader or format are null.\n     * @throws IOException\n     *             If there is a problem reading the header or skipping the first record\n     * @throws CSVException Thrown on invalid input.\n     * @since 1.5","@SuppressWarnings(""resource"")\npublic static CSVParser parse(final InputStream inputStream, final Charset charset, final CSVFormat format) throws IOException {\n    Objects.requireNonNull(inputStream, ""inputStream"");\n    Objects.requireNonNull(format, ""format"");\n    return parse(new InputStreamReader(inputStream, charset), format);\n}","org.apache.commons.csv.CSVParser parse(java.io.InputStream,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)","digraph cfg_parse {\n	""1"" [label=""$stack3 = new java.io.InputStreamReader""];\n	""2"" [label=""$stack4 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.Reader,org.apache.commons.csv.CSVFormat)>($stack3, format)""];\n	""3"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n	""4"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n	""5"" [label=""inputStream := @parameter0: java.io.InputStream""];\n	""6"" [label=""return $stack4""];\n	""7"" [label=""specialinvoke $stack3.<java.io.InputStreamReader: void <init>(java.io.InputStream,java.nio.charset.Charset)>(inputStream, charset)""];\n	""8"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(format, \""format\"")""];\n	""9"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(inputStream, \""inputStream\"")""];\n	""1"" -> ""7""[label=""cfg_next""];\n	""2"" -> ""6""[label=""cfg_next""];\n	""3"" -> ""4""[label=""cfg_next""];\n	""4"" -> ""9""[label=""cfg_next""];\n	""5"" -> ""3""[label=""cfg_next""];\n	""7"" -> ""2""[label=""cfg_next""];\n	""8"" -> ""1""[label=""cfg_next""];\n	""9"" -> ""8""[label=""cfg_next""];\n}\n","public , static "
"org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat)",Method,"* Creates and returns a parser for the given {@link Path}, which the caller MUST close.\n     *\n     * @param path\n     *            a CSV file. Must not be null.\n     * @param charset\n     *            The Charset to decode the given file.\n     * @param format\n     *            the CSVFormat used for CSV parsing. Must not be null.\n     * @return a new parser\n     * @throws IllegalArgumentException\n     *             If the parameters of the format are inconsistent or if either file or format are null.\n     * @throws IOException\n     *             If an I/O error occurs\n     * @throws CSVException Thrown on invalid input.\n     * @since 1.5","@SuppressWarnings(""resource"")\npublic static CSVParser parse(final Path path, final Charset charset, final CSVFormat format) throws IOException {\n    Objects.requireNonNull(path, ""path"");\n    Objects.requireNonNull(format, ""format"");\n    return parse(Files.newInputStream(path), charset, format);\n}","org.apache.commons.csv.CSVParser parse(java.nio.file.Path,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)","digraph cfg_parse {\n	""1"" [label=""$stack3 = newarray (java.nio.file.OpenOption)[0]""];\n	""2"" [label=""$stack4 = staticinvoke <java.nio.file.Files: java.io.InputStream newInputStream(java.nio.file.Path,java.nio.file.OpenOption[])>(path, $stack3)""];\n	""3"" [label=""$stack5 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.InputStream,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)>($stack4, charset, format)""];\n	""4"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n	""5"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n	""6"" [label=""path := @parameter0: java.nio.file.Path""];\n	""7"" [label=""return $stack5""];\n	""8"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(format, \""format\"")""];\n	""9"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(path, \""path\"")""];\n	""1"" -> ""2""[label=""cfg_next""];\n	""2"" -> ""3""[label=""cfg_next""];\n	""3"" -> ""7""[label=""cfg_next""];\n	""4"" -> ""5""[label=""cfg_next""];\n	""5"" -> ""9""[label=""cfg_next""];\n	""6"" -> ""4""[label=""cfg_next""];\n	""8"" -> ""1""[label=""cfg_next""];\n	""9"" -> ""8""[label=""cfg_next""];\n}\n","public , static "
"org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat)",Method,"* Creates a CSV parser using the given {@link CSVFormat}\n     *\n     * <p>\n     * If you do not read all records from the given {@code reader}, you should call {@link #close()} on the parser,\n     * unless you close the {@code reader}.\n     * </p>\n     *\n     * @param reader\n     *            a Reader containing CSV-formatted input. Must not be null.\n     * @param format\n     *            the CSVFormat used for CSV parsing. Must not be null.\n     * @return a new CSVParser configured with the given reader and format.\n     * @throws IllegalArgumentException\n     *             If the parameters of the format are inconsistent or if either reader or format are null.\n     * @throws IOException\n     *             If there is a problem reading the header or skipping the first record\n     * @throws CSVException Thrown on invalid input.\n     * @since 1.5","public static CSVParser parse(final Reader reader, final CSVFormat format) throws IOException {\n    return builder().setReader(reader).setFormat(format).get();\n}","org.apache.commons.csv.CSVParser parse(java.io.Reader,org.apache.commons.csv.CSVFormat)","digraph cfg_parse {\n	""1"" [label=""$stack2 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser$Builder builder()>()""];\n	""2"" [label=""$stack3 = virtualinvoke $stack2.<org.apache.commons.csv.CSVParser$Builder: org.apache.commons.io.build.AbstractOriginSupplier setReader(java.io.Reader)>(reader)""];\n	""3"" [label=""$stack4 = (org.apache.commons.csv.CSVParser$Builder) $stack3""];\n	""4"" [label=""$stack5 = virtualinvoke $stack4.<org.apache.commons.csv.CSVParser$Builder: org.apache.commons.csv.CSVParser$Builder setFormat(org.apache.commons.csv.CSVFormat)>(format)""];\n	""5"" [label=""$stack6 = virtualinvoke $stack5.<org.apache.commons.csv.CSVParser$Builder: org.apache.commons.csv.CSVParser get()>()""];\n	""6"" [label=""format := @parameter1: org.apache.commons.csv.CSVFormat""];\n	""7"" [label=""reader := @parameter0: java.io.Reader""];\n	""8"" [label=""return $stack6""];\n	""1"" -> ""2""[label=""cfg_next""];\n	""2"" -> ""3""[label=""cfg_next""];\n	""3"" -> ""4""[label=""cfg_next""];\n	""4"" -> ""5""[label=""cfg_next""];\n	""5"" -> ""8""[label=""cfg_next""];\n	""6"" -> ""1""[label=""cfg_next""];\n	""7"" -> ""6""[label=""cfg_next""];\n}\n","public , static "
"org.apache.commons.csv.CSVParser.parse(String,CSVFormat)",Method,* Creates a parser for the given {@link String}.\n     *\n     * @param string\n     *            a CSV string. Must not be null.\n     * @param format\n     *            the CSVFormat used for CSV parsing. Must not be null.\n     * @return a new parser\n     * @throws IllegalArgumentException\n     *             If the parameters of the format are inconsistent or if either string or format are null.\n     * @throws IOException\n     *             If an I/O error occurs\n     * @throws CSVException Thrown on invalid input.,"public static CSVParser parse(final String string, final CSVFormat format) throws IOException {\n    Objects.requireNonNull(string, ""string"");\n    Objects.requireNonNull(format, ""format"");\n    return parse(new StringReader(string), format);\n}","org.apache.commons.csv.CSVParser parse(java.lang.String,org.apache.commons.csv.CSVFormat)","digraph cfg_parse {\n	""1"" [label=""$stack2 = new java.io.StringReader""];\n	""2"" [label=""$stack3 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.Reader,org.apache.commons.csv.CSVFormat)>($stack2, format)""];\n	""3"" [label=""format := @parameter1: org.apache.commons.csv.CSVFormat""];\n	""4"" [label=""return $stack3""];\n	""5"" [label=""specialinvoke $stack2.<java.io.StringReader: void <init>(java.lang.String)>(string)""];\n	""6"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(format, \""format\"")""];\n	""7"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(string, \""string\"")""];\n	""8"" [label=""string := @parameter0: java.lang.String""];\n	""1"" -> ""5""[label=""cfg_next""];\n	""2"" -> ""4""[label=""cfg_next""];\n	""3"" -> ""7""[label=""cfg_next""];\n	""5"" -> ""2""[label=""cfg_next""];\n	""6"" -> ""1""[label=""cfg_next""];\n	""7"" -> ""6""[label=""cfg_next""];\n	""8"" -> ""3""[label=""cfg_next""];\n}\n","public , static "
"org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat)",Method,"* Creates and returns a parser for the given URL, which the caller MUST close.\n     *\n     * <p>\n     * If you do not read all records from the given {@code url}, you should call {@link #close()} on the parser, unless\n     * you close the {@code url}.\n     * </p>\n     *\n     * @param url\n     *            a URL. Must not be null.\n     * @param charset\n     *            the charset for the resource. Must not be null.\n     * @param format\n     *            the CSVFormat used for CSV parsing. Must not be null.\n     * @return a new parser\n     * @throws IllegalArgumentException\n     *             If the parameters of the format are inconsistent or if either url, charset or format are null.\n     * @throws IOException\n     *             If an I/O error occurs\n     * @throws CSVException Thrown on invalid input.","@SuppressWarnings(""resource"")\npublic static CSVParser parse(final URL url, final Charset charset, final CSVFormat format) throws IOException {\n    Objects.requireNonNull(url, ""url"");\n    return parse(url.openStream(), charset, format);\n}","org.apache.commons.csv.CSVParser parse(java.net.URL,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)","digraph cfg_parse {\n	""1"" [label=""$stack3 = virtualinvoke url.<java.net.URL: java.io.InputStream openStream()>()""];\n	""2"" [label=""$stack4 = staticinvoke <org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVParser parse(java.io.InputStream,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)>($stack3, charset, format)""];\n	""3"" [label=""charset := @parameter1: java.nio.charset.Charset""];\n	""4"" [label=""format := @parameter2: org.apache.commons.csv.CSVFormat""];\n	""5"" [label=""return $stack4""];\n	""6"" [label=""staticinvoke <java.util.Objects: java.lang.Object requireNonNull(java.lang.Object,java.lang.String)>(url, \""url\"")""];\n	""7"" [label=""url := @parameter0: java.net.URL""];\n	""1"" -> ""2""[label=""cfg_next""];\n	""2"" -> ""5""[label=""cfg_next""];\n	""3"" -> ""4""[label=""cfg_next""];\n	""4"" -> ""6""[label=""cfg_next""];\n	""6"" -> ""1""[label=""cfg_next""];\n	""7"" -> ""3""[label=""cfg_next""];\n}\n","public , static "
org.apache.commons.csv.CSVParser.addRecordValue(boolean),Method,No Comment,private void addRecordValue(final boolean lastRecord) {\n    final String input = format.trim(reusableToken.content.toString());\n    if (lastRecord && input.isEmpty() && format.getTrailingDelimiter()) {\n        return;\n    }\n    recordList.add(handleNull(input));\n},void addRecordValue(boolean),"digraph cfg_addRecordValue {\n	""1"" [label=""$stack10 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n	""2"" [label=""$stack11 = virtualinvoke $stack10.<org.apache.commons.csv.CSVFormat: boolean getTrailingDelimiter()>()""];\n	""3"" [label=""$stack3 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Token reusableToken>""];\n	""4"" [label=""$stack4 = $stack3.<org.apache.commons.csv.Token: java.lang.StringBuilder content>""];\n	""5"" [label=""$stack5 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n	""6"" [label=""$stack6 = virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.String toString()>()""];\n	""7"" [label=""$stack7 = this.<org.apache.commons.csv.CSVParser: java.util.List recordList>""];\n	""8"" [label=""$stack8 = specialinvoke this.<org.apache.commons.csv.CSVParser: java.lang.String handleNull(java.lang.String)>(input)""];\n	""9"" [label=""$stack9 = virtualinvoke input.<java.lang.String: boolean isEmpty()>()""];\n	""10"" [label=""if $stack11 == 0""];\n	""11"" [label=""if $stack9 == 0""];\n	""12"" [label=""if lastRecord == 0""];\n	""13"" [label=""input = virtualinvoke $stack5.<org.apache.commons.csv.CSVFormat: java.lang.String trim(java.lang.String)>($stack6)""];\n	""14"" [label=""interfaceinvoke $stack7.<java.util.List: boolean add(java.lang.Object)>($stack8)""];\n	""15"" [label=""lastRecord := @parameter0: boolean""];\n	""16"" [label=""return""];\n	""17"" [label=""return""];\n	""18"" [label=""this := @this: org.apache.commons.csv.CSVParser""];\n	""1"" -> ""2""[label=""cfg_next""];\n	""10"" -> ""16""[label=""cfg_false""];\n	""10"" -> ""7""[label=""cfg_true""];\n	""11"" -> ""1""[label=""cfg_false""];\n	""11"" -> ""7""[label=""cfg_true""];\n	""12"" -> ""7""[label=""cfg_true""];\n	""12"" -> ""9""[label=""cfg_false""];\n	""13"" -> ""12""[label=""cfg_next""];\n	""14"" -> ""17""[label=""cfg_next""];\n	""15"" -> ""5""[label=""cfg_next""];\n	""18"" -> ""15""[label=""cfg_next""];\n	""2"" -> ""10""[label=""cfg_next""];\n	""3"" -> ""4""[label=""cfg_next""];\n	""4"" -> ""6""[label=""cfg_next""];\n	""5"" -> ""3""[label=""cfg_next""];\n	""6"" -> ""13""[label=""cfg_next""];\n	""7"" -> ""8""[label=""cfg_next""];\n	""8"" -> ""14""[label=""cfg_next""];\n	""9"" -> ""11""[label=""cfg_next""];\n}\n",private 
org.apache.commons.csv.CSVParser.close(),Method,* Closes resources.\n     *\n     * @throws IOException\n     *             If an I/O error occurs,@Override\npublic void close() throws IOException {\n    lexer.close();\n},void close(),"digraph cfg_close {\n	""1"" [label=""$stack1 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.Lexer lexer>""];\n	""2"" [label=""return""];\n	""3"" [label=""this := @this: org.apache.commons.csv.CSVParser""];\n	""4"" [label=""virtualinvoke $stack1.<org.apache.commons.csv.Lexer: void close()>()""];\n	""1"" -> ""4""[label=""cfg_next""];\n	""3"" -> ""1""[label=""cfg_next""];\n	""4"" -> ""2""[label=""cfg_next""];\n}\n",public 
org.apache.commons.csv.CSVParser.createEmptyHeaderMap(),Method,No Comment,"private Map<String, Integer> createEmptyHeaderMap() {\n    return format.getIgnoreHeaderCase() ? new TreeMap<>(String.CASE_INSENSITIVE_ORDER) : new LinkedHashMap<>();\n}",java.util.Map createEmptyHeaderMap(),"digraph cfg_createEmptyHeaderMap {\n	""1"" [label=""$stack1 = this.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVFormat format>""];\n	""2"" [label=""$stack2 = virtualinvoke $stack1.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>()""];\n	""3"" [label=""$stack3 = new java.util.LinkedHashMap""];\n	""4"" [label=""$stack3 = new java.util.TreeMap""];\n	""5"" [label=""$stack4 = <java.lang.String: java.util.Comparator CASE_INSENSITIVE_ORDER>""];\n	""6"" [label=""goto""];\n	""7"" [label=""if $stack2 == 0""];\n	""8"" [label=""return $stack3""];\n	""9"" [label=""specialinvoke $stack3.<java.util.LinkedHashMap: void <init>()>()""];\n	""10"" [label=""specialinvoke $stack3.<java.util.TreeMap: void <init>(java.util.Comparator)>($stack4)""];\n	""11"" [label=""this := @this: org.apache.commons.csv.CSVParser""];\n	""1"" -> ""2""[label=""cfg_next""];\n	""10"" -> ""6""[label=""cfg_next""];\n	""11"" -> ""1""[label=""cfg_next""];\n	""2"" -> ""7""[label=""cfg_next""];\n	""3"" -> ""9""[label=""cfg_next""];\n	""4"" -> ""5""[label=""cfg_next""];\n	""5"" -> ""10""[label=""cfg_next""];\n	""6"" -> ""8""[label=""cfg_goto""];\n	""7"" -> ""3""[label=""cfg_true""];\n	""7"" -> ""4""[label=""cfg_false""];\n	""9"" -> ""8""[label=""cfg_next""];\n}\n",private 
