FEN:ID,:LABEL,Parameter Name,Data Type
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).file",Parameter_1,file,java.io.File
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).charset",Parameter_2,charset,java.nio.charset.Charset
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).format",Parameter_3,format,org.apache.commons.csv.CSVFormat
"org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat).inputStream",Parameter_1,inputStream,java.io.InputStream
"org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat).charset",Parameter_2,charset,java.nio.charset.Charset
"org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat).format",Parameter_3,format,org.apache.commons.csv.CSVFormat
"org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat).path",Parameter_1,path,java.nio.file.Path
"org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat).charset",Parameter_2,charset,java.nio.charset.Charset
"org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat).format",Parameter_3,format,org.apache.commons.csv.CSVFormat
"org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat).reader",Parameter_1,reader,java.io.Reader
"org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat).format",Parameter_2,format,org.apache.commons.csv.CSVFormat
"org.apache.commons.csv.CSVParser.parse(String,CSVFormat).string",Parameter_1,string,java.lang.String
"org.apache.commons.csv.CSVParser.parse(String,CSVFormat).format",Parameter_2,format,org.apache.commons.csv.CSVFormat
"org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat).url",Parameter_1,url,java.net.URL
"org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat).charset",Parameter_2,charset,java.nio.charset.Charset
"org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat).format",Parameter_3,format,org.apache.commons.csv.CSVFormat
org.apache.commons.csv.CSVParser.addRecordValue(boolean).lastRecord,Parameter_1,lastRecord,boolean
org.apache.commons.csv.CSVParser.handleNull(String).input,Parameter_1,input,java.lang.String
"org.apache.commons.csv.CSVParser.<init>(Reader,CSVFormat).reader",Parameter_1,reader,java.io.Reader
"org.apache.commons.csv.CSVParser.<init>(Reader,CSVFormat).format",Parameter_2,format,org.apache.commons.csv.CSVFormat
"org.apache.commons.csv.CSVParser.<init>(Reader,CSVFormat,long,long).reader",Parameter_1,reader,java.io.Reader
