FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.csv.CSVParser.builder(),org.apache.commons.csv.CSVParser.builder().CFG_Path_1,Has_CFG_Path
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat)","org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).CFG_Path_1",Has_CFG_Path
"org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat)","org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat).CFG_Path_1",Has_CFG_Path
"org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat)","org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat).CFG_Path_1",Has_CFG_Path
"org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat)","org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat).CFG_Path_1",Has_CFG_Path
"org.apache.commons.csv.CSVParser.parse(String,CSVFormat)","org.apache.commons.csv.CSVParser.parse(String,CSVFormat).CFG_Path_1",Has_CFG_Path
"org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat)","org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat).CFG_Path_1",Has_CFG_Path
org.apache.commons.csv.CSVParser.addRecordValue(boolean),org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.addRecordValue(boolean),org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_2,Has_CFG_Path
org.apache.commons.csv.CSVParser.addRecordValue(boolean),org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_3,Has_CFG_Path
org.apache.commons.csv.CSVParser.addRecordValue(boolean),org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_4,Has_CFG_Path
org.apache.commons.csv.CSVParser.close(),org.apache.commons.csv.CSVParser.close().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.createEmptyHeaderMap(),org.apache.commons.csv.CSVParser.createEmptyHeaderMap().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.createEmptyHeaderMap(),org.apache.commons.csv.CSVParser.createEmptyHeaderMap().CFG_Path_2,Has_CFG_Path
org.apache.commons.csv.CSVParser.getCurrentLineNumber(),org.apache.commons.csv.CSVParser.getCurrentLineNumber().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getFirstEndOfLine(),org.apache.commons.csv.CSVParser.getFirstEndOfLine().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getHeaderComment(),org.apache.commons.csv.CSVParser.getHeaderComment().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getHeaderMap(),org.apache.commons.csv.CSVParser.getHeaderMap().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getHeaderMap(),org.apache.commons.csv.CSVParser.getHeaderMap().CFG_Path_2,Has_CFG_Path
org.apache.commons.csv.CSVParser.getHeaderMapRaw(),org.apache.commons.csv.CSVParser.getHeaderMapRaw().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getHeaderNames(),org.apache.commons.csv.CSVParser.getHeaderNames().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getRecordNumber(),org.apache.commons.csv.CSVParser.getRecordNumber().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getRecords(),org.apache.commons.csv.CSVParser.getRecords().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.getTrailerComment(),org.apache.commons.csv.CSVParser.getTrailerComment().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_2,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_3,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_4,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_5,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_6,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_7,Has_CFG_Path
org.apache.commons.csv.CSVParser.handleNull(String),org.apache.commons.csv.CSVParser.handleNull(String).CFG_Path_8,Has_CFG_Path
org.apache.commons.csv.CSVParser.hasHeaderComment(),org.apache.commons.csv.CSVParser.hasHeaderComment().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.hasHeaderComment(),org.apache.commons.csv.CSVParser.hasHeaderComment().CFG_Path_2,Has_CFG_Path
org.apache.commons.csv.CSVParser.hasTrailerComment(),org.apache.commons.csv.CSVParser.hasTrailerComment().CFG_Path_1,Has_CFG_Path
org.apache.commons.csv.CSVParser.hasTrailerComment(),org.apache.commons.csv.CSVParser.hasTrailerComment().CFG_Path_2,Has_CFG_Path
