FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.csv.CSVParser.isStrictQuoteMode().CFG_Path_1,org.apache.commons.csv.QuoteMode.ALL_NON_NULL,Uses_Enum_Constant
org.apache.commons.csv.CSVParser.isStrictQuoteMode().CFG_Path_1,org.apache.commons.csv.QuoteMode.NON_NUMERIC,Uses_Enum_Constant
org.apache.commons.csv.CSVParser.isStrictQuoteMode().CFG_Path_2,org.apache.commons.csv.QuoteMode.ALL_NON_NULL,Uses_Enum_Constant
org.apache.commons.csv.CSVParser.isStrictQuoteMode().CFG_Path_2,org.apache.commons.csv.QuoteMode.NON_NUMERIC,Uses_Enum_Constant
org.apache.commons.csv.CSVParser.isStrictQuoteMode().CFG_Path_3,org.apache.commons.csv.QuoteMode.ALL_NON_NULL,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat.getAllowDuplicateHeaderNames().CFG_Path_1,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_ALL,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat.getAllowDuplicateHeaderNames().CFG_Path_2,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_ALL,Uses_Enum_Constant
"org.apache.commons.csv.CSVFormat.print(Object,Appendable,boolean).CFG_Path_1",org.apache.commons.csv.QuoteMode.ALL,Uses_Enum_Constant
"org.apache.commons.csv.CSVFormat.print(Object,Appendable,boolean).CFG_Path_2",org.apache.commons.csv.QuoteMode.ALL,Uses_Enum_Constant
"org.apache.commons.csv.CSVFormat.print(Object,Appendable,boolean).CFG_Path_3",org.apache.commons.csv.QuoteMode.ALL,Uses_Enum_Constant
"org.apache.commons.csv.CSVFormat.print(Object,Appendable,boolean).CFG_Path_4",org.apache.commons.csv.QuoteMode.ALL,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat.withAllowDuplicateHeaderNames().CFG_Path_1,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_ALL,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat.withAllowDuplicateHeaderNames(boolean).CFG_Path_1,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_ALL,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat.withAllowDuplicateHeaderNames(boolean).CFG_Path_2,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_EMPTY,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat$Builder.create().CFG_Path_1,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_ALL,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat$Builder.setAllowDuplicateHeaderNames(boolean).CFG_Path_1,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_ALL,Uses_Enum_Constant
org.apache.commons.csv.CSVFormat$Builder.setAllowDuplicateHeaderNames(boolean).CFG_Path_2,org.apache.commons.csv.DuplicateHeaderMode.ALLOW_EMPTY,Uses_Enum_Constant
