FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.csv.CSVParser.builder().CFG_Path_1,org.apache.commons.csv.CSVParser$Builder.<init>(),Uses_Method
"org.apache.commons.csv.CSVParser.parse(File,Charset,CSVFormat).CFG_Path_1","org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat)",Uses_Method
"org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat).CFG_Path_1","org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat)",Uses_Method
"org.apache.commons.csv.CSVParser.parse(Path,Charset,CSVFormat).CFG_Path_1","org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat)",Uses_Method
"org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat).CFG_Path_1",org.apache.commons.csv.CSVParser$Builder.get(),Uses_Method
"org.apache.commons.csv.CSVParser.parse(String,CSVFormat).CFG_Path_1","org.apache.commons.csv.CSVParser.parse(Reader,CSVFormat)",Uses_Method
"org.apache.commons.csv.CSVParser.parse(URL,Charset,CSVFormat).CFG_Path_1","org.apache.commons.csv.CSVParser.parse(InputStream,Charset,CSVFormat)",Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_1,org.apache.commons.csv.CSVParser.handleNull(String),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_1,org.apache.commons.csv.CSVFormat.trim(String),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_2,org.apache.commons.csv.CSVParser.handleNull(String),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_2,org.apache.commons.csv.CSVFormat.getTrailingDelimiter(),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_2,org.apache.commons.csv.CSVFormat.trim(String),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_3,org.apache.commons.csv.CSVFormat.getTrailingDelimiter(),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_3,org.apache.commons.csv.CSVFormat.trim(String),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_4,org.apache.commons.csv.CSVParser.handleNull(String),Uses_Method
org.apache.commons.csv.CSVParser.addRecordValue(boolean).CFG_Path_4,org.apache.commons.csv.CSVFormat.trim(String),Uses_Method
org.apache.commons.csv.CSVParser.close().CFG_Path_1,org.apache.commons.csv.Lexer.close(),Uses_Method
org.apache.commons.csv.CSVParser.createEmptyHeaderMap().CFG_Path_1,org.apache.commons.csv.CSVFormat.getIgnoreHeaderCase(),Uses_Method
org.apache.commons.csv.CSVParser.createEmptyHeaderMap().CFG_Path_2,org.apache.commons.csv.CSVFormat.getIgnoreHeaderCase(),Uses_Method
