FEN,Type,class,sub_signature,cfg_dot
"org.apache.commons.jxpath.JXPathContext.vars","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.Variables vars","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.contextFactory","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.JXPathContextFactory contextFactory","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.parentContext","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.JXPathContext parentContext","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.keyManager","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.KeyManager keyManager","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.contextBean","field","org.apache.commons.jxpath.JXPathContext","java.lang.Object contextBean","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.lenient","field","org.apache.commons.jxpath.JXPathContext","boolean lenient","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.factory","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.AbstractFactory factory","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.locale","field","org.apache.commons.jxpath.JXPathContext","java.util.Locale locale","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.lenientSet","field","org.apache.commons.jxpath.JXPathContext","boolean lenientSet","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.compilationContext","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.JXPathContext compilationContext","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.functions","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.Functions functions","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.idManager","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.IdentityManager idManager","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.GENERIC_FUNCTIONS","field","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.PackageFunctions GENERIC_FUNCTIONS","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.decimalFormats","field","org.apache.commons.jxpath.JXPathContext","java.util.HashMap decimalFormats","field with no cfg"
"org.apache.commons.jxpath.JXPathContext.iterate(String)","Method","org.apache.commons.jxpath.JXPathContext","java.util.Iterator iterate(java.lang.String)","digraph cfg_iterate {
}
"
"Belong to org.apache.commons.jxpath.JXPathContext.iterate(String)","Parameter_1","org.apache.commons.jxpath.JXPathContext","java.lang.String","Parameter does not obtain cfg"
"org.apache.commons.jxpath.JXPathContext.registerNamespace(String,String)","Method","org.apache.commons.jxpath.JXPathContext","void registerNamespace(java.lang.String,java.lang.String)","digraph cfg_registerNamespace {
	""1"" [label=""$stack3 = new java.lang.StringBuilder""];
	""2"" [label=""$stack4 = virtualinvoke this.<java.lang.Object: java.lang.Class getClass()>()""];
	""3"" [label=""$stack5 = virtualinvoke $stack3.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(\""Namespace registration is not implemented by \"")""];
	""4"" [label=""$stack6 = virtualinvoke $stack5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($stack4)""];
	""5"" [label=""$stack7 = virtualinvoke $stack6.<java.lang.StringBuilder: java.lang.String toString()>()""];
	""6"" [label=""$stack8 = new java.lang.UnsupportedOperationException""];
	""7"" [label=""namespaceURI := @parameter1: java.lang.String""];
	""8"" [label=""prefix := @parameter0: java.lang.String""];
	""9"" [label=""specialinvoke $stack3.<java.lang.StringBuilder: void <init>()>()""];
	""10"" [label=""specialinvoke $stack8.<java.lang.UnsupportedOperationException: void <init>(java.lang.String)>($stack7)""];
	""11"" [label=""this := @this: org.apache.commons.jxpath.JXPathContext""];
	""12"" [label=""throw $stack8""];
	""1"" -> ""9""[label=""cfg_next""];
	""10"" -> ""12""[label=""cfg_next""];
	""11"" -> ""8""[label=""cfg_next""];
	""2"" -> ""4""[label=""cfg_next""];
	""3"" -> ""2""[label=""cfg_next""];
	""4"" -> ""5""[label=""cfg_next""];
	""5"" -> ""10""[label=""cfg_next""];
	""6"" -> ""1""[label=""cfg_next""];
	""7"" -> ""6""[label=""cfg_next""];
	""8"" -> ""7""[label=""cfg_next""];
	""9"" -> ""3""[label=""cfg_next""];
}
"
"Belong to org.apache.commons.jxpath.JXPathContext.registerNamespace(String,String)","Parameter_1","org.apache.commons.jxpath.JXPathContext","java.lang.String","Parameter does not obtain cfg"
"Belong to org.apache.commons.jxpath.JXPathContext.registerNamespace(String,String)","Parameter_2","org.apache.commons.jxpath.JXPathContext","java.lang.String","Parameter does not obtain cfg"
"org.apache.commons.jxpath.JXPathContext.getParentContext()","Method","org.apache.commons.jxpath.JXPathContext","org.apache.commons.jxpath.JXPathContext getParentContext()","digraph cfg_getParentContext {
	""1"" [label=""$stack1 = this.<org.apache.commons.jxpath.JXPathContext: org.apache.commons.jxpath.JXPathContext parentContext>""];
	""2"" [label=""return $stack1""];
	""3"" [label=""this := @this: org.apache.commons.jxpath.JXPathContext""];
	""1"" -> ""2""[label=""cfg_next""];
	""3"" -> ""1""[label=""cfg_next""];
}
"
"org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols)","Method","org.apache.commons.jxpath.JXPathContext","void setDecimalFormatSymbols(java.lang.String,java.text.DecimalFormatSymbols)","digraph cfg_setDecimalFormatSymbols {
	""1"" [label=""$stack3 = this.<org.apache.commons.jxpath.JXPathContext: java.util.HashMap decimalFormats>""];
	""2"" [label=""$stack4 = this.<org.apache.commons.jxpath.JXPathContext: java.util.HashMap decimalFormats>""];
	""3"" [label=""$stack5 = new java.util.HashMap""];
	""4"" [label=""if $stack3 != null""];
	""5"" [label=""name := @parameter0: java.lang.String""];
	""6"" [label=""return""];
	""7"" [label=""specialinvoke $stack5.<java.util.HashMap: void <init>()>()""];
	""8"" [label=""symbols := @parameter1: java.text.DecimalFormatSymbols""];
	""9"" [label=""this := @this: org.apache.commons.jxpath.JXPathContext""];
	""10"" [label=""this.<org.apache.commons.jxpath.JXPathContext: java.util.HashMap decimalFormats> = $stack5""];
	""11"" [label=""virtualinvoke $stack4.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(name, symbols)""];
	""1"" -> ""4""[label=""cfg_next""];
	""10"" -> ""2""[label=""cfg_next""];
	""11"" -> ""6""[label=""cfg_next""];
	""2"" -> ""11""[label=""cfg_next""];
	""3"" -> ""7""[label=""cfg_next""];
	""4"" -> ""2""[label=""cfg_true""];
	""4"" -> ""3""[label=""cfg_false""];
	""5"" -> ""8""[label=""cfg_next""];
	""7"" -> ""10""[label=""cfg_next""];
	""8"" -> ""1""[label=""cfg_next""];
	""9"" -> ""5""[label=""cfg_next""];
}
"
"Belong to org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols)","Parameter_1","org.apache.commons.jxpath.JXPathContext","java.lang.String","Parameter does not obtain cfg"
"Belong to org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols)","Parameter_2","org.apache.commons.jxpath.JXPathContext","java.text.DecimalFormatSymbols","Parameter does not obtain cfg"
