FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
org.apache.commons.jxpath.JXPathContext,Abstract Class,"* JXPathContext  provides APIs for the traversal of graphs of JavaBeans using\n * the XPath syntax. Using JXPathContext, you can read and write properties of\n * JavaBeans, arrays, collections and maps. JXPathContext uses JavaBeans\n * introspection to enumerate and access JavaBeans properties.\n * <p>\n * JXPathContext  allows alternative implementations. This is why instead of\n * allocating JXPathContext directly, you should call a static\n * {@code newContext} method.  This method will utilize the\n * {@link JXPathContextFactory} API to locate a suitable implementation of\n * JXPath. Bundled with JXPath comes a default implementation called Reference\n * Implementation.\n * </p>\n *\n * <h2>JXPath Interprets XPath Syntax on Java Object Graphs</h2>\n *\n * JXPath uses an intuitive interpretation of the xpath syntax in the context\n * of Java object graphs. Here are some examples:\n *\n * <h3>Example 1: JavaBean Property Access</h3>\n *\n * JXPath can be used to access properties of a JavaBean.\n *\n * <pre>\n * public class Employee {\n *    public String getFirstName(){\n *       ...\n *    }\n * }\n *\n * Employee emp = new Employee();\n * ...\n *\n * JXPathContext context = JXPathContext.newContext(emp);\n * String fName = (String)context.getValue(""firstName"");\n * </pre>\n *\n * In  this example, we are using JXPath to access a property of the\n * {@code emp} bean. In this simple case the invocation of JXPath is\n * equivalent to invocation of getFirstName() on the bean.\n *\n * <h3>Example 2: Nested Bean Property Access</h3>\n * JXPath can traverse object graphs:\n *\n * <pre>\n * public class Employee {\n *    public Address getHomeAddress(){\n *       ...\n *    }\n * }\n * public class Address {\n *    public String getStreetNumber(){\n *       ...\n *    }\n * }\n *\n * Employee emp = new Employee();\n * ...\n *\n * JXPathContext context = JXPathContext.newContext(emp);\n * String sNumber = (String)context.getValue(""homeAddress/streetNumber"");\n * </pre>\n *\n * In this case XPath is used to access a property of a nested bean.\n * <p>\n * A property identified by the xpath does not have to be a ""leaf"" property.\n * For instance, we can extract the whole Address object in above example:\n * </p>\n * <pre>\n *    Address addr = (Address)context.getValue(""homeAddress"");\n * </pre>\n *\n * <h3>Example 3: Collection Subscripts</h3>\n * JXPath can extract elements from arrays and collections.\n *\n * <pre>\n * public class Integers {\n *    public int[] getNumbers(){\n *       ...\n *    }\n * }\n *\n * Integers ints = new Integers();\n * ...\n *\n * JXPathContext context = JXPathContext.newContext(ints);\n * Integer thirdInt = (Integer)context.getValue(""numbers[3]"");\n * </pre>\n * A  collection can be an arbitrary array or an instance of java.util.\n * Collection.\n * <p>\n * Note: in XPath the first element of a collection has index 1, not 0.<br>\n *\n * <h3>Example 4: Map Element Access</h3>\n *\n * JXPath supports maps. To get a value use its key.\n *\n * <pre>\n * public class Employee {\n *    public Map getAddresses(){\n *       return addressMap;\n *    }\n *\n *    public void addAddress(String key, Address address){\n *       addressMap.put(key, address);\n *    }\n *    ...\n * }\n *\n * Employee emp = new Employee();\n * emp.addAddress(""home"", new Address(...));\n * emp.addAddress(""office"", new Address(...));\n * ...\n *\n * JXPathContext context = JXPathContext.newContext(emp);\n * String homeZipCode = (String)context.getValue(""addresses/home/zipCode"");\n * </pre>\n *\n * Often you will need to use the alternative syntax for accessing Map\n * elements:\n *\n * <pre>\n * String homeZipCode =\n *     (String) context.getValue(""addresses[@name='home']/zipCode"");\n * </pre>\n *\n * In this case, the key can be an expression, e.g. a variable.<br>\n *\n * Note: At this point JXPath only supports Maps that use strings for keys.<br>\n * Note: JXPath supports the extended notion of Map: any object with\n *       dynamic properties can be handled by JXPath provided that its\n *       class is registered with the {@link JXPathIntrospector}.\n *\n * <h3>Example 5: Retrieving Multiple Results</h3>\n *\n * JXPath can retrieve multiple objects from a graph. Note that the method\n * called in this case is not {@code getValue}, but {@code iterate}.\n *\n * <pre>{@code\n * public class Author {\n *    public Book[] getBooks(){\n *       ...\n *    }\n * }\n *\n * Author auth = new Author();\n * ...\n *\n * JXPathContext context = JXPathContext.newContext(auth);\n * Iterator threeBooks = context.iterate(""books[position() < 4]"");\n * }</pre>\n *\n * This returns a list of at most three books from the array of all books\n * written by the author.\n *\n * <h3>Example 6: Setting Properties</h3>\n * JXPath can be used to modify property values.\n *\n * <pre>\n * public class Employee {\n *    public Address getAddress() {\n *       ...\n *    }\n *\n *    public void setAddress(Address address) {\n *       ...\n *    }\n * }\n *\n * Employee emp = new Employee();\n * Address addr = new Address();\n * ...\n *\n * JXPathContext context = JXPathContext.newContext(emp);\n * context.setValue(""address"", addr);\n * context.setValue(""address/zipCode"", ""90190"");\n *\n * </pre>\n *\n * <h3>Example 7: Creating objects</h3>\n * JXPath  can be used to create new objects. First, create a subclass of {@link\n * AbstractFactory AbstractFactory} and install it on the JXPathContext. Then\n * call {@link JXPathContext#createPath createPathAndSetValue()} instead of\n * ""setValue"". JXPathContext will invoke your AbstractFactory when it discovers\n * that an intermediate node of the path is <strong>null</strong>.  It will not override\n * existing nodes.\n *\n * <pre>\n * public class AddressFactory extends AbstractFactory {\n *    public boolean createObject(JXPathContext context,\n *               Pointer pointer, Object parent, String name, int index){\n *     if ((parent instanceof Employee) &amp;&amp; name.equals(""address""){\n *       ((Employee)parent).setAddress(new Address());\n *       return true;\n *     }\n *     return false;\n *   }\n * }\n *\n * JXPathContext context = JXPathContext.newContext(emp);\n * context.setFactory(new AddressFactory());\n * context.createPathAndSetValue(""address/zipCode"", ""90190"");\n * </pre>\n *\n * <h3>Example 8: Using Variables</h3>\n * JXPath supports the notion of variables. The XPath syntax for accessing\n * variables is <em>""$varName""</em>.\n *\n * <pre>\n * public class Author {\n *    public Book[] getBooks(){\n *       ...\n *    }\n * }\n *\n * Author auth = new Author();\n * ...\n *\n * JXPathContext context = JXPathContext.newContext(auth);\n * context.getVariables().declareVariable(""index"", Integer.valueOf(2));\n *\n * Book secondBook = (Book)context.getValue(""books[$index]"");\n * </pre>\n *\n * You can also set variables using JXPath:\n *\n * <pre>\n * context.setValue(""$index"", Integer.valueOf(3));\n * </pre>\n *\n * Note: you can only <em>change</em> the value of an existing variable this\n * way, you cannot <em>define</em> a new variable.\n *\n * <p>\n * When a variable contains a JavaBean or a collection, you can\n * traverse the bean or collection as well:\n * <pre>\n * ...\n * context.getVariables().declareVariable(""book"", myBook);\n * String title = (String)context.getValue(""$book/title);\n *\n * Book array[] = new Book[]{...};\n *\n * context.getVariables().declareVariable(""books"", array);\n *\n * String title = (String)context.getValue(""$books[2]/title);\n * </pre>\n *\n * <h3>Example 9: Using Nested Contexts</h3>\n * If  you need to use the same set of variable while interpreting XPaths with\n * different beans, it makes sense to put the variables in a separate context\n * and specify that context as a parent context every time you allocate a new\n * JXPathContext for a JavaBean.\n *\n * <pre>\n * JXPathContext varContext = JXPathContext.newContext(null);\n * varContext.getVariables().declareVariable(""title"", ""Java"");\n *\n * JXPathContext context = JXPathContext.newContext(varContext, auth);\n *\n * Iterator javaBooks = context.iterate(""books[title = $title]"");\n * </pre>\n *\n * <h3>Using Custom Variable Pools</h3>\n * By default, JXPathContext creates a HashMap of variables. However,\n * you can substitute a custom implementation of the Variables\n * interface to make JXPath work with an alternative source of variables.\n * For example, you can define implementations of Variables that\n * cover a servlet context, HTTP request or any similar structure.\n *\n * <h3>Example 10: Using Standard Extension Functions</h3>\n * Using the standard extension functions, you can call methods on objects,\n * static methods on classes and create objects using any constructor.\n * The class names should be fully qualified.\n * <p>\n * Here's how you can create new objects:\n * <pre>\n * Book book =\n *    (Book) context.getValue(\n *         ""org.apache.commons.jxpath.example.Book.new ('John Updike')"");\n * </pre>\n *\n * Here's how you can call static methods:\n * <pre>\n *   Book book =\n *    (Book) context.getValue(\n *       ""org. apache.commons.jxpath.example.Book.getBestBook('John Updike')"");\n * </pre>\n *\n * Here's how you can call regular methods:\n * <pre>\n * String firstName = (String)context.getValue(""getAuthorsFirstName($book)"");\n * </pre>\n * As you can see, the target of the method is specified as the first parameter\n * of the function.\n *\n * <h3>Example 11: Using Custom Extension Functions</h3>\n * Collections of custom extension functions can be implemented\n * as {@link Functions Functions} objects or as Java classes, whose methods\n * become extenstion functions.\n * <p>\n * Let's say the following class implements various formatting operations:\n * <pre>\n * public class Formats {\n *    public static String date(Date d, String pattern){\n *        return new SimpleDateFormat(pattern).format(d);\n *    }\n *    ...\n * }\n * </pre>\n *\n * We can register this class with a JXPathContext:\n *\n * <pre>\n * context.setFunctions(new ClassFunctions(Formats.class, ""format""));\n * ...\n *\n * context.getVariables().declareVariable(""today"", new Date());\n * String today = (String)context.getValue(""format:date($today, 'MM/dd/yyyy')"");\n *\n * </pre>\n * You can also register whole packages of Java classes using PackageFunctions.\n * <p>\n * Also, see {@link FunctionLibrary FunctionLibrary}, which is a class\n * that allows you to register multiple sets of extension functions with\n * the same JXPathContext.\n *\n * <h2>Configuring JXPath</h2>\n *\n * JXPath uses JavaBeans introspection to discover properties of JavaBeans.\n * You can provide alternative property lists by supplying\n * custom JXPathBeanInfo classes (see {@link JXPathBeanInfo JXPathBeanInfo}).\n *\n * <h2>Notes</h2>\n * <ul>\n * <li> JXPath does not support DOM attributes for non-DOM objects. Even though\n * XPaths like ""para[@type='warning']"" are legitimate, they will always produce\n * empty results. The only attribute supported for JavaBeans is ""name"".  The\n * XPath ""foo/bar"" is equivalent to ""foo[@name='bar']"".\n *\n * <li id='matches_no_property_in_the_graph'>The term <b>matches no property in\n * the graph</b> is used throughout the documentation. It describes a property or\n * path that can be determined as not belonging to the graph. Determining\n * whether a property or path belongs to the graph depends on the type of object\n * being used as {@code cotextBean} (see {@link #newContext(Object)}).\n * It is only possible strongly typed models where a specific Java model is used\n * as context. It is not possible with dynamic models such Maps or DOM\n * implementations.\n * <p>When a XPath does not match a property in the graph, the methods of this\n * class that retrieve a pointer will generally behave in the following way,\n * depending on the last value configured with {@link #setLenient(boolean)}:</p>\n *\n *  <ol style='list-style:upper-alpha'>\n *      <li>If {@code lenient} is {@code false} (default) - methods\n *          will throw {@link JXPathNotFoundException}.\n *      <li>If {@code lenient} is {@code true} - methods will throw\n *          no exception and return a value appropriate for that method to\n *          express the absence: might be a Java {@code null} or a\n *          {@link Pointer} whose {@link Pointer#getValue()} returns\n *          {@code null}, depends on the method.\n *  </ol>\n * </li>\n * </ul>\n *\n * See  <a href=""http://www.w3schools.com/xpath"">XPath Tutorial by\n * W3Schools</a><br>. Also see <a href=""http://www.w3.org/TR/xpath"">XML Path\n * Language (XPath) Version 1.0</a><br><br>\n *\n * You will also find more information and examples in\n * <a href=""https://commons.apache.org/jxpath/users-guide.html"">\n * JXPath User's Guide</a>","public , abstract ",,
org.apache.commons.jxpath.JXPathTypeConversionException,Class,No Comment,public ,org.apache.commons.jxpath.JXPathException,
org.apache.commons.jxpath.servlet.ServletRequestHandler,Class,* Implementation of the {@link org.apache.commons.jxpath.DynamicPropertyHandler}\n * interface that provides access to attributes and parameters\n * of a {@link ServletRequest}.,public ,org.apache.commons.jxpath.servlet.HttpSessionHandler,
org.apache.commons.jxpath.servlet.PageScopeContextHandler,Class,* Implementation of the {@link DynamicPropertyHandler} interface that provides\n * access to attributes of a {@link PageScopeContext}.,public ,,org.apache.commons.jxpath.DynamicPropertyHandler
org.apache.commons.jxpath.servlet.ServletContextHandler,Class,* Implementation of the {@link DynamicPropertyHandler} interface that provides\n * access to attributes of a {@link ServletContext}.,public ,,org.apache.commons.jxpath.DynamicPropertyHandler
org.apache.commons.jxpath.servlet.PageScopeContext,Class,"* A lightweight wrapper for {@link PageContext} that restricts access\n * to attributes of the ""page"" scope.  This object is needed so that\n * XPath ""foo"" would lookup the attribute ""foo"" in all scopes, while\n * ""$page/foo"" would only look in the ""page"" scope.",public ,,
org.apache.commons.jxpath.servlet.HttpSessionHandler,Class,* Implementation of the {@link org.apache.commons.jxpath.DynamicPropertyHandler}\n * interface that provides access to attributes of a @{link HttpSession}.,public ,org.apache.commons.jxpath.servlet.ServletContextHandler,
org.apache.commons.jxpath.servlet.KeywordVariables,Class,* Implementation of the Variables interface that provides access\n * to a single object using a reserved name (keyword).,public ,,org.apache.commons.jxpath.Variables
org.apache.commons.jxpath.servlet.PageContextHandler,Class,* Implementation of the {@link DynamicPropertyHandler} interface that provides\n * access to attributes of a {@link PageContext} in all scopes.,public ,,org.apache.commons.jxpath.DynamicPropertyHandler
org.apache.commons.jxpath.servlet.HttpSessionAndServletContext,Class,* Just a structure to hold a ServletRequest and ServletContext together.,public ,,
