FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.jxpath.JXPathContext.contextFactory,Field,No Comment,private static volatile JXPathContextFactory contextFactory;,org.apache.commons.jxpath.JXPathContextFactory contextFactory,"private , static , volatile "
org.apache.commons.jxpath.JXPathContext.compilationContext,Field,No Comment,private static volatile JXPathContext compilationContext;,org.apache.commons.jxpath.JXPathContext compilationContext,"private , static , volatile "
org.apache.commons.jxpath.JXPathContext.GENERIC_FUNCTIONS,Field,No Comment,"private static final PackageFunctions GENERIC_FUNCTIONS = new PackageFunctions("""", null);",org.apache.commons.jxpath.PackageFunctions GENERIC_FUNCTIONS,"private , static , final "
org.apache.commons.jxpath.JXPathContext.parentContext,Field,Parent context,protected JXPathContext parentContext;,org.apache.commons.jxpath.JXPathContext parentContext,protected 
org.apache.commons.jxpath.JXPathContext.contextBean,Field,Context bean,protected Object contextBean;,java.lang.Object contextBean,protected 
org.apache.commons.jxpath.JXPathContext.vars,Field,Variables,protected Variables vars;,org.apache.commons.jxpath.Variables vars,protected 
org.apache.commons.jxpath.JXPathContext.functions,Field,Functions,protected Functions functions;,org.apache.commons.jxpath.Functions functions,protected 
org.apache.commons.jxpath.JXPathContext.factory,Field,AbstractFactory,protected AbstractFactory factory;,org.apache.commons.jxpath.AbstractFactory factory,protected 
org.apache.commons.jxpath.JXPathContext.idManager,Field,IdentityManager,protected IdentityManager idManager;,org.apache.commons.jxpath.IdentityManager idManager,protected 
org.apache.commons.jxpath.JXPathContext.keyManager,Field,KeyManager,protected KeyManager keyManager;,org.apache.commons.jxpath.KeyManager keyManager,protected 
org.apache.commons.jxpath.JXPathContext.decimalFormats,Field,Decimal format map,"protected HashMap<String, DecimalFormatSymbols> decimalFormats;",java.util.HashMap decimalFormats,protected 
org.apache.commons.jxpath.JXPathContext.locale,Field,No Comment,private Locale locale;,java.util.Locale locale,private 
org.apache.commons.jxpath.JXPathContext.lenientSet,Field,No Comment,private boolean lenientSet = false;,boolean lenientSet,private 
org.apache.commons.jxpath.JXPathContext.lenient,Field,No Comment,private boolean lenient = false;,boolean lenient,private 
org.apache.commons.jxpath.JXPathTypeConversionException.serialVersionUID,Field,No Comment,private static final long serialVersionUID = -4403564377958943239L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.servlet.PageScopeContextHandler.DEFAULT_LIST_SIZE,Field,No Comment,private static final int DEFAULT_LIST_SIZE = 16;,int DEFAULT_LIST_SIZE,"private , static , final "
org.apache.commons.jxpath.servlet.ServletContextHandler.DEFAULT_PROPERTY_COUNT,Field,No Comment,private static final int DEFAULT_PROPERTY_COUNT = 16;,int DEFAULT_PROPERTY_COUNT,"private , static , final "
org.apache.commons.jxpath.servlet.PageScopeContext.pageContext,Field,No Comment,private final PageContext pageContext;,javax.servlet.jsp.PageContext pageContext,"private , final "
org.apache.commons.jxpath.servlet.KeywordVariables.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 894145608741325442L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.servlet.KeywordVariables.keyword,Field,No Comment,private final String keyword;,java.lang.String keyword,"private , final "
