FEN:ID,:LABEL,Parameter Name,Data Type
org.apache.commons.jxpath.JXPathContext.newContext(Object).contextBean,Parameter_1,contextBean,java.lang.Object
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object).parentContext",Parameter_1,parentContext,org.apache.commons.jxpath.JXPathContext
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object).contextBean",Parameter_2,contextBean,java.lang.Object
org.apache.commons.jxpath.JXPathContext.getRelativeContext(Pointer).pointer,Parameter_1,pointer,org.apache.commons.jxpath.Pointer
org.apache.commons.jxpath.JXPathContext.setVariables(Variables).vars,Parameter_1,vars,org.apache.commons.jxpath.Variables
org.apache.commons.jxpath.JXPathContext.setFunctions(Functions).functions,Parameter_1,functions,org.apache.commons.jxpath.Functions
org.apache.commons.jxpath.JXPathContext.setFactory(AbstractFactory).factory,Parameter_1,factory,org.apache.commons.jxpath.AbstractFactory
org.apache.commons.jxpath.JXPathContext.setLocale(Locale).locale,Parameter_1,locale,java.util.Locale
"org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols).name",Parameter_1,name,java.lang.String
"org.apache.commons.jxpath.JXPathContext.setDecimalFormatSymbols(String,DecimalFormatSymbols).symbols",Parameter_2,symbols,java.text.DecimalFormatSymbols
org.apache.commons.jxpath.JXPathContext.getDecimalFormatSymbols(String).name,Parameter_1,name,java.lang.String
org.apache.commons.jxpath.JXPathContext.setLenient(boolean).lenient,Parameter_1,lenient,boolean
org.apache.commons.jxpath.JXPathContext.compile(String).xpath,Parameter_1,xpath,java.lang.String
org.apache.commons.jxpath.JXPathContext.compilePath(String).xpath,Parameter_1,xpath,java.lang.String
org.apache.commons.jxpath.JXPathContext.selectSingleNode(String).xpath,Parameter_1,xpath,java.lang.String
org.apache.commons.jxpath.JXPathContext.selectNodes(String).xpath,Parameter_1,xpath,java.lang.String
org.apache.commons.jxpath.JXPathContext.getValue(String).xpath,Parameter_1,xpath,java.lang.String
"org.apache.commons.jxpath.JXPathContext.getValue(String,Class).xpath",Parameter_1,xpath,java.lang.String
"org.apache.commons.jxpath.JXPathContext.getValue(String,Class).requiredType",Parameter_2,requiredType,java.lang.Class
"org.apache.commons.jxpath.JXPathContext.setValue(String,Object).xpath",Parameter_1,xpath,java.lang.String
"org.apache.commons.jxpath.JXPathContext.setValue(String,Object).value",Parameter_2,value,java.lang.Object
org.apache.commons.jxpath.JXPathContext.createPath(String).xpath,Parameter_1,xpath,java.lang.String
"org.apache.commons.jxpath.JXPathContext.createPathAndSetValue(String,Object).xpath",Parameter_1,xpath,java.lang.String
"org.apache.commons.jxpath.JXPathContext.createPathAndSetValue(String,Object).value",Parameter_2,value,java.lang.Object
org.apache.commons.jxpath.JXPathContext.removePath(String).xpath,Parameter_1,xpath,java.lang.String
org.apache.commons.jxpath.JXPathContext.removeAll(String).xpath,Parameter_1,xpath,java.lang.String
