FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.jxpath.JXPathContext.newContext(Object),org.apache.commons.jxpath.JXPathContext.newContext(Object).CFG_Path_1,Has_CFG_Path
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object)","org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object).CFG_Path_1",Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getContextFactory(),org.apache.commons.jxpath.JXPathContext.getContextFactory().CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getContextFactory(),org.apache.commons.jxpath.JXPathContext.getContextFactory().CFG_Path_2,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getParentContext(),org.apache.commons.jxpath.JXPathContext.getParentContext().CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getContextBean(),org.apache.commons.jxpath.JXPathContext.getContextBean().CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.setVariables(Variables),org.apache.commons.jxpath.JXPathContext.setVariables(Variables).CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getVariables(),org.apache.commons.jxpath.JXPathContext.getVariables().CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getVariables(),org.apache.commons.jxpath.JXPathContext.getVariables().CFG_Path_2,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.setFunctions(Functions),org.apache.commons.jxpath.JXPathContext.setFunctions(Functions).CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getFunctions(),org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getFunctions(),org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_2,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getFunctions(),org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_3,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.setFactory(AbstractFactory),org.apache.commons.jxpath.JXPathContext.setFactory(AbstractFactory).CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getFactory(),org.apache.commons.jxpath.JXPathContext.getFactory().CFG_Path_1,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getFactory(),org.apache.commons.jxpath.JXPathContext.getFactory().CFG_Path_2,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.getFactory(),org.apache.commons.jxpath.JXPathContext.getFactory().CFG_Path_3,Has_CFG_Path
org.apache.commons.jxpath.JXPathContext.setLocale(Locale),org.apache.commons.jxpath.JXPathContext.setLocale(Locale).CFG_Path_1,Has_CFG_Path
