FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.jxpath.JXPathContext.getContextFactory().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.contextFactory,Uses_Field
org.apache.commons.jxpath.JXPathContext.getContextFactory().CFG_Path_2,org.apache.commons.jxpath.JXPathContext.contextFactory,Uses_Field
org.apache.commons.jxpath.JXPathContext.getParentContext().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.parentContext,Uses_Field
org.apache.commons.jxpath.JXPathContext.getContextBean().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.contextBean,Uses_Field
org.apache.commons.jxpath.JXPathContext.setVariables(Variables).CFG_Path_1,org.apache.commons.jxpath.JXPathContext.vars,Uses_Field
org.apache.commons.jxpath.JXPathContext.getVariables().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.vars,Uses_Field
org.apache.commons.jxpath.JXPathContext.getVariables().CFG_Path_2,org.apache.commons.jxpath.JXPathContext.vars,Uses_Field
org.apache.commons.jxpath.JXPathContext.setFunctions(Functions).CFG_Path_1,org.apache.commons.jxpath.JXPathContext.functions,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.parentContext,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.functions,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.GENERIC_FUNCTIONS,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_2,org.apache.commons.jxpath.JXPathContext.parentContext,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_2,org.apache.commons.jxpath.JXPathContext.functions,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFunctions().CFG_Path_3,org.apache.commons.jxpath.JXPathContext.functions,Uses_Field
org.apache.commons.jxpath.JXPathContext.setFactory(AbstractFactory).CFG_Path_1,org.apache.commons.jxpath.JXPathContext.factory,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFactory().CFG_Path_1,org.apache.commons.jxpath.JXPathContext.factory,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFactory().CFG_Path_2,org.apache.commons.jxpath.JXPathContext.parentContext,Uses_Field
org.apache.commons.jxpath.JXPathContext.getFactory().CFG_Path_2,org.apache.commons.jxpath.JXPathContext.factory,Uses_Field
