FEN:START_ID,FEN:END_ID,:TYPE
org.apache.commons.jxpath.JXPathContext.newContext(Object).CFG_Path_1,org.apache.commons.jxpath.JXPathContext.getContextFactory(),Uses_Method
org.apache.commons.jxpath.JXPathContext.newContext(Object).CFG_Path_1,"org.apache.commons.jxpath.JXPathContextFactory.newContext(JXPathContext,Object)",Uses_Method
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object).CFG_Path_1",org.apache.commons.jxpath.JXPathContext.getContextFactory(),Uses_Method
"org.apache.commons.jxpath.JXPathContext.newContext(JXPathContext,Object).CFG_Path_1","org.apache.commons.jxpath.JXPathContextFactory.newContext(JXPathContext,Object)",Uses_Method
org.apache.commons.jxpath.JXPathContext.getContextFactory().CFG_Path_2,org.apache.commons.jxpath.JXPathContextFactory.newInstance(),Uses_Method
org.apache.commons.jxpath.JXPathContext.getFactory().CFG_Path_3,org.apache.commons.jxpath.JXPathContext.getFactory(),Uses_Method
org.apache.commons.jxpath.JXPathContext.getLocale().CFG_Path_3,org.apache.commons.jxpath.JXPathContext.getLocale(),Uses_Method
org.apache.commons.jxpath.JXPathContext.getDecimalFormatSymbols(String).CFG_Path_2,org.apache.commons.jxpath.JXPathContext.getDecimalFormatSymbols(String),Uses_Method
org.apache.commons.jxpath.JXPathContext.isLenient().CFG_Path_3,org.apache.commons.jxpath.JXPathContext.isLenient(),Uses_Method
org.apache.commons.jxpath.JXPathContext.compile(String).CFG_Path_1,org.apache.commons.jxpath.JXPathContext.compilePath(String),Uses_Method
org.apache.commons.jxpath.JXPathContext.compile(String).CFG_Path_2,org.apache.commons.jxpath.JXPathContext.newContext(Object),Uses_Method
org.apache.commons.jxpath.JXPathContext.compile(String).CFG_Path_2,org.apache.commons.jxpath.JXPathContext.compilePath(String),Uses_Method
org.apache.commons.jxpath.JXPathContext.selectSingleNode(String).CFG_Path_1,org.apache.commons.jxpath.Pointer.getNode(),Uses_Method
