FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
org.apache.commons.lang3.LocaleUtils,Class,* Operations to assist when working with a {@link Locale}.\n *\n * <p>This class tries to handle {@code null} input gracefully.\n * An exception will not be thrown for a {@code null} input.\n * Each method documents its behavior in more detail.</p>\n *\n * @since 2.2,public ,,
org.apache.commons.lang3.LocaleUtils$SyncAvoid,Class,"* Avoids synchronization, inits on demand.","private , static , final ",,
org.apache.commons.lang3.SerializationUtils,Class,* Assists with the serialization process and performs additional functionality based\n * on serialization.\n *\n * <ul>\n * <li>Deep clone using serialization\n * <li>Serialize managing finally and IOException\n * <li>Deserialize managing finally and IOException\n * </ul>\n *\n * <p>This class throws exceptions for invalid {@code null} inputs.\n * Each method documents its behavior in more detail.</p>\n *\n * <p>#ThreadSafe#</p>\n * @since 1.0,public ,,
org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,Class,"* Custom specialization of the standard JDK {@link ObjectInputStream}\n     * that uses a custom  {@link ClassLoader} to resolve a class.\n     * If the specified {@link ClassLoader} is not able to resolve the class,\n     * the context classloader of the current thread will be used.\n     * This way, the standard deserialization work also in web-application\n     * containers and application servers, no matter in which of the\n     * {@link ClassLoader} the particular class that encapsulates\n     * serialization/deserialization lives.\n     *\n     * <p>For more in-depth information about the problem for which this\n     * class here is a workaround, see the JIRA issue LANG-626.</p>","static , final ",java.io.ObjectInputStream,
org.apache.commons.lang3.DoubleRange,Class,* Specializes {@link NumberRange} for {@link Double}s.\n *\n * <p>\n * This class is not designed to interoperate with other NumberRanges\n * </p>\n *\n * @since 3.13.0,"public , final ",org.apache.commons.lang3.NumberRange,
org.apache.commons.lang3.Conversion,Class,"* Static methods to convert a type into another, with endianness and bit ordering awareness.\n *\n * <p>\n * The methods names follow a naming rule:<br>\n * {@code <source type>[source endianness][source bit ordering]To<destination type>[destination endianness][destination bit ordering]}\n * </p>\n * <p>\n * Source/destination type fields is one of the following:\n * </p>\n * <ul>\n * <li>binary: an array of booleans</li>\n * <li>byte or byteArray</li>\n * <li>int or intArray</li>\n * <li>long or longArray</li>\n * <li>hex: a String containing hexadecimal digits (lowercase in destination)</li>\n * <li>hexDigit: a Char containing a hexadecimal digit (lowercase in destination)</li>\n * <li>uuid</li>\n * </ul>\n * <p>\n * Endianness field: little-endian is the default, in this case the field is absent. In case of\n * big-endian, the field is ""Be"".<br> Bit ordering: Lsb0 is the default, in this case the field\n * is absent. In case of Msb0, the field is ""Msb0"".\n * </p>\n * <p>\n * Example: intBeMsb0ToHex convert an int with big-endian byte order and Msb0 bit order into its\n * hexadecimal string representation\n * </p>\n * <p>\n * Most of the methods provide only default encoding for destination, this limits the number of\n * ways to do one thing. Unless you are dealing with data from/to outside of the JVM platform,\n * you should not need to use ""Be"" and ""Msb0"" methods.\n * </p>\n * <p>\n * Development status: work on going, only a part of the little-endian, Lsb0 methods implemented\n * so far.\n * </p>\n *\n * @since 3.2",public ,,
org.apache.commons.lang3.SystemUtils,Class,"* Helpers for {@link System}.\n *\n * <p>\n * If a system property cannot be read due to security restrictions, the corresponding field in this class will be set to {@code null} and a message will be\n * written to {@code System.err}.\n * </p>\n * <p>\n * #ThreadSafe#\n * </p>\n *\n * @since 1.0\n * @see SystemProperties",public ,,
org.apache.commons.lang3.mutable.MutableByte,Class,"* A mutable {@code byte} wrapper.\n * <p>\n * Note that as MutableByte does not extend Byte, it is not treated by String.format as a Byte parameter.\n * </p>\n *\n * @see Byte\n * @since 2.1",public ,java.lang.Number,java.lang.Comparable;org.apache.commons.lang3.mutable.Mutable
org.apache.commons.lang3.mutable.MutableBoolean,Class,"* A mutable {@code boolean} wrapper.\n * <p>\n * Note that as MutableBoolean does not extend Boolean, it is not treated by String.format as a Boolean parameter.\n * </p>\n *\n * @see Boolean\n * @since 2.2",public ,,org.apache.commons.lang3.mutable.Mutable;java.io.Serializable;java.lang.Comparable
org.apache.commons.lang3.mutable.MutableLong,Class,"* A mutable {@code long} wrapper.\n * <p>\n * Note that as MutableLong does not extend Long, it is not treated by String.format as a Long parameter.\n * </p>\n *\n * @see Long\n * @since 2.1",public ,java.lang.Number,java.lang.Comparable;org.apache.commons.lang3.mutable.Mutable
org.apache.commons.lang3.mutable.Mutable,Interface,* Provides mutable access to a value.\n * <p>\n * {@link Mutable} is used as a generic interface to the implementations in this package.\n * </p>\n * <p>\n * A typical use case would be to enable a primitive or string to be passed to a method and allow that method to\n * effectively change the value of the primitive/string. Another use case is to store a frequently changing primitive in\n * a collection (for example a total in a map) without needing to create new Integer/Long wrapper objects.\n * </p>\n *\n * @param <T> the type to set and get\n * @since 2.1,public ,,
org.apache.commons.lang3.mutable.MutableDouble,Class,"* A mutable {@code double} wrapper.\n * <p>\n * Note that as MutableDouble does not extend Double, it is not treated by String.format as a Double parameter.\n * </p>\n *\n * @see Double\n * @since 2.1",public ,java.lang.Number,java.lang.Comparable;org.apache.commons.lang3.mutable.Mutable
org.apache.commons.lang3.mutable.MutableInt,Class,"* A mutable {@code int} wrapper.\n * <p>\n * Note that as MutableInt does not extend Integer, it is not treated by String.format as an Integer parameter.\n * </p>\n *\n * @see Integer\n * @since 2.1",public ,java.lang.Number,java.lang.Comparable;org.apache.commons.lang3.mutable.Mutable
org.apache.commons.lang3.mutable.MutableObject,Class,* A mutable {@link Object} wrapper.\n *\n * @param <T> the type to set and get\n * @since 2.1,public ,,org.apache.commons.lang3.mutable.Mutable;java.io.Serializable
org.apache.commons.lang3.mutable.MutableFloat,Class,"* A mutable {@code float} wrapper.\n * <p>\n * Note that as MutableFloat does not extend Float, it is not treated by String.format as a Float parameter.\n * </p>\n *\n * @see Float\n * @since 2.1",public ,java.lang.Number,java.lang.Comparable;org.apache.commons.lang3.mutable.Mutable
org.apache.commons.lang3.mutable.MutableShort,Class,"* A mutable {@code short} wrapper.\n * <p>\n * Note that as MutableShort does not extend Short, it is not treated by String.format as a Short parameter.\n * </p>\n *\n * @see Short\n * @since 2.1",public ,java.lang.Number,java.lang.Comparable;org.apache.commons.lang3.mutable.Mutable
org.apache.commons.lang3.StringUtils,Class,@Immutable,public ,,
