FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.lang3.ClassUtils$Interfaces.INCLUDE,Enum Constant,Includes interfaces.,INCLUDE,org.apache.commons.lang3.ClassUtils$Interfaces INCLUDE,public 
org.apache.commons.lang3.ClassUtils$Interfaces.EXCLUDE,Enum Constant,Excludes interfaces.,EXCLUDE,org.apache.commons.lang3.ClassUtils$Interfaces EXCLUDE,public 
org.apache.commons.lang3.time.StopWatch$SplitState.SPLIT,Enum Constant,No Comment,SPLIT,org.apache.commons.lang3.time.StopWatch$SplitState SPLIT,private 
org.apache.commons.lang3.time.StopWatch$SplitState.UNSPLIT,Enum Constant,No Comment,UNSPLIT,org.apache.commons.lang3.time.StopWatch$SplitState UNSPLIT,private 
org.apache.commons.lang3.time.StopWatch$State.RUNNING,Enum Constant,No Comment,RUNNING {\n\n    @Override\n    boolean isStarted() {\n        return true;\n    }\n\n    @Override\n    boolean isStopped() {\n        return false;\n    }\n\n    @Override\n    boolean isSuspended() {\n        return false;\n    }\n},org.apache.commons.lang3.time.StopWatch$State RUNNING,private 
org.apache.commons.lang3.time.StopWatch$State.STOPPED,Enum Constant,No Comment,STOPPED {\n\n    @Override\n    boolean isStarted() {\n        return false;\n    }\n\n    @Override\n    boolean isStopped() {\n        return true;\n    }\n\n    @Override\n    boolean isSuspended() {\n        return false;\n    }\n},org.apache.commons.lang3.time.StopWatch$State STOPPED,private 
org.apache.commons.lang3.time.StopWatch$State.SUSPENDED,Enum Constant,No Comment,SUSPENDED {\n\n    @Override\n    boolean isStarted() {\n        return true;\n    }\n\n    @Override\n    boolean isStopped() {\n        return false;\n    }\n\n    @Override\n    boolean isSuspended() {\n        return true;\n    }\n},org.apache.commons.lang3.time.StopWatch$State SUSPENDED,private 
org.apache.commons.lang3.time.StopWatch$State.UNSTARTED,Enum Constant,No Comment,UNSTARTED {\n\n    @Override\n    boolean isStarted() {\n        return false;\n    }\n\n    @Override\n    boolean isStopped() {\n        return true;\n    }\n\n    @Override\n    boolean isSuspended() {\n        return false;\n    }\n},org.apache.commons.lang3.time.StopWatch$State UNSTARTED,private 
org.apache.commons.lang3.time.DateUtils$ModifyType.TRUNCATE,Enum Constant,* Truncation.,TRUNCATE,org.apache.commons.lang3.time.DateUtils$ModifyType TRUNCATE,private 
org.apache.commons.lang3.time.DateUtils$ModifyType.ROUND,Enum Constant,* Rounding.,ROUND,org.apache.commons.lang3.time.DateUtils$ModifyType ROUND,private 
org.apache.commons.lang3.time.DateUtils$ModifyType.CEILING,Enum Constant,* Ceiling.,CEILING,org.apache.commons.lang3.time.DateUtils$ModifyType CEILING,private 
org.apache.commons.lang3.JavaVersion.JAVA_0_9,Enum Constant,* The Java version reported by Android. This is not an official Java version number.,"JAVA_0_9(1.5f, ""0.9"")",org.apache.commons.lang3.JavaVersion JAVA_0_9,public 
org.apache.commons.lang3.JavaVersion.JAVA_1_1,Enum Constant,* Java 1.1.,"JAVA_1_1(1.1f, ""1.1"")",org.apache.commons.lang3.JavaVersion JAVA_1_1,public 
org.apache.commons.lang3.JavaVersion.JAVA_1_2,Enum Constant,* Java 1.2.,"JAVA_1_2(1.2f, ""1.2"")",org.apache.commons.lang3.JavaVersion JAVA_1_2,public 
org.apache.commons.lang3.JavaVersion.JAVA_1_3,Enum Constant,* Java 1.3.,"JAVA_1_3(1.3f, ""1.3"")",org.apache.commons.lang3.JavaVersion JAVA_1_3,public 
org.apache.commons.lang3.JavaVersion.JAVA_1_4,Enum Constant,* Java 1.4.,"JAVA_1_4(1.4f, ""1.4"")",org.apache.commons.lang3.JavaVersion JAVA_1_4,public 
org.apache.commons.lang3.JavaVersion.JAVA_1_5,Enum Constant,* Java 1.5.,"JAVA_1_5(1.5f, ""1.5"")",org.apache.commons.lang3.JavaVersion JAVA_1_5,public 
