FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.lang3.LocaleUtils.UNDERSCORE,Field,* The underscore character {@code '}{@value}{@code '}.,private static final char UNDERSCORE = '_';,char UNDERSCORE,"private , static , final "
org.apache.commons.lang3.LocaleUtils.UNDETERMINED,Field,"* The undetermined language {@value}.\n     * <p>\n     * If a language is empty, or not <em>well-formed</am> (for example ""a"" or ""e2""), {@link Locale#toLanguageTag()} will return {@code ""und""} (Undetermined).\n     * </p>\n     *\n     * @see Locale#toLanguageTag()","private static final String UNDETERMINED = ""und"";",java.lang.String UNDETERMINED,"private , static , final "
org.apache.commons.lang3.LocaleUtils.DASH,Field,* The dash character {@code '}{@value}{@code '}.,private static final char DASH = '-';,char DASH,"private , static , final "
org.apache.commons.lang3.LocaleUtils.cLanguagesByCountry,Field,* Concurrent map of language locales by country.,"private static final ConcurrentMap<String, List<Locale>> cLanguagesByCountry = new ConcurrentHashMap<>();",java.util.concurrent.ConcurrentMap cLanguagesByCountry,"private , static , final "
org.apache.commons.lang3.LocaleUtils.cCountriesByLanguage,Field,* Concurrent map of country locales by language.,"private static final ConcurrentMap<String, List<Locale>> cCountriesByLanguage = new ConcurrentHashMap<>();",java.util.concurrent.ConcurrentMap cCountriesByLanguage,"private , static , final "
org.apache.commons.lang3.LocaleUtils$SyncAvoid.AVAILABLE_LOCALE_ULIST,Field,Private unmodifiable list of available locales.,private static final List<Locale> AVAILABLE_LOCALE_ULIST;,java.util.List AVAILABLE_LOCALE_ULIST,"private , static , final "
org.apache.commons.lang3.LocaleUtils$SyncAvoid.AVAILABLE_LOCALE_USET,Field,Private unmodifiable set of available locales.,private static final Set<Locale> AVAILABLE_LOCALE_USET;,java.util.Set AVAILABLE_LOCALE_USET,"private , static , final "
org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.classLoader,Field,No Comment,private final ClassLoader classLoader;,java.lang.ClassLoader classLoader,"private , final "
org.apache.commons.lang3.DoubleRange.serialVersionUID,Field,No Comment,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
org.apache.commons.lang3.Conversion.TTTT,Field,No Comment,"private static final boolean[] TTTT = { true, true, true, true };",boolean[] TTTT,"private , static , final "
org.apache.commons.lang3.Conversion.FTTT,Field,No Comment,"private static final boolean[] FTTT = { false, true, true, true };",boolean[] FTTT,"private , static , final "
org.apache.commons.lang3.Conversion.TFTT,Field,No Comment,"private static final boolean[] TFTT = { true, false, true, true };",boolean[] TFTT,"private , static , final "
org.apache.commons.lang3.Conversion.FFTT,Field,No Comment,"private static final boolean[] FFTT = { false, false, true, true };",boolean[] FFTT,"private , static , final "
org.apache.commons.lang3.Conversion.TTFT,Field,No Comment,"private static final boolean[] TTFT = { true, true, false, true };",boolean[] TTFT,"private , static , final "
org.apache.commons.lang3.Conversion.FTFT,Field,No Comment,"private static final boolean[] FTFT = { false, true, false, true };",boolean[] FTFT,"private , static , final "
org.apache.commons.lang3.Conversion.TFFT,Field,No Comment,"private static final boolean[] TFFT = { true, false, false, true };",boolean[] TFFT,"private , static , final "
org.apache.commons.lang3.Conversion.FFFT,Field,No Comment,"private static final boolean[] FFFT = { false, false, false, true };",boolean[] FFFT,"private , static , final "
org.apache.commons.lang3.Conversion.TTTF,Field,No Comment,"private static final boolean[] TTTF = { true, true, true, false };",boolean[] TTTF,"private , static , final "
org.apache.commons.lang3.Conversion.FTTF,Field,No Comment,"private static final boolean[] FTTF = { false, true, true, false };",boolean[] FTTF,"private , static , final "
org.apache.commons.lang3.Conversion.TFTF,Field,No Comment,"private static final boolean[] TFTF = { true, false, true, false };",boolean[] TFTF,"private , static , final "
org.apache.commons.lang3.Conversion.FFTF,Field,No Comment,"private static final boolean[] FFTF = { false, false, true, false };",boolean[] FFTF,"private , static , final "
org.apache.commons.lang3.Conversion.TTFF,Field,No Comment,"private static final boolean[] TTFF = { true, true, false, false };",boolean[] TTFF,"private , static , final "
org.apache.commons.lang3.Conversion.FTFF,Field,No Comment,"private static final boolean[] FTFF = { false, true, false, false };",boolean[] FTFF,"private , static , final "
