FEN:ID,:LABEL,Parameter Name,Data Type
org.apache.commons.lang3.LocaleUtils.availableLocaleList(Predicate).predicate,Parameter_1,predicate,java.util.function.Predicate
org.apache.commons.lang3.LocaleUtils.countriesByLanguage(String).languageCode,Parameter_1,languageCode,java.lang.String
org.apache.commons.lang3.LocaleUtils.isAvailableLocale(Locale).locale,Parameter_1,locale,java.util.Locale
org.apache.commons.lang3.LocaleUtils.isISO3166CountryCode(String).str,Parameter_1,str,java.lang.String
org.apache.commons.lang3.LocaleUtils.isISO639LanguageCode(String).str,Parameter_1,str,java.lang.String
org.apache.commons.lang3.LocaleUtils.isLanguageUndetermined(Locale).locale,Parameter_1,locale,java.util.Locale
org.apache.commons.lang3.LocaleUtils.isNumericAreaCode(String).str,Parameter_1,str,java.lang.String
org.apache.commons.lang3.LocaleUtils.languagesByCountry(String).countryCode,Parameter_1,countryCode,java.lang.String
org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale).locale,Parameter_1,locale,java.util.Locale
"org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale,Locale).locale",Parameter_1,locale,java.util.Locale
"org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale,Locale).defaultLocale",Parameter_2,defaultLocale,java.util.Locale
org.apache.commons.lang3.LocaleUtils.parseLocale(String).str,Parameter_1,str,java.lang.String
org.apache.commons.lang3.LocaleUtils.toLocale(Locale).locale,Parameter_1,locale,java.util.Locale
org.apache.commons.lang3.LocaleUtils.toLocale(String).str,Parameter_1,str,java.lang.String
org.apache.commons.lang3.SerializationUtils.clone(Serializable).object,Parameter_1,object,java.io.Serializable
org.apache.commons.lang3.SerializationUtils.deserialize(byte[]).objectData,Parameter_1,objectData,byte[]
org.apache.commons.lang3.SerializationUtils.deserialize(InputStream).inputStream,Parameter_1,inputStream,java.io.InputStream
org.apache.commons.lang3.SerializationUtils.roundtrip(Serializable).obj,Parameter_1,obj,java.io.Serializable
org.apache.commons.lang3.SerializationUtils.serialize(Serializable).obj,Parameter_1,obj,java.io.Serializable
"org.apache.commons.lang3.SerializationUtils.serialize(Serializable,OutputStream).obj",Parameter_1,obj,java.io.Serializable
"org.apache.commons.lang3.SerializationUtils.serialize(Serializable,OutputStream).outputStream",Parameter_2,outputStream,java.io.OutputStream
org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.resolveClass(ObjectStreamClass).desc,Parameter_1,desc,java.io.ObjectStreamClass
"org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.<init>(InputStream,ClassLoader).in",Parameter_1,in,java.io.InputStream
"org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.<init>(InputStream,ClassLoader).classLoader",Parameter_2,classLoader,java.lang.ClassLoader
"org.apache.commons.lang3.DoubleRange.of(double,double).fromInclusive",Parameter_1,fromInclusive,double
"org.apache.commons.lang3.DoubleRange.of(double,double).toInclusive",Parameter_2,toInclusive,double
"org.apache.commons.lang3.DoubleRange.of(Double,Double).fromInclusive",Parameter_1,fromInclusive,java.lang.Double
"org.apache.commons.lang3.DoubleRange.of(Double,Double).toInclusive",Parameter_2,toInclusive,java.lang.Double
"org.apache.commons.lang3.DoubleRange.<init>(Double,Double).number1",Parameter_1,number1,java.lang.Double
"org.apache.commons.lang3.DoubleRange.<init>(Double,Double).number2",Parameter_2,number2,java.lang.Double
org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[]).src,Parameter_1,src,boolean[]
"org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[],int).src",Parameter_1,src,boolean[]
"org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[],int).srcPos",Parameter_2,srcPos,int
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).src",Parameter_1,src,boolean[]
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).srcPos",Parameter_2,srcPos,int
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).dstInit",Parameter_3,dstInit,byte
