:START_ID,:END_ID,:TYPE
org.apache.commons.lang3.LocaleUtils.availableLocaleList(Predicate),org.apache.commons.lang3.LocaleUtils.availableLocaleList(Predicate).predicate,Has_Parameter
org.apache.commons.lang3.LocaleUtils.countriesByLanguage(String),org.apache.commons.lang3.LocaleUtils.countriesByLanguage(String).languageCode,Has_Parameter
org.apache.commons.lang3.LocaleUtils.isAvailableLocale(Locale),org.apache.commons.lang3.LocaleUtils.isAvailableLocale(Locale).locale,Has_Parameter
org.apache.commons.lang3.LocaleUtils.isISO3166CountryCode(String),org.apache.commons.lang3.LocaleUtils.isISO3166CountryCode(String).str,Has_Parameter
org.apache.commons.lang3.LocaleUtils.isISO639LanguageCode(String),org.apache.commons.lang3.LocaleUtils.isISO639LanguageCode(String).str,Has_Parameter
org.apache.commons.lang3.LocaleUtils.isLanguageUndetermined(Locale),org.apache.commons.lang3.LocaleUtils.isLanguageUndetermined(Locale).locale,Has_Parameter
org.apache.commons.lang3.LocaleUtils.isNumericAreaCode(String),org.apache.commons.lang3.LocaleUtils.isNumericAreaCode(String).str,Has_Parameter
org.apache.commons.lang3.LocaleUtils.languagesByCountry(String),org.apache.commons.lang3.LocaleUtils.languagesByCountry(String).countryCode,Has_Parameter
org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale),org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale).locale,Has_Parameter
"org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale,Locale)","org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale,Locale).locale",Has_Parameter
"org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale,Locale)","org.apache.commons.lang3.LocaleUtils.localeLookupList(Locale,Locale).defaultLocale",Has_Parameter
org.apache.commons.lang3.LocaleUtils.parseLocale(String),org.apache.commons.lang3.LocaleUtils.parseLocale(String).str,Has_Parameter
org.apache.commons.lang3.LocaleUtils.toLocale(Locale),org.apache.commons.lang3.LocaleUtils.toLocale(Locale).locale,Has_Parameter
org.apache.commons.lang3.LocaleUtils.toLocale(String),org.apache.commons.lang3.LocaleUtils.toLocale(String).str,Has_Parameter
org.apache.commons.lang3.SerializationUtils.clone(Serializable),org.apache.commons.lang3.SerializationUtils.clone(Serializable).object,Has_Parameter
org.apache.commons.lang3.SerializationUtils.deserialize(byte[]),org.apache.commons.lang3.SerializationUtils.deserialize(byte[]).objectData,Has_Parameter
org.apache.commons.lang3.SerializationUtils.deserialize(InputStream),org.apache.commons.lang3.SerializationUtils.deserialize(InputStream).inputStream,Has_Parameter
org.apache.commons.lang3.SerializationUtils.roundtrip(Serializable),org.apache.commons.lang3.SerializationUtils.roundtrip(Serializable).obj,Has_Parameter
org.apache.commons.lang3.SerializationUtils.serialize(Serializable),org.apache.commons.lang3.SerializationUtils.serialize(Serializable).obj,Has_Parameter
"org.apache.commons.lang3.SerializationUtils.serialize(Serializable,OutputStream)","org.apache.commons.lang3.SerializationUtils.serialize(Serializable,OutputStream).obj",Has_Parameter
"org.apache.commons.lang3.SerializationUtils.serialize(Serializable,OutputStream)","org.apache.commons.lang3.SerializationUtils.serialize(Serializable,OutputStream).outputStream",Has_Parameter
org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.resolveClass(ObjectStreamClass),org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.resolveClass(ObjectStreamClass).desc,Has_Parameter
"org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.<init>(InputStream,ClassLoader)","org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.<init>(InputStream,ClassLoader).in",Has_Parameter
"org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.<init>(InputStream,ClassLoader)","org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream.<init>(InputStream,ClassLoader).classLoader",Has_Parameter
"org.apache.commons.lang3.DoubleRange.of(double,double)","org.apache.commons.lang3.DoubleRange.of(double,double).fromInclusive",Has_Parameter
"org.apache.commons.lang3.DoubleRange.of(double,double)","org.apache.commons.lang3.DoubleRange.of(double,double).toInclusive",Has_Parameter
"org.apache.commons.lang3.DoubleRange.of(Double,Double)","org.apache.commons.lang3.DoubleRange.of(Double,Double).fromInclusive",Has_Parameter
"org.apache.commons.lang3.DoubleRange.of(Double,Double)","org.apache.commons.lang3.DoubleRange.of(Double,Double).toInclusive",Has_Parameter
"org.apache.commons.lang3.DoubleRange.<init>(Double,Double)","org.apache.commons.lang3.DoubleRange.<init>(Double,Double).number1",Has_Parameter
"org.apache.commons.lang3.DoubleRange.<init>(Double,Double)","org.apache.commons.lang3.DoubleRange.<init>(Double,Double).number2",Has_Parameter
org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[]),org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[]).src,Has_Parameter
"org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[],int)","org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[],int).src",Has_Parameter
"org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[],int)","org.apache.commons.lang3.Conversion.binaryBeMsb0ToHexDigit(boolean[],int).srcPos",Has_Parameter
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int)","org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).src",Has_Parameter
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int)","org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).srcPos",Has_Parameter
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int)","org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).dstInit",Has_Parameter
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int)","org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).dstPos",Has_Parameter
"org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int)","org.apache.commons.lang3.Conversion.binaryToByte(boolean[],int,byte,int,int).nBools",Has_Parameter
org.apache.commons.lang3.Conversion.binaryToHexDigit(boolean[]),org.apache.commons.lang3.Conversion.binaryToHexDigit(boolean[]).src,Has_Parameter
"org.apache.commons.lang3.Conversion.binaryToHexDigit(boolean[],int)","org.apache.commons.lang3.Conversion.binaryToHexDigit(boolean[],int).src",Has_Parameter
"org.apache.commons.lang3.Conversion.binaryToHexDigit(boolean[],int)","org.apache.commons.lang3.Conversion.binaryToHexDigit(boolean[],int).srcPos",Has_Parameter
org.apache.commons.lang3.Conversion.binaryToHexDigitMsb0_4bits(boolean[]),org.apache.commons.lang3.Conversion.binaryToHexDigitMsb0_4bits(boolean[]).src,Has_Parameter
