FEN:ID,:LABEL,Comment,Modifiers,Extends,Implements
org.joda.time.MutablePeriod,Class,"* Standard mutable time period implementation.\n * <p>\n * A time period is divided into a number of fields, such as hours and seconds.\n * Which fields are supported is defined by the PeriodType class.\n * The default is the standard period type, which supports years, months, weeks, days,\n * hours, minutes, seconds and millis.\n * <p>\n * When this time period is added to an instant, the effect is of adding each field in turn.\n * As a result, this takes into account daylight savings time.\n * Adding a time period of 1 day to the day before daylight savings starts will only add\n * 23 hours rather than 24 to ensure that the time remains the same.\n * If this is not the behaviour you want, then see {@link Duration}.\n * <p>\n * The definition of a period also affects the equals method. A period of 1\n * day is not equal to a period of 24 hours, nor 1 hour equal to 60 minutes.\n * This is because periods represent an abstracted definition of a time period\n * (eg. a day may not actually be 24 hours, it might be 23 or 25 at daylight\n * savings boundary). To compare the actual duration of two periods, convert\n * both to durations using toDuration, an operation that emphasises that the\n * result may differ according to the date you choose.\n * <p>\n * MutablePeriod is mutable and not thread-safe, unless concurrent threads\n * are not invoking mutator methods.\n *\n * @author Brian S O'Neill\n * @author Stephen Colebourne\n * @since 1.0\n * @see Period",public ,org.joda.time.base.BasePeriod,org.joda.time.ReadWritablePeriod;java.lang.Cloneable;java.io.Serializable
org.joda.time.ReadableDuration,Interface,"* Defines an exact duration of time in milliseconds.\n * <p>\n * The implementation of this interface may be mutable or immutable. This\n * interface only gives access to retrieve data, never to change it.\n * <p>\n * Methods that are passed a duration as a parameter will treat <code>null</code>\n * as a zero length duration.\n * <p>\n * The {@code compareTo} method is no longer defined in this class in version 2.0.\n * Instead, the definition is simply inherited from the {@code Comparable} interface.\n * This approach is necessary to preserve binary compatibility.\n * The definition of the comparison is ascending order by millisecond duration.\n * Implementors are recommended to extend {@code AbstractInstant} instead of this interface.\n *\n * @see ReadableInterval\n * @see ReadablePeriod\n * @author Brian S O'Neill\n * @author Stephen Colebourne\n * @since 1.0",public ,java.lang.Comparable,
org.joda.time.Minutes,Class,"* An immutable time period representing a number of minutes.\n * <p>\n * <code>Minutes</code> is an immutable period that can only store minutes.\n * It does not store years, months or hours for example. As such it is a\n * type-safe way of representing a number of minutes in an application.\n * <p>\n * The number of minutes is set in the constructor, and may be queried using\n * <code>getMinutes()</code>. Basic mathematical operations are provided -\n * <code>plus()</code>, <code>minus()</code>, <code>multipliedBy()</code> and\n * <code>dividedBy()</code>.\n * <p>\n * <code>Minutes</code> is thread-safe and immutable.\n *\n * @author Stephen Colebourne\n * @since 1.4","public , final ",org.joda.time.base.BaseSingleFieldPeriod,
org.joda.time.ReadableInstant,Interface,"* Defines an instant in the datetime continuum.\n * This interface expresses the datetime as milliseconds from 1970-01-01T00:00:00Z.\n * <p>\n * The implementation of this interface may be mutable or immutable.\n * This interface only gives access to retrieve data, never to change it.\n * <p>\n * Methods in your application should be defined using <code>ReadableInstant</code>\n * as a parameter if the method only wants to read the instant without needing to know\n * the specific datetime fields.\n * <p>\n * The {@code compareTo} method is no longer defined in this class in version 2.0.\n * Instead, the definition is simply inherited from the {@code Comparable} interface.\n * This approach is necessary to preserve binary compatibility.\n * The definition of the comparison is ascending order by millisecond instant.\n * Implementors are recommended to extend {@code AbstractInstant} instead of this interface.\n *\n * @author Stephen Colebourne\n * @since 1.0",public ,java.lang.Comparable,
org.joda.time.MutableInterval,Class,"* MutableInterval is the standard implementation of a mutable time interval.\n * <p>\n * A time interval represents a period of time between two instants.\n * Intervals are inclusive of the start instant and exclusive of the end.\n * The end instant is always greater than or equal to the start instant.\n * <p>\n * Intervals have a fixed millisecond duration.\n * This is the difference between the start and end instants.\n * The duration is represented separately by {@link ReadableDuration}.\n * As a result, intervals are not comparable.\n * To compare the length of two intervals, you should compare their durations.\n * <p>\n * An interval can also be converted to a {@link ReadablePeriod}.\n * This represents the difference between the start and end points in terms of fields\n * such as years and days.\n * <p>\n * If performing significant calculations on an interval, it may be faster to\n * convert an Interval object to a MutableInterval one.\n * <p>\n * MutableInterval is mutable and not thread-safe, unless concurrent threads\n * are not invoking mutator methods.\n *\n * @author Stephen Colebourne\n * @author Brian S O'Neill\n * @since 1.0",public ,org.joda.time.base.BaseInterval,org.joda.time.ReadWritableInterval;java.lang.Cloneable;java.io.Serializable
org.joda.time.ReadableInterval,Interface,"* Readable interface for an interval of time between two instants.\n * <p>\n * A time interval represents a period of time between two instants.\n * Intervals are inclusive of the start instant and exclusive of the end.\n * The end instant is always greater than or equal to the start instant.\n * <p>\n * Intervals have a fixed millisecond duration.\n * This is the difference between the start and end instants.\n * The duration is represented separately by {@link ReadableDuration}.\n * As a result, intervals are not comparable.\n * To compare the length of two intervals, you should compare their durations.\n * <p>\n * An interval can also be converted to a {@link ReadablePeriod}.\n * This represents the difference between the start and end points in terms of fields\n * such as years and days.\n * <p>\n * Methods that are passed an interval as a parameter will treat <code>null</code>\n * as a zero length interval at the current instant in time.\n *\n * @author Sean Geoghegan\n * @author Brian S O'Neill\n * @author Stephen Colebourne\n * @since 1.0",public ,,
org.joda.time.DurationField,Abstract Class,"* Defines the calculation engine for duration fields.\n * The interface defines a set of methods that manipulate a millisecond duration\n * with regards to a single field, such as months or seconds.\n * <p>\n * This design is extensible so, if you wish, you can extract a different field from\n * the millisecond duration. A number of standard implementations are provided to assist.\n *\n * @author Stephen Colebourne\n * @author Brian S O'Neill\n * @since 1.0","public , abstract ",,java.lang.Comparable
org.joda.time.ReadablePartial,Interface,"* Defines a partial time that does not support every datetime field, and is\n * thus a local time.\n * <p>\n * A {@code ReadablePartial} supports a subset of those fields on the chronology.\n * It cannot be compared to a {@code ReadableInstant}, as it does not fully\n * specify an instant in time. The time it does specify is a local time, and does\n * not include a time zone.\n * <p>\n * A {@code ReadablePartial} can be converted to a {@code ReadableInstant}\n * using the {@code toDateTime} method. This works by providing a full base\n * instant that can be used to 'fill in the gaps' and specify a time zone.\n * <p>\n * {@code ReadablePartial} is {@code Comparable} from v2.0.\n * The comparison is based on the fields, compared in order, from largest to smallest.\n * The first field that is non-equal is used to determine the result.\n *\n * @author Stephen Colebourne\n * @since 1.0",public ,java.lang.Comparable,
org.joda.time.ReadablePeriod,Interface,"* Defines a time period specified in terms of individual duration fields\n * such as years and days.\n * <p>\n * The implementation of this interface may be mutable or immutable. This\n * interface only gives access to retrieve data, never to change it.\n * <p>\n * Periods are split up into multiple fields, for example days and seconds.\n * Implementations are not required to evenly distribute the values across the fields.\n * The value for each field may be positive or negative.\n * <p>\n * When a time period is added to an instant, the effect is to add each field in turn.\n * For example, a time period could be defined as 3 months, 2 days and -1 hours.\n * In most circumstances this would be the same as 3 months, 1 day, and 23 hours.\n * However, when adding across a daylight savings boundary, a day may be 23 or 25 hours long.\n * Thus, the time period is always added field by field to the datetime.\n * <p>\n * Periods are independent of chronology, and can only be treated as durations\n * when paired with a time via an interval.\n *\n * @see ReadableDuration\n * @see ReadableInterval\n * @author Brian S O'Neill\n * @author Stephen Colebourne\n * @since 1.0",public ,,
org.joda.time.Partial,Class,"* Partial is an immutable partial datetime supporting any set of datetime fields.\n * <p>\n * A Partial instance can be used to hold any combination of fields.\n * The instance does not contain a time zone, so any datetime is local.\n * <p>\n * A Partial can be matched against an instant using {@link #isMatch(ReadableInstant)}.\n * This method compares each field on this partial with those of the instant\n * and determines if the partial matches the instant.\n * Given this definition, an empty Partial instance represents any datetime\n * and always matches.\n * <p>\n * Calculations on Partial are performed using a {@link Chronology}.\n * This chronology is set to be in the UTC time zone for all calculations.\n * <p>\n * Each individual field can be queried in two ways:\n * <ul>\n * <li><code>get(DateTimeFieldType.monthOfYear())</code>\n * <li><code>property(DateTimeFieldType.monthOfYear()).get()</code>\n * </ul>\n * The second technique also provides access to other useful methods on the\n * field:\n * <ul>\n * <li>numeric value - <code>monthOfYear().get()</code>\n * <li>text value - <code>monthOfYear().getAsText()</code>\n * <li>short text value - <code>monthOfYear().getAsShortText()</code>\n * <li>maximum/minimum values - <code>monthOfYear().getMaximumValue()</code>\n * <li>add/subtract - <code>monthOfYear().addToCopy()</code>\n * <li>set - <code>monthOfYear().setCopy()</code>\n * </ul>\n * <p>\n * Partial is thread-safe and immutable, provided that the Chronology is as well.\n * All standard Chronology classes supplied are thread-safe and immutable.\n *\n * @author Stephen Colebourne\n * @since 1.1","public , final ",org.joda.time.base.AbstractPartial,org.joda.time.ReadablePartial;java.io.Serializable
