FEN:START_ID,FEN:END_ID,:TYPE
org.joda.time.MutablePeriod.getYears().CFG_Path_1,org.joda.time.PeriodType.YEAR_INDEX,Uses_Field
org.joda.time.MutablePeriod.getMonths().CFG_Path_1,org.joda.time.PeriodType.MONTH_INDEX,Uses_Field
org.joda.time.MutablePeriod.getWeeks().CFG_Path_1,org.joda.time.PeriodType.WEEK_INDEX,Uses_Field
org.joda.time.MutablePeriod.getDays().CFG_Path_1,org.joda.time.PeriodType.DAY_INDEX,Uses_Field
org.joda.time.MutablePeriod.getHours().CFG_Path_1,org.joda.time.PeriodType.HOUR_INDEX,Uses_Field
org.joda.time.MutablePeriod.getMinutes().CFG_Path_1,org.joda.time.PeriodType.MINUTE_INDEX,Uses_Field
org.joda.time.MutablePeriod.getSeconds().CFG_Path_1,org.joda.time.PeriodType.SECOND_INDEX,Uses_Field
org.joda.time.MutablePeriod.getMillis().CFG_Path_1,org.joda.time.PeriodType.MILLI_INDEX,Uses_Field
org.joda.time.Minutes.minutes(int).CFG_Path_1,org.joda.time.Minutes.MAX_VALUE,Uses_Field
org.joda.time.Minutes.minutes(int).CFG_Path_2,org.joda.time.Minutes.THREE,Uses_Field
org.joda.time.Minutes.minutes(int).CFG_Path_3,org.joda.time.Minutes.TWO,Uses_Field
org.joda.time.Minutes.minutes(int).CFG_Path_4,org.joda.time.Minutes.ONE,Uses_Field
org.joda.time.Minutes.minutes(int).CFG_Path_5,org.joda.time.Minutes.ZERO,Uses_Field
org.joda.time.Minutes.minutes(int).CFG_Path_6,org.joda.time.Minutes.MIN_VALUE,Uses_Field
"org.joda.time.Minutes.minutesBetween(ReadablePartial,ReadablePartial).CFG_Path_1",org.joda.time.Minutes.ZERO,Uses_Field
"org.joda.time.Minutes.minutesBetween(ReadablePartial,ReadablePartial).CFG_Path_2",org.joda.time.Minutes.ZERO,Uses_Field
org.joda.time.Minutes.minutesIn(ReadableInterval).CFG_Path_2,org.joda.time.Minutes.ZERO,Uses_Field
org.joda.time.Minutes.parseMinutes(String).CFG_Path_1,org.joda.time.Minutes.PARSER,Uses_Field
org.joda.time.Minutes.parseMinutes(String).CFG_Path_2,org.joda.time.Minutes.ZERO,Uses_Field
org.joda.time.Partial.size().CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getChronology().CFG_Path_1,org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.getField(int,Chronology).CFG_Path_1",org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFieldType(int).CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFieldTypes().CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getValue(int).CFG_Path_1,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.getValues().CFG_Path_1,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.withChronologyRetainFields(Chronology).CFG_Path_1,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.withChronologyRetainFields(Chronology).CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_4",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_4",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_4",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_5",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_5",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_5",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_6",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_6",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_6",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_7",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_7",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_7",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_8",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_8",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_8",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_9",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_9",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_9",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_10",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_10",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_10",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_11",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_11",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_11",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_12",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_12",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_12",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_13",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_13",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_13",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_14",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_14",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_14",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_15",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_15",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_15",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_16",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_16",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_16",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_17",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_17",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_17",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_18",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_18",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_18",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_19",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_19",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_19",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_20",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_20",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_20",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_21",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_21",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_21",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_22",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_22",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_22",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_23",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_23",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_23",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_24",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_24",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.with(DateTimeFieldType,int).CFG_Path_24",org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.without(DateTimeFieldType).CFG_Path_1,org.joda.time.Partial.iChronology,Uses_Field
org.joda.time.Partial.without(DateTimeFieldType).CFG_Path_1,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.without(DateTimeFieldType).CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadableInstant).CFG_Path_1,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.isMatch(ReadableInstant).CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadableInstant).CFG_Path_2,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.isMatch(ReadableInstant).CFG_Path_2,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadableInstant).CFG_Path_3,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.isMatch(ReadableInstant).CFG_Path_3,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadableInstant).CFG_Path_4,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadablePartial).CFG_Path_2,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.isMatch(ReadablePartial).CFG_Path_2,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadablePartial).CFG_Path_3,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.isMatch(ReadablePartial).CFG_Path_3,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadablePartial).CFG_Path_4,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.isMatch(ReadablePartial).CFG_Path_4,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.isMatch(ReadablePartial).CFG_Path_5,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_1,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_2,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_3,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_3,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_4,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_4,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_5,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_5,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_6,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_6,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_7,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_7,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_8,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_8,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_9,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_9,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_10,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_10,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_11,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_11,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_12,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_12,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_13,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_13,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_14,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_14,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.getFormatter().CFG_Path_15,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.toString().CFG_Path_1,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.toString().CFG_Path_2,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.toString().CFG_Path_3,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.toString().CFG_Path_4,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.toString().CFG_Path_5,org.joda.time.Partial.iFormatter,Uses_Field
org.joda.time.Partial.toStringList().CFG_Path_1,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.toStringList().CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.toStringList().CFG_Path_2,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.toStringList().CFG_Path_2,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.<init>(Chronology).CFG_Path_1,org.joda.time.Partial.iChronology,Uses_Field
org.joda.time.Partial.<init>(Chronology).CFG_Path_1,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.<init>(Chronology).CFG_Path_1,org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.<init>(DateTimeFieldType,int,Chronology).CFG_Path_1",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.<init>(DateTimeFieldType,int,Chronology).CFG_Path_1",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.<init>(DateTimeFieldType,int,Chronology).CFG_Path_1",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.<init>(DateTimeFieldType,int,Chronology).CFG_Path_2",org.joda.time.Partial.iChronology,Uses_Field
org.joda.time.Partial.<init>(ReadablePartial).CFG_Path_2,org.joda.time.Partial.iChronology,Uses_Field
org.joda.time.Partial.<init>(ReadablePartial).CFG_Path_2,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.<init>(ReadablePartial).CFG_Path_2,org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial.<init>(ReadablePartial).CFG_Path_3,org.joda.time.Partial.iChronology,Uses_Field
org.joda.time.Partial.<init>(ReadablePartial).CFG_Path_3,org.joda.time.Partial.iValues,Uses_Field
org.joda.time.Partial.<init>(ReadablePartial).CFG_Path_3,org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.<init>(Partial,int[]).CFG_Path_1",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.<init>(Partial,int[]).CFG_Path_1",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.<init>(Partial,int[]).CFG_Path_1",org.joda.time.Partial.iTypes,Uses_Field
"org.joda.time.Partial.<init>(Chronology,DateTimeFieldType[],int[]).CFG_Path_1",org.joda.time.Partial.iChronology,Uses_Field
"org.joda.time.Partial.<init>(Chronology,DateTimeFieldType[],int[]).CFG_Path_1",org.joda.time.Partial.iValues,Uses_Field
"org.joda.time.Partial.<init>(Chronology,DateTimeFieldType[],int[]).CFG_Path_1",org.joda.time.Partial.iTypes,Uses_Field
org.joda.time.Partial$Property.getField().CFG_Path_1,org.joda.time.Partial$Property.iPartial,Uses_Field
org.joda.time.Partial$Property.getField().CFG_Path_1,org.joda.time.Partial$Property.iFieldIndex,Uses_Field
org.joda.time.Partial$Property.getReadablePartial().CFG_Path_1,org.joda.time.Partial$Property.iPartial,Uses_Field
org.joda.time.Partial$Property.getPartial().CFG_Path_1,org.joda.time.Partial$Property.iPartial,Uses_Field
org.joda.time.Partial$Property.get().CFG_Path_1,org.joda.time.Partial$Property.iPartial,Uses_Field
org.joda.time.Partial$Property.get().CFG_Path_1,org.joda.time.Partial$Property.iFieldIndex,Uses_Field
org.joda.time.Partial$Property.addToCopy(int).CFG_Path_1,org.joda.time.Partial$Property.iPartial,Uses_Field
org.joda.time.Partial$Property.addToCopy(int).CFG_Path_1,org.joda.time.Partial$Property.iFieldIndex,Uses_Field
org.joda.time.Partial$Property.addWrapFieldToCopy(int).CFG_Path_1,org.joda.time.Partial$Property.iPartial,Uses_Field
org.joda.time.Partial$Property.addWrapFieldToCopy(int).CFG_Path_1,org.joda.time.Partial$Property.iFieldIndex,Uses_Field
org.joda.time.Partial$Property.setCopy(int).CFG_Path_1,org.joda.time.Partial$Property.iPartial,Uses_Field
org.joda.time.Partial$Property.setCopy(int).CFG_Path_1,org.joda.time.Partial$Property.iFieldIndex,Uses_Field
"org.joda.time.Partial$Property.setCopy(String,Locale).CFG_Path_1",org.joda.time.Partial$Property.iPartial,Uses_Field
"org.joda.time.Partial$Property.setCopy(String,Locale).CFG_Path_1",org.joda.time.Partial$Property.iFieldIndex,Uses_Field
"org.joda.time.Partial$Property.<init>(Partial,int).CFG_Path_1",org.joda.time.Partial$Property.iPartial,Uses_Field
"org.joda.time.Partial$Property.<init>(Partial,int).CFG_Path_1",org.joda.time.Partial$Property.iFieldIndex,Uses_Field
org.joda.time.Duration.standardDays(long).CFG_Path_2,org.joda.time.Duration.ZERO,Uses_Field
org.joda.time.Duration.standardHours(long).CFG_Path_2,org.joda.time.Duration.ZERO,Uses_Field
org.joda.time.Duration.standardMinutes(long).CFG_Path_2,org.joda.time.Duration.ZERO,Uses_Field
org.joda.time.Duration.standardSeconds(long).CFG_Path_2,org.joda.time.Duration.ZERO,Uses_Field
org.joda.time.Duration.millis(long).CFG_Path_2,org.joda.time.Duration.ZERO,Uses_Field
org.joda.time.DateMidnight$Property.writeObject(ObjectOutputStream).CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.writeObject(ObjectOutputStream).CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.readObject(ObjectInputStream).CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.readObject(ObjectInputStream).CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.getField().CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.getMillis().CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.getChronology().CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.getDateMidnight().CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.addToCopy(int).CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.addToCopy(int).CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.addToCopy(long).CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.addToCopy(long).CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.addWrapFieldToCopy(int).CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.addWrapFieldToCopy(int).CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.setCopy(int).CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.setCopy(int).CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
"org.joda.time.DateMidnight$Property.setCopy(String,Locale).CFG_Path_1",org.joda.time.DateMidnight$Property.iField,Uses_Field
"org.joda.time.DateMidnight$Property.setCopy(String,Locale).CFG_Path_1",org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.roundFloorCopy().CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
org.joda.time.DateMidnight$Property.roundFloorCopy().CFG_Path_1,org.joda.time.DateMidnight$Property.iInstant,Uses_Field
org.joda.time.DateMidnight$Property.roundCeilingCopy().CFG_Path_1,org.joda.time.DateMidnight$Property.iField,Uses_Field
