FEN:START_ID,FEN:END_ID,:TYPE
org.joda.time.MutablePeriod.parse(String).CFG_Path_1,"org.joda.time.MutablePeriod.parse(String,PeriodFormatter)",Uses_Method
org.joda.time.MutablePeriod.parse(String).CFG_Path_1,org.joda.time.format.ISOPeriodFormat.standard(),Uses_Method
"org.joda.time.MutablePeriod.parse(String,PeriodFormatter).CFG_Path_1",org.joda.time.format.PeriodFormatter.parsePeriod(String),Uses_Method
org.joda.time.MutablePeriod.clear().CFG_Path_1,org.joda.time.base.BasePeriod.setValues(int[]),Uses_Method
"org.joda.time.MutablePeriod.setValue(int,int).CFG_Path_1","org.joda.time.base.BasePeriod.setValue(int,int)",Uses_Method
"org.joda.time.MutablePeriod.set(DurationFieldType,int).CFG_Path_1","org.joda.time.base.BasePeriod.setField(DurationFieldType,int)",Uses_Method
org.joda.time.MutablePeriod.setPeriod(ReadablePeriod).CFG_Path_1,org.joda.time.base.BasePeriod.setPeriod(ReadablePeriod),Uses_Method
"org.joda.time.MutablePeriod.setPeriod(int,int,int,int,int,int,int,int).CFG_Path_1","org.joda.time.base.BasePeriod.setPeriod(int,int,int,int,int,int,int,int)",Uses_Method
org.joda.time.MutablePeriod.setPeriod(ReadableInterval).CFG_Path_1,org.joda.time.ReadableInterval.getEndMillis(),Uses_Method
org.joda.time.MutablePeriod.setPeriod(ReadableInterval).CFG_Path_1,org.joda.time.ReadableInterval.getChronology(),Uses_Method
org.joda.time.MutablePeriod.setPeriod(ReadableInterval).CFG_Path_1,"org.joda.time.MutablePeriod.setPeriod(long,long,Chronology)",Uses_Method
org.joda.time.MutablePeriod.setPeriod(ReadableInterval).CFG_Path_1,org.joda.time.ReadableInterval.getStartMillis(),Uses_Method
org.joda.time.MutablePeriod.setPeriod(ReadableInterval).CFG_Path_1,org.joda.time.DateTimeUtils.getChronology(Chronology),Uses_Method
org.joda.time.MutablePeriod.setPeriod(ReadableInterval).CFG_Path_2,org.joda.time.MutablePeriod.setPeriod(long),Uses_Method
