package_name,class_name,method_name,method_signature,method_FEN,missed_instr,covered_instr,percentage_instr,missed_branches,covered_branches,percentage_branches,complexity,missed_lines,covered_lines,percentage_lines,missed_methods,covered_methods,percentage_methods
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,<init>,() → void,org.apache.commons.codec.language.MatchRatingApproachEncoder.<init>(),0,3,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,cleanName,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.cleanName(String),0,57,1.0,0,2,1.0,2,0,6,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,encode,(java.lang.Object) → java.lang.Object,org.apache.commons.codec.language.MatchRatingApproachEncoder.encode(Object),5,8,0.6153846153846154,1,1,0.5,2,1,2,0.6666666666666666,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,encode,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.encode(String),2,48,0.96,3,13,0.8125,9,1,9,0.9,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,getFirst3Last3,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.getFirst3Last3(String),21,8,0.27586206896551724,1,1,0.5,2,3,3,0.5,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,getMinRating,(int) → int,org.apache.commons.codec.language.MatchRatingApproachEncoder.getMinRating(int),8,22,0.7333333333333333,3,5,0.625,5,3,8,0.7272727272727273,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,isEncodeEquals,"(java.lang.String, java.lang.String) → boolean","org.apache.commons.codec.language.MatchRatingApproachEncoder.isEncodeEquals(String,String)",0,105,1.0,1,21,0.9545454545454546,12,0,22,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,isVowel,(java.lang.String) → boolean,org.apache.commons.codec.language.MatchRatingApproachEncoder.isVowel(String),0,24,1.0,3,7,0.7,6,0,2,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,leftToRightThenRightToLeftProcessing,"(java.lang.String, java.lang.String) → int","org.apache.commons.codec.language.MatchRatingApproachEncoder.leftToRightThenRightToLeftProcessing(String,String)",0,133,1.0,0,10,1.0,6,0,26,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,removeAccents,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.removeAccents(String),2,41,0.9534883720930233,1,5,0.8333333333333334,4,1,10,0.9090909090909091,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,removeDoubleConsonants,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.removeDoubleConsonants(String),0,36,1.0,0,4,1.0,3,0,6,1.0,0,1,1.0
