package_name,class_name,method_name,method_signature,method_FEN,missed_instr,covered_instr,percentage_instr,missed_branches,covered_branches,percentage_branches,complexity,missed_lines,covered_lines,percentage_lines,missed_methods,covered_methods,percentage_methods
org/apache/commons/csv,org/apache/commons/csv/Constants,<clinit>,() → void,org.apache.commons.csv.Constants.<clinit>(),0,7,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,<init>,(java.io.Reader) → void,org.apache.commons.csv.ExtendedBufferedReader.<init>(Reader),6,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,<init>,"(java.io.Reader, java.nio.charset.Charset, boolean) → void","org.apache.commons.csv.ExtendedBufferedReader.<init>(Reader,Charset,boolean)",3,17,0.85,2,2,0.5,3,0,5,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,close,() → void,org.apache.commons.csv.ExtendedBufferedReader.close(),6,0,0.0,0,0,coverage not available since no branches,1,3,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getBytesRead,() → long,org.apache.commons.csv.ExtendedBufferedReader.getBytesRead(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getEncodedCharLength,(int) → int,org.apache.commons.csv.ExtendedBufferedReader.getEncodedCharLength(int),51,0,0.0,6,0,0.0,4,9,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getLastChar,() → int,org.apache.commons.csv.ExtendedBufferedReader.getLastChar(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getLineNumber,() → long,org.apache.commons.csv.ExtendedBufferedReader.getLineNumber(),24,0,0.0,8,0,0.0,5,3,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getPosition,() → long,org.apache.commons.csv.ExtendedBufferedReader.getPosition(),3,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,mark,(int) → void,org.apache.commons.csv.ExtendedBufferedReader.mark(int),20,0,0.0,0,0,coverage not available since no branches,1,6,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,read,() → int,org.apache.commons.csv.ExtendedBufferedReader.read(),58,0,0.0,16,0,0.0,9,8,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,read,"(char[], int, int) → int","org.apache.commons.csv.ExtendedBufferedReader.read(char[],int,int)",82,0,0.0,16,0,0.0,9,16,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,readLine,() → java.lang.String,org.apache.commons.csv.ExtendedBufferedReader.readLine(),44,0,0.0,12,0,0.0,7,13,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,reset,() → void,org.apache.commons.csv.ExtendedBufferedReader.reset(),19,0,0.0,0,0,coverage not available since no branches,1,6,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,create,() → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.create(),0,14,1.0,0,0,coverage not available since no branches,1,0,6,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,create,(org.apache.commons.csv.CSVFormat) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.create(CSVFormat),0,5,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,<init>,(org.apache.commons.csv.CSVFormat) → void,org.apache.commons.csv.CSVFormat$Builder.<init>(CSVFormat),0,91,1.0,0,0,coverage not available since no branches,1,0,24,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,build,() → org.apache.commons.csv.CSVFormat,org.apache.commons.csv.CSVFormat$Builder.build(),0,3,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,get,() → org.apache.commons.csv.CSVFormat,org.apache.commons.csv.CSVFormat$Builder.get(),0,6,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setAllowDuplicateHeaderNames,(boolean) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setAllowDuplicateHeaderNames(boolean),0,10,1.0,0,2,1.0,2,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setAllowMissingColumnNames,(boolean) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setAllowMissingColumnNames(boolean),0,5,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setAutoFlush,(boolean) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setAutoFlush(boolean),0,5,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setCommentMarker,(char) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setCommentMarker(char),0,7,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setCommentMarker,(java.lang.Character) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setCommentMarker(Character),5,8,0.6153846153846154,1,1,0.5,2,1,3,0.75,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setDelimiter,(char) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setDelimiter(char),0,5,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setDelimiter,(java.lang.String) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setDelimiter(String),5,16,0.7619047619047619,1,3,0.75,3,1,5,0.8333333333333334,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setDuplicateHeaderMode,(org.apache.commons.csv.DuplicateHeaderMode) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setDuplicateHeaderMode(DuplicateHeaderMode),0,8,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setEscape,(char) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setEscape(char),0,7,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
