package_name,class_name,method_name,method_signature,method_FEN,missed_instr,covered_instr,percentage_instr,missed_branches,covered_branches,percentage_branches,complexity,missed_lines,covered_lines,percentage_lines,missed_methods,covered_methods,percentage_methods
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,<init>,() → void,org.apache.commons.codec.language.MatchRatingApproachEncoder.<init>(),0,3,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,cleanName,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.cleanName(String),0,57,1.0,0,2,1.0,2,0,6,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,encode,(java.lang.Object) → java.lang.Object,org.apache.commons.codec.language.MatchRatingApproachEncoder.encode(Object),13,0,0.0,2,0,0.0,2,3,0,0.0,1,0,0.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,encode,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.encode(String),4,46,0.92,4,12,0.75,9,2,8,0.8,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,getFirst3Last3,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.getFirst3Last3(String),0,29,1.0,0,2,1.0,2,0,6,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,getMinRating,(int) → int,org.apache.commons.codec.language.MatchRatingApproachEncoder.getMinRating(int),20,10,0.3333333333333333,7,1,0.125,5,7,4,0.36363636363636365,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,isEncodeEquals,"(java.lang.String, java.lang.String) → boolean","org.apache.commons.codec.language.MatchRatingApproachEncoder.isEncodeEquals(String,String)",1,104,0.9904761904761905,1,21,0.9545454545454546,12,0,22,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,isVowel,(java.lang.String) → boolean,org.apache.commons.codec.language.MatchRatingApproachEncoder.isVowel(String),0,24,1.0,2,8,0.8,6,0,2,1.0,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,leftToRightThenRightToLeftProcessing,"(java.lang.String, java.lang.String) → int","org.apache.commons.codec.language.MatchRatingApproachEncoder.leftToRightThenRightToLeftProcessing(String,String)",27,106,0.7969924812030075,4,6,0.6,6,6,20,0.7692307692307693,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,removeAccents,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.removeAccents(String),9,34,0.7906976744186046,2,4,0.6666666666666666,4,2,9,0.8181818181818182,0,1,1.0
org/apache/commons/codec/language,org/apache/commons/codec/language/MatchRatingApproachEncoder,removeDoubleConsonants,(java.lang.String) → java.lang.String,org.apache.commons.codec.language.MatchRatingApproachEncoder.removeDoubleConsonants(String),0,36,1.0,0,4,1.0,3,0,6,1.0,0,1,1.0
