package_name,class_name,method_name,method_signature,method_FEN,missed_instr,covered_instr,percentage_instr,missed_branches,covered_branches,percentage_branches,complexity,missed_lines,covered_lines,percentage_lines,missed_methods,covered_methods,percentage_methods
org/apache/commons/csv,org/apache/commons/csv/Constants,<clinit>,() → void,org.apache.commons.csv.Constants.<clinit>(),0,7,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,<init>,(java.io.Reader) → void,org.apache.commons.csv.ExtendedBufferedReader.<init>(Reader),0,6,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,<init>,"(java.io.Reader, java.nio.charset.Charset, boolean) → void","org.apache.commons.csv.ExtendedBufferedReader.<init>(Reader,Charset,boolean)",0,20,1.0,0,4,1.0,3,0,5,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,close,() → void,org.apache.commons.csv.ExtendedBufferedReader.close(),0,6,1.0,0,0,coverage not available since no branches,1,0,3,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getBytesRead,() → long,org.apache.commons.csv.ExtendedBufferedReader.getBytesRead(),0,3,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getEncodedCharLength,(int) → int,org.apache.commons.csv.ExtendedBufferedReader.getEncodedCharLength(int),16,35,0.6862745098039216,1,5,0.8333333333333334,4,1,8,0.8888888888888888,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getLastChar,() → int,org.apache.commons.csv.ExtendedBufferedReader.getLastChar(),0,3,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getLineNumber,() → long,org.apache.commons.csv.ExtendedBufferedReader.getLineNumber(),0,24,1.0,3,5,0.625,5,0,3,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,getPosition,() → long,org.apache.commons.csv.ExtendedBufferedReader.getPosition(),0,3,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,mark,(int) → void,org.apache.commons.csv.ExtendedBufferedReader.mark(int),0,20,1.0,0,0,coverage not available since no branches,1,0,6,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,read,() → int,org.apache.commons.csv.ExtendedBufferedReader.read(),0,58,1.0,1,15,0.9375,9,0,8,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,read,"(char[], int, int) → int","org.apache.commons.csv.ExtendedBufferedReader.read(char[],int,int)",8,74,0.9024390243902439,4,12,0.75,9,1,15,0.9375,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,readLine,() → java.lang.String,org.apache.commons.csv.ExtendedBufferedReader.readLine(),0,44,1.0,0,12,1.0,7,0,13,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/ExtendedBufferedReader,reset,() → void,org.apache.commons.csv.ExtendedBufferedReader.reset(),0,19,1.0,0,0,coverage not available since no branches,1,0,6,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,create,() → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.create(),0,14,1.0,0,0,coverage not available since no branches,1,0,6,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,create,(org.apache.commons.csv.CSVFormat) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.create(CSVFormat),0,5,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,<init>,(org.apache.commons.csv.CSVFormat) → void,org.apache.commons.csv.CSVFormat$Builder.<init>(CSVFormat),0,91,1.0,0,0,coverage not available since no branches,1,0,24,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,build,() → org.apache.commons.csv.CSVFormat,org.apache.commons.csv.CSVFormat$Builder.build(),0,3,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,get,() → org.apache.commons.csv.CSVFormat,org.apache.commons.csv.CSVFormat$Builder.get(),0,6,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setAllowDuplicateHeaderNames,(boolean) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setAllowDuplicateHeaderNames(boolean),10,0,0.0,2,0,0.0,2,2,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setAllowMissingColumnNames,(boolean) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setAllowMissingColumnNames(boolean),0,5,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setAutoFlush,(boolean) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setAutoFlush(boolean),0,5,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setCommentMarker,(char) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setCommentMarker(char),0,7,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setCommentMarker,(java.lang.Character) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setCommentMarker(Character),5,8,0.6153846153846154,1,1,0.5,2,1,3,0.75,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setDelimiter,(char) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setDelimiter(char),0,5,1.0,0,0,coverage not available since no branches,1,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setDelimiter,(java.lang.String) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setDelimiter(String),10,11,0.5238095238095238,2,2,0.5,3,2,4,0.6666666666666666,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setDuplicateHeaderMode,(org.apache.commons.csv.DuplicateHeaderMode) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setDuplicateHeaderMode(DuplicateHeaderMode),0,8,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setEscape,(char) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setEscape(char),0,7,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setEscape,(java.lang.Character) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setEscape(Character),5,8,0.6153846153846154,1,1,0.5,2,1,3,0.75,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setHeader,(java.lang.Class) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setHeader(Class),20,0,0.0,2,0,0.0,2,6,0,0.0,1,0,0.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setHeader,(java.sql.ResultSet) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setHeader(ResultSet),1,8,0.8888888888888888,1,1,0.5,2,0,1,1.0,0,1,1.0
org/apache/commons/csv,org/apache/commons/csv/CSVFormat$Builder,setHeader,(java.sql.ResultSetMetaData) → org.apache.commons.csv.CSVFormat$Builder,org.apache.commons.csv.CSVFormat$Builder.setHeader(ResultSetMetaData),21,8,0.27586206896551724,3,1,0.25,3,4,3,0.42857142857142855,0,1,1.0
