package_name,class_name,method_name,method_signature,method_FEN,missed_instr,covered_instr,percentage_instr,missed_branches,covered_branches,percentage_branches,complexity,missed_lines,covered_lines,percentage_lines,missed_methods,covered_methods,percentage_methods
org/joda/time,org/joda/time/MonthDay,now,() → org.joda.time.MonthDay,org.joda.time.MonthDay.now(),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,now,(org.joda.time.DateTimeZone) → org.joda.time.MonthDay,org.joda.time.MonthDay.now(DateTimeZone),5,7,0.5833333333333334,1,1,0.5,2,1,2,0.6666666666666666,0,1,1.0
org/joda/time,org/joda/time/MonthDay,now,(org.joda.time.Chronology) → org.joda.time.MonthDay,org.joda.time.MonthDay.now(Chronology),12,0,0.0,2,0,0.0,2,3,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,parse,(java.lang.String) → org.joda.time.MonthDay,org.joda.time.MonthDay.parse(String),4,0,0.0,0,0,coverage not available since no branches,1,1,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,parse,"(java.lang.String, org.joda.time.format.DateTimeFormatter) → org.joda.time.MonthDay","org.joda.time.MonthDay.parse(String,DateTimeFormatter)",12,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,fromCalendarFields,(java.util.Calendar) → org.joda.time.MonthDay,org.joda.time.MonthDay.fromCalendarFields(Calendar),0,19,1.0,0,2,1.0,2,0,3,1.0,0,1,1.0
org/joda/time,org/joda/time/MonthDay,fromDateFields,(java.util.Date) → org.joda.time.MonthDay,org.joda.time.MonthDay.fromDateFields(Date),0,17,1.0,0,2,1.0,2,0,3,1.0,0,1,1.0
org/joda/time,org/joda/time/MonthDay,<init>,() → void,org.joda.time.MonthDay.<init>(),0,3,1.0,0,0,coverage not available since no branches,1,0,2,1.0,0,1,1.0
org/joda/time,org/joda/time/MonthDay,<init>,(org.joda.time.DateTimeZone) → void,org.joda.time.MonthDay.<init>(DateTimeZone),5,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,<init>,(org.joda.time.Chronology) → void,org.joda.time.MonthDay.<init>(Chronology),4,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,<init>,(long) → void,org.joda.time.MonthDay.<init>(long),4,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,<init>,"(long, org.joda.time.Chronology) → void","org.joda.time.MonthDay.<init>(long,Chronology)",5,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
org/joda/time,org/joda/time/MonthDay,<init>,(java.lang.Object) → void,org.joda.time.MonthDay.<init>(Object),6,0,0.0,0,0,coverage not available since no branches,1,2,0,0.0,1,0,0.0
