method_FEN,all_cfg_paths_num
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.makeChildOrPlaceholder(int),2
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.release(),3
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.mergeChild(TableInfo),3
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.size(),2
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.maybeDirty(),2
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.isCanonicalizing(),2
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.primaryCount(),3
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.secondaryCount(),3
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.tertiaryCount(),3
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.totalCount(),3
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int),10
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int)",17
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int,int,int)",26
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.findName(int[],int)",20
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int)",27
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int)",48
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int,int)",75
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findSecondary(int,int,int[],int)",48
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifyLongName(int[],int,int)",36
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.addName(String,int)",2
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.addName(String,int,int)",2
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.addName(String,int,int,int)",2
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.addName(String,int[],int)",8
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._verifySharing(),4
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._findOffsetForAdd(int),11
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._resizeAndFindOffsetForAdd(int),6
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._checkNeedForRehash(),4
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._appendLongName(int[],int)",3
"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.calcHash(int[],int)",3
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.rehash(),15
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.nukeSymbols(boolean),2
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer._reportTooManyCollisions(),2
com.fasterxml.jackson.core.sym.Name1.equals(int),2
"com.fasterxml.jackson.core.sym.Name1.equals(int,int)",3
"com.fasterxml.jackson.core.sym.Name1.equals(int[],int)",3
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.createRoot(TokenStreamFactory,int)",4
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.release(),4
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.mergeChild(TableInfo),3
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.size(),2
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.maybeDirty(),2
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.collisionCount(),3
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._findSymbol2(char[],int,int,Bucket)",4
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._addSymbol(char[],int,int,int,int)",18
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer._handleSpillOverflow(int,Bucket,int)",4
"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.calcHash(char[],int,int)",4
